dominance     n.优势, 控制, 权势, 【生】显性
hawk     n.鹰, 隼, 鹰派分子, 主战分子
lecturer     n.讲演者, 讲课者, 讲授者, （尤指英国大学的）讲师
invade     v.侵略，侵害；大量涌入
phosphate     n.磷酸盐, 磷酸酯
grammatical     adj.语法的, 文法的, 符合语法规则的, 合乎文法的
classification     n.分类；分级
abdominal     adj.腹部的
domain     n.域, 区域, 范围, 领地
fertility     n.丰产, 富饶, 能生育性, 可繁殖性
instability     n.不安定，不稳定；（精神的）变化无常
interfere     v.干预，干涉；妨碍
physician     n.内科医生，医师
scholarship     n.奖学金；学问，学识
clone     n.克隆动物（或植物）, 无性繁殖动物（或植物）, 复制动物（或植物）
rational     adj.合理的; 理性的, 理智的; 明事理的; 神智健全的; 有理数的
deflection     n.突然转向，偏斜，偏离
affirm     v.肯定属实；申明；断言
displacement     n.移位；替代，取代；迫使迁居；排水量
parcel     n.包裹
emit     v.发出，散发
meaningful     adj.有意义的，意味深长的
herbicide     n.除草剂, 除莠剂
bang     v.猛敲；砰然重击；猛摔；（把…）砰地关上；砰砰作响
standardize     v.使标准化, 使符合标准（或规格）
obtain     v.得到, 获得; 如愿以偿; 通用, 流行; 存在
analogy     n.类比；比拟；比喻
consciousness     n.知觉, 感觉; 意识, 观念; 觉悟
initiate     v.开始，创始；给…启蒙；介绍加入，吸纳
psychiatric     adj.精神病的, 精神病学的
interface     n.接口，界面；接触面；相互作用；（两学科的）结合点
stimulus     n.刺激（物）；促进因素
layout     n.布局，安排，设计
receptor     n.受体, 感受器
oxygen     n.氧, 氧气
acceleration     n.加速度, 加快, （车辆）加速能力
manipulation     n.手法, 控制, 操作法, (熟练的)操作
painful     adj.疼痛的；痛苦的
axis     n.轴；轴线；对称轴；坐标轴；轴心
atomic     adj.原子的；原子能的
bat     n.蝙蝠, 球拍, 球棒, 球板
lifetime     n.一生，终生；（事物的）存在期，使用期
cinema     n.电影院, 电影艺术, （去电影院）看电影, 电影制片业
drift     v.漂流；缓慢移动；漂泊
randomize     v.使随机化, （使）作任意排列
container     n.容器；集装箱
insert     v.插入
calcium     n.钙
reactive     adj.反应的, 有反应的, 回应的, 能起化学反应的
simplify     v.简化；使易懂；使简洁
upward     adj.向上的，上升的
trajectory     n.轨迹
metaphor     n.隐喻，暗喻
indirect     adj.间接的；迂回的；含蓄的
yeast     n.酵母, 酵母菌
incline     v.使倾斜；使倾向于；有…趋势；点头
equality     n.平等，均等
chromosome     n.染色体
neat     adj.整洁的, 整齐的, 有序的, 有条理的
sustainable     adj.(自然资源)可持续的，不破坏环境的; (计划、方法、体制)可持续的，持续性的
detection     n.探测, 发现, 侦查, 察觉
monkey     n.猴子, 〈非正式〉淘气包
simultaneously     adv.同时地
bacterial     adj.细菌的
lump     n.肿块；（通常为无定形的）块；隆起；笨重的人
comply     v.遵从；服从；顺从
variability     n.可变性；易变性
absorb     v.吸收；吸引…的注意，使全神贯注
interviewer     n.采访者, 面试者
candidate     n.候选人
merge     v.（使）结合，（使）合并
membrane     n.（身体内的）膜, （植物的）细胞膜
organism     n.生物体，有机体
slot     n.(投放或插入东西的)窄缝; 槽沟; 狭槽; 位置, 职位; (广播节目等的)一档; 停车空位; 足迹, 踪迹
artistic     adj.艺术的
acute     adj.[医]急性的; 严重的; 剧烈的, 激烈的; 尖锐的; 敏锐的; 尖的, 锐的; 高音的, 尖音的
nonlinear     adj.〔数〕非线性的, 非直线的
maternal     adj.母亲的, 母亲般慈爱的, 作为母亲的, 母系的
admission     n.准许加入, 许可；入场费, 入会费；入场券；承认, 供认
clinic     n.诊所，门诊部，科室
trait     n.特点
closure     n.关闭, 倒闭, （路或桥的）暂时封闭
marginal     adj.小的；微不足道的；不重要的；非主体的；边缘的；写在页间空白处的
encode     v.把…译成电码（或密码）, 把…编码, 把…译成外语
competence     n.能力; 胜任, 称职; [律]权限, 管辖权; [语]语言能力
elimination     n.消除，根除；淘汰；消灭，铲除；排泄；【数】消去；【化】消除
aerosol     n.雾化器；悬浮微粒；气悬体
lab     n.〈非正式〉实验室, 研究室
threshold     n.门槛，门口；阈，界；起点，临界点
rehabilitation     n.恢复，复原；善后； 平反；复权
syllabus     n.教学大纲
legend     n.传说,传奇人物,铭文
exploit     v.利用；开拓，开采；压榨
sophisticate     n.老于世故的人; 精于…之道的人
momentum     n.动量, 势头, 动力, 推进力
auction     n.拍卖
lateral     adj.侧面的; 横向的; 平级的, 同级的
bundle     n.捆，束
vegetation     n.草木, （统称）植物
myth     n.神话, 神话故事, 虚构的东西, 荒诞的说法,错误观念
lever     n.撬棒, 杠杆; 控制杆; (用作施加压力等的)手段, 方法
dictate     v.口授, 口述; 使听写; 命令, 发号施令; 支配
peasant     n.农民；庄稼人；乡下人
disadvantage     n.缺点，不利
overhead     adv.在头顶上, 在空中, 在高处
indicator     n.指示器, 标志, 指针, 迹象
invert     v.（使）倒转，（使）颠倒
denote     v.象征，预示；表示，意指
exponential     adj.指数的, 由指数表示的, 越来越快的
insect     n.昆虫
comma     n.逗号, 【乐】(一段音乐中的)短暂停顿或间歇
integral     adj.构成整体所必需的；不可或缺的；完整的；整体的
contradict     v.反驳；与…矛盾
molecule     n.分子
chess     n.国际象棋; 雀麦; 浮桥板
commentary     n.评论, 注释, 解释, 评注
statistically     adv.统计地，统计学上地
destination     n.目的地，终点
thread     n.线；螺纹；思路；衣服；线状物；玻璃纤维；路线
magnitude     n.巨大，广大； 重大，重要； 量级； （地震）级数
coordination     n.协调, 配合, 协作, 协调动作的能力
adjacent     adj.毗连的，邻近的
semester     n.学期
strategic     adj.根据全局而安排的, 战略性的, 战略上的
occurrence     n.发生的事情；存在的事物；发生，出现
rewrite     v.重写, 改写
conserve     v.保护，保存；节约
diffusion     n.传播, 散布, 【物】扩散, 冗长
confine     v.限制；监禁
identification     n.身份证明；识别，鉴定，辨认；情感相通，认同
axiom     n.公理
conditional     adj.附带条件的, 依…而定的
oral     adj.口头的；口服的
preliminary     adj.预备的；初步的
lung     n.肺
reproduction     n.复制品；复制；生殖，繁殖
stack     n.堆, 叠; 大量; 烟囱, 排气管; (图书馆的)藏书书架, 双面大书架
transmission     n.传输，传送；播送，播送的内容；传动装置
precipitation     n.降水（量）；沉淀, 淀析；匆促
locus     n.（某事发生的）确切地点, （被视为某物的）中心
projection     n.投影, 投射, 预测, 放映
radiation     n.辐射，放射
missile     n.导弹, 发射物, 投掷物
parental     adj.父亲的, 母亲的, 父母的, 双亲的
onwards     adv.向前, 从（某时）起一直, 前往
scatter     v.撒播; 使分散; 驱散; 消散; 分散; 零星出现(或发生); 散射
transparency     n.透明（度）, 透明（性）；幻灯片, 透明正片；清晰，易懂；一目了然, 显而易见
specialty     n.专业，专长；特色食品，特产
radius     n.半径；半径范围；周围
headquarter     v.设总部；在…设总部；把…放在总部中
regime     n.组织方法，管理体制；政权，政体
whereby     conj.（= by which）借以, 凭此, 由于
afterward     adv.之后, 后来
lifestyle     n.生活方式
psychologist     n.心理学家, 心理学研究者
dimensional     adj.尺寸的, 空间的, 【数】因次的, …次(元)的
morality     n.道德；道德准则；道德体系
spray     n.水沫; 喷雾; 喷雾器; 飞沫状物; 小树枝; 小花枝
aluminum     n.〈美〉铝，同“aluminium”
selective     adj.选择性的, 有选择的, 认真挑选的, 严格筛选的
evolutionary     adj.进化的, 演变的, 逐渐发展的
tolerance     n.忍耐力；宽容，容忍；公差
portrayal     n.描述, 描写, 描绘, 展现方式
economically     adv.经济地, 节俭地, 节省地, 跟经济有关地
bound     adj.必定的, 注定的; 受约束的; 有义务的; 装订的; 准备前往…的
kidney     n.肾；（食用的）动物腰子
entrant     n.新生, 新职员, 新会员, 新成员
bullet     n.枪弹，子弹
publish     v.发布, 出版, 公布, 发行
dye     n.染料, 染液
slash     v.劈，砍；大幅削减
chronic     adj.（疾病）慢性的；积习难改的
spontaneous     adj.自发的，自然产生的
undergraduate     n.大学本科生
critically     adv.极其, 严重地, 批判性地, 慎重地
infinity     n.（时间，空间等）无限，无穷，[数]无穷大
splice     v.捻接（两段绳子）； 胶接；结婚
nutrient     n.营养素, 营养物
proton     n.质子
postgraduate     n.研究生
reactor     n.反应堆; 阳性反应者; 电抗器; 反应器; 起反应的人(或物)
coordinate     v.协调，整合； 使一致
mechanical     adj.机械（驱动）的；行事呆板的，不加思考的
locally     adv.在本地, 局部地, 在地方上
audio     adj.听觉的；音频的
wavelength     n.波长, （广播电台等使用的）频道
mutation     n.变异, 改变
interestingly     adv.有趣的是, 有意思的是, 有趣地
adverse     adj.不利的，有害的
algorithm     n.算法, 计算程序
individually     adv.单独地, 分别地, 各别地
photographic     adj.摄影的, 摄制的, 照片的
accelerate     v.加速，增速
scripture     n.圣典，经文，经典；《圣经》
breakdown     n.崩溃，故障，失败；分类
thumb     n.拇指, （手套的）拇指部分
algebra     n.代数学
chunk     n.大块；相当大的部分（或数量）
planner     n.规划者, 设计者, 城市规划者, 记事簿
cattle     n.牛
semi     n.一半的, 部分的, 不完全的；半挂车；半独立式的住宅
ridiculous     adj.愚蠢的, 荒谬的, 荒唐的
hepatitis     n.肝炎
degrade     v.贬低，侮辱；（使）降级；降解；退化
ion     n.离子
consultation     n.咨询, 磋商, 查阅, 商讨
legitimate     adj.正当合理的, 合情合理的, 合法的, 法律认可的
exit     n.退出, 出口, 出路, 通道；离开，离去
trivial     adj.不重要的；琐碎的；微不足道的
circa     prep.〔拉丁语〕大约
controversy     n.（公开的）争论，争议
illusion     n.幻觉，错觉；错误的观念
pronounce     v.发音, 读（音）, 正式宣布（或公布、授予等）
ecological     adj.生态的, 生态学的, 关注生态环境的, 主张生态保护的
induction     n.就职（仪式）；入门；诱导；归纳法；电磁感应
communist     n.共产主义者, 共产主义的支持者, 共产党党员
fossil     n.化石；老人；老顽固，老古董
onset     n.开始，开端
dominant     adj.首要的，主导的，占优势的；显著的；（基因）显性的
inference     n.推理，推断，推论；推断的结论
swell     v.（身体部位）肿胀，膨胀；（数量）增多；充满(某种情感)
nonetheless     adv.尽管如此, 然而, 不过
computation     n.计算, 计算过程
socially     adv.社会上, 交际上, 和睦地
bacteria     n.细菌
viable     adj.可行的，可实施的
linear     adj.直线的，线性的；长度的
compact     adj.小型的；袖珍的；紧凑的
ex     n.前妻, 前夫, 前任
anti     adj.反对
peripheral     adj.次要的，附带的；外围的，周边的，边缘的
configuration     n.结构, 布局, 构造, 形状
technically     adv.根据确切意义地, 严格按照事实地, 在专业上, 在技巧上
differentiation     n.区别, 区分, 【生】分化
realistic     adj.实际的，实事求是的；明智的，恰如其分的；逼真的，栩栩如生的
purely     adv.完全, 仅仅
mobility     n.（住处、社会阶层、职业方面的）流动能力, 移动的能力
capillary     n.毛细血管
plural     n.复数形式
curriculum     n.课程
stripe     n.条纹；（表示军阶的）臂章
respiratory     adj.呼吸的
rub     v.擦, 磨, 搓, （使）相互磨擦，打磨平滑
dilute     v.稀释, 冲淡, 变稀, 变淡; 降低(品质); 削弱(信念)
colony     n.殖民地；聚居（地）
traditionally     adv.传统上
render     v.致使，造成；使成为，使变得；给予，提供；提交，呈上；翻译；（乐）演奏；渲染；绘制；秘密偷渡
adolescent     n.青少年
contradictory     adj.相互矛盾的, 对立的, 不一致的
quantum     n.量子
complication     n.使复杂化的问题（情况）；并发症
linguistics     n.语言学
validity     n.符合逻辑；正当；合法性，有效性；（正式的）认可
coherent     adj.条理清楚的, 连贯的, 前后一致的; 协调的; 一致的; 有黏性的; 聚合在一起的
dioxide     n.二氧化物
bilingual     phrase.双语的,用两种语言表达或书写的
quiz     n.小测验, 知识竞赛, 智力游戏
converge     v.集中, 汇集, 聚集, （向某一点）相交
conference     n.会议
manuscript     n.手稿，原稿；手抄本
memorize     v.记住, 记忆
halfway     adj.中间的, 中途的
prey     n.猎物；受害者
footnote     n.脚注, 次要者
cheat     v.欺骗；舞弊；蒙骗；与他人有秘密性关系
innate     adj.天生的, 内在的, 心里的
overview     n.概述, 概况, 纵览, 概论
stabilize     v.（使）稳定，（使）稳固
nasty     adj.令人讨厌的；恶意的；粗鲁的，下流的
entity     n.独立存在物, 实体
antiquity     n.古, 古老, 文物, 古迹
leisure     n.闲暇；空闲；休闲
disturbance     n.干扰，妨碍；骚乱，动乱；失调，紊乱
nucleus     n.核；原子核；细胞核；核心，中心
ray     n.光线, 魟, （热或其他能量的）射线, 少量
estimation     n.评价, 判断, 看法, （对水平、数量的）估计
crude     adj.粗糙的，简陋的；未加工的；粗鲁的
indifference     n.漠不关心, 冷淡, 不感兴趣, 无动于衷
problematic     adj.造成困难的, 产生问题的
informal     adj.不拘礼节的, 友好随便的, 非正规的, 日常的
simulation     n.模拟, 仿真, 假装, 冒充
valve     n.阀; 阀门; (心脏的)瓣膜; <主英>电子管, 真空管
emission     n.排放，散发，射出；排放物，散发物
calculus     n.微积分
tempt     v.诱惑；吸引；使感兴趣
separately     adv.单独地, 分别地
convergence     n.会聚, 集合点, 【数,物】收敛, 【生】趋同(现象)
multiply     v.乘；增加；繁殖
recipe     n.食谱；处方；秘诀
correlation     n.相互关系，相关，关联
dialect     n.方言
acid     n.酸（一种化学物质）
micro     n.微型电脑, 特超短裙
adaptive     adj.适应的, 有适应能力的
realm     n.领域，范围；王国
mole     n.痣, 防波堤, 【动】鼹鼠, 内奸
span     n.一段时间；长度，跨距
dissertation     n.专题论文
limb     n.肢体；树枝，树杈
reproduce     v.生殖，繁殖；复制
poster     n.海报, 招贴画, 宣传画, 标语
indigenous     adj.土著的, 原产的, 本乡本土的, 土生土长的
archaeology     n.考古学
sword     n.剑, 刀
progression     n.进程, 前进, 连续, （进入另一阶段的）发展
intensity     n.(思想、感情、活动等的)强烈, 剧烈, 紧张; (电、热、光等的)强度, 烈度; 色饱和度
inhibit     v.妨碍，抑制，约束；使…有顾忌
unstable     adj.不稳定的，易变的；不牢固的；松脱的
theorist     n.理论家, 理论工作者
unity     n.团结，一致；联合（状态）；统一（状态）
neuron     n.神经元
activate     v.激活；加速反应
collective     adj.集体的，共同的
optimal     adj.最适宜的, 最理想的, 最好的
justification     n.正当理由
conceive     v.构思，设想；怀孕
crystal     n.水晶, 结晶体, 【化】晶体, 水晶玻璃(制品)
specification     n.规格，规范，标准；明细单；详细说明书
diverse     adj.不同的，多种多样的
nicely     adv.细致地, 有吸引力, 令人满意, 令人愉快, 很不错
shallow     adj.浅的，不深的；肤浅的
portray     v.描绘, 描写, 描画, 将…描写成
conscious     adj.注意到的，意识到的；清醒的，有知觉的
connotation     n.含义, 隐含意义
authority     n.当局; 当权者(或机构); 专家; (学术)权威; 管辖权; (授予的)权, 权力; 威信, 影响力; 说服力
reconstruct     v.重建, 修复, 重造, 重现描述
correction     n.批改, 修改, 改正; 改正的东西; 惩治, 惩罚; 消除, 抵消; (市场价格)回落; (工商企业)衰退
ethics     n.道德标准, 道德伦理, 伦理标准, 【哲】伦理学
undermine     v.逐渐削弱（信心、权威等）, 使逐步减少效力, 从根基处破坏, 挖…的墙脚
immune     adj.免疫的; 有免疫力的; 免除的, 豁免的; 可防止的; 不受影响的
actively     adv.积极地, 活跃地, 主动地
machinery     n.机构, （统称）机器, （尤指）大型机器, 机器的运转部分
friction     n.摩擦，摩擦力，分歧
comparative     adj.比较的
dose     n.剂量；一剂
binary     adj.二进制的（用 0 和 1 记数）, 仅基于两个数字的, 二元的
correspondence     n.来往信件；通信联系；相关，相似
likelihood     n.可能；可能性
migrate     v.移动，迁移；（鸟类、动物等）随季节而迁徙
compensate     v.补偿；弥补；赔偿，赔款
sensitivity     n.体贴，善解人意；敏感，多愁善感；灵敏度；过敏性
enormously     adv.非常, 极其
straightforward     adj.简单的, 易懂的; 坦诚的, 率直的; 径直的
grasp     v.抓住，紧握；领会
inhibition     n.抑制, 禁止, 拘谨, 拘束感
gradient     n.坡度；倾斜度
shortly     adv.立刻，马上；没好气地，不耐烦地
rejection     n.拒绝, 否决, 抛弃, 拒斥
