responsible     adj.有责任；承担义务的；应受责备；可信任的
breath     n.呼吸的空气, 一次吸入的空气, 微量, 迹象
employ     v.雇用；使用，利用
failure     n.失败；失败的人或事；故障；破产，倒闭
conversation     n.（非正式）交谈
shake     v.摆脱, 动摇, 摇动, 摇头
affect     v.影响, 侵袭, 假装, 使感染
copy     v.复制, 模写, 仿效, 〔英俚〕抄袭(别人试卷)
wed     v.结婚, 娶, 嫁
ensure     v.保证，确保；担保
indeed     adv.的确，确实（强调肯定的陈述或答复）
organization     n.组织, 机构, 团体, 安排
origin     n.起源，开端；出身
countryside     n.乡村, 郊野
otherwise     adv.否则；除此以外
photo     n.照片
essay     n.短文, 小品文, 尝试, 企图
recruit     v.吸收（新成员）, 征募（新兵）, 动员…（提供帮助）, （通过招募）组成
tea     n.茶, 茶叶, 茶水, 一杯茶
tear     n.眼泪, 泪水, 泪珠
technique     n.技术, 工艺, 技巧, 技能
context     n.背景，环境；上下文，语境
revenue     n.财政收入；税收收入；收益
official     adj.官方的，正式的
advise     v.建议, 通知, 劝告, 忠告
initially     adv.最初, 开始, 起初
affair     n.事件，事情，事务；风流韵事
application     n.应用程序; 申请, 请求; 申请表; 应用; 实用性; 用法; 敷用; 涂抹; 勤奋, 专注
reflect     v.反射; 反映; 表明, 显示; 反省, 反思
tennis     n.网球
reform     v.改革；改进；改造；改过自新
totally     adv.完全地, 百分之百地, 全部地, 〈口〉确实
skin     n.皮, 皮肤, …皮肤的, （兽）皮
daily     adj.每日的, 日常的, 每个工作日的, 按日的
register     v.登记; 注册; 挂号邮寄; 指示, 显示; 流露, 显出; 表示, 表达; 意识到
existence     n.存在，生存
gray     adj.灰色的； 灰白头发的； 阴暗的； （指脸因恐惧、生病等）苍白的
dangerous     adj.有危险的, 引起危险的, 不安全的
widely     adv.广泛地, 普遍地, 大量地, 很大程度上
artist     n.艺术家, 大师, 美术家(如画家,雕塑家等)
dark     adj.黑暗的, 昏暗的, 阴暗的, 深色的
green     adj.绿色的；草绿色的；长满青草的；未成熟的；缺乏经验的；环境保护的
data     n.（datum的复数）资料，数据
relate     v.联系, 讲述, 叙述, 使有联系
invest     v.投资, （把资金）投入, 投入（时间、精力等）, 授予
window     n.窗口, 窗户, 窗玻璃, 视窗
slowly     adv.缓慢地, 迟缓地, 慢条斯理地
thick     adj.厚的, 粗的, 浓密的，密集的
rely     v.信赖，依赖，信任
passage     n.(文章、讲话等的)一段, 一节; 段落; 走廊; 过道, 通道; (时间)流逝, 推移; (法案等)通过; 旅程, 航程
middle     n.中间, 中部, 中央, 中心
card     n.信用卡, 贺卡, 插件, 怪人
hair     n.毛发, （尤指）头发, 有…毛发（或头发）的, （植物叶、茎上的）茸毛
deep     adj.深的, 厚的, 纵深的, 宽的, 深奥的, 深沉的, 强烈的
replace     v.取代，更换
largely     adv.多半, 在很大程度上, 主要地
confirm     v.证实; 肯定, 确认(安排、日期等); 巩固, 加强; 批准
landscape     n.风景，景色；乡村风景画；（文件的）横向打印格式
delay     n.耽搁，推迟
command     n.命令，指挥；司令部；控制；掌握
mistake     n.错误, 失策, 失误, 误会
somehow     adv.以某种方式（或方法）, 由于某种未知的原因, 不知为什么, 不知怎么地
port     n.港口, 〈英〉门, 舱门, 机场
percent     n.百分之…
resource     n.资源, 资料, 才智, 财力
respect     n.尊敬, 敬重; 关系; 方面; 注重, 重视
farm     n.农场, 养殖场, 农舍, 饲养场
considerable     adj.相当大的; 相当多的; 重大的, 重要的; 值得注意的
bore     v.使厌烦；钻孔，挖，凿
desire     n.愿望，欲望；情欲
tomorrow     adv.在明天, 在明日
central     adj.最重要的； 首要的, 主要的, 起支配作用的；中心的
mood     n.情绪, 心情, 气氛, 氛围
entire     adj.全部的，整个的
space     n.空间, 太空, 空格, 空白
chairman     n.主席, 主持人, （公司等的）董事长
physical     adj.身体的, 肉体的; 实物的, 有形的; 物理的, 物理学的
reveal     v.显示；表明；透露；揭露；展示；使显露
yield     v.出产; 产生, 带来; 放弃; 让位; 让路; (使)屈服; (使)投降
gather     v.聚集, 集合, 搜集, 积聚, 增加（力量, 速度等), 收割, 收获
feed     v.饲养, 喂养, 供应, 供给
update     v.更新, 使现代化, 向…提供最新信息, 给…增加最新信息
kill     v.杀死, 扼杀, 弄死, 毁灭
researcher     n.研究员, 科研工作者
evening     n.晚上, 傍晚, 晚会, 晚间活动
tooth     n.齿, 牙, 齿状部分
difficulty     n.困难, 难度, 困境, 难题
slightly     adv.略微；稍微
musical     adj.音乐的；有音乐天赋的；悦耳的；音乐般的
knowledge     n.知识, 了解, 学问, 学识
plain     n.平原; 朴实无华的东西
road     n.道路, 公路, 途径, 方法
track     n.小路, 小径; 足迹, 踪迹; 跑道; 轨道; 路线; 一首歌曲; 音轨; 工作方向; 思路
directly     adv.正, 立即, 立刻, 直接地
asset     n.资产, 财产, 有价值的人（或事物）, 有用的人（或事物）
scene     n.现场, 景象, 情景, 景色,事件
fine     adj.美好的, 优雅的, 清秀的, 有风度的，健康的; 令人满意的，可以接受的; 很好的；水准很高的; 晴朗的; 纤细的，极细的; 精美的，精巧的
cinema     n.电影院, 电影艺术, （去电影院）看电影, 电影制片业
circle     n.圆, 圈, 圆形, 圆圈
nature     n.自然, 本质, 大自然, 本性
basis     n.基础, 基准, 基点, 方式
disorder     n.杂乱，混乱，凌乱；紊乱，失调，疾病；骚乱，动乱
neck     n.颈, 脖子, 颈部, 领子
negative     adj.坏的，有害的；消极的，负面的；否定的；负极的，阴性的；小于零的
district     n.区, 地区, 区域, 行政区
engineer     n.工程师, 技师, 工兵, 技工
divide     v.划分；分隔；除，除以
population     n.人口，种群
leader     n.领袖, 领导者, 首领, 最佳的人（或物）
theme     n.题目，主题
clothes     n.衣服, 服装
notion     n.观念，想法，主张
crucial     adj.至关重要的, 关键性的
document     n.文件, 【计】(电脑)文件
domestic     adj.国内的；家庭的；驯养的
upset     adj.不快的，心烦意乱的，烦恼的；难过；不高兴；失望；沮丧
adult     n.成人, 长成体
advertisement     n.广告, 广告宣传, 启事, 广告（样）品
normal     adj.典型的, 正常的, 一般的, 精神正常的
normally     adv.通常, 正常地, 正常情况下, 平常地
extent     n.程度；范围
strategy     n.策略, 战略, 策划, 战略部署
press     n.按; 印刷; 出版社; 新闻界; 报刊; 压平; 熨平; 推动；橱柜
pretty     adv.相当, 很
weapon     n.武器, 兵器, 凶器, 手段
prevent     v.预防；阻止, 阻碍, 阻挠
stretch     v.撑大；伸展，张开；延伸；舒展；绵延，延续
freedom     n.（指权利）自由, （指状态）自由, 自由民地位（不是囚犯或奴隶）
scare     v.使受惊吓；吓跑
imagine     v.想, 设想, 想象, 认为
beside     prep.在旁边(或附近); 与…相比; 除…以外
nuclear     adj.原子能的, 核能的, 核武器的, 核子的
sea     n.海, 海洋, 大量, 海面情况
numerous     adj.为数众多的，许多的
import     n.进口; 进口商品; 意思, 含意; 重要(性)
importance     n.重要性, 重大
drop     v.(使)滴下; (使)落下; (使)降低; (使)减少; 累倒; 停止, 结束
beyond     prep.超出, 在（或向）…较远的一边, 晚于, 迟于
absence     n.没有；缺乏；缺席
object     n.物体, 实物；目的, 宗旨；<计>目标；<语>宾语；<哲>客体, 客观；（思想或行动的）对象
scream     v.（因伤痛、害怕、激动等）尖叫, （向某人或为某事）高声喊
improve     v.改善, 改进
observation     n.观察；观测；监视；评论
king     n.国王, 大王, 君主, 巨型…
anyone     pron.（用于否定句、疑问句，也用于 if 或 whether 之后，或紧接 prevent、forbid、avoid 等动词，代替 someone）任何人
obvious     adj.明显的，显然的；易理解的；公认的；平淡无奇的
anywhere     adv.（用于否定句和疑问句，代替 somewhere）在任何地方
fresh     adj.新鲜的, 新产的, 刚摘的, 新近的
secondary     adj.次要的；从属的；（教育）中等的；间接引发的；继发性的；次生的
originally     adv.原来, 起初
arrange     v.安排, 排列, 整理, 布置
seed     n.种子, 籽, 后裔, 萌芽
aim     n.目标，对准
aside     adv. 在一边，向旁边
patient     n.病人
self     n.自我, 本人, 本来面目, 个性
easily     adv.容易地, 轻易地, 无疑, 不费力地
board     n.木板；甲板；公告板；黑（白）板；董事会；伙食； 舞台
conduct     v.进行; 组织, 实施; 处理; 管理; 表现, 为人; 指挥; 导电, 传热; 给…做向导, 陪同
avoid     v.避免, 避开, 防止, 回避
appoint     v.任命，指定；约定（时间，地点）
neighbor     n.(=[英]neighbour)邻居, 同胞, 邻近的人, 邻国(人)
connect     v.连接, 接通, 沟通, 联结
efficient     adj.效率高的，高效的
effort     n.力气; 精力; 努力; 费力, 痛苦
bottom     n.底部, 水底, 底面, 臀部
famous     adj.著名的, 有名的, <口>极好的
variation     n.变化，变动；（同一事物略微的）变化形式；变奏曲
spell     v.用字母拼，拼写，拼出，拼作；招致；暂时代替；稍事休息；导致
branch     n.树枝；（公司或组织的）分店，分部；（政府或公安机关的）部门，机构；（学科或家族的）分支
demonstration     n.示范, 演示, 证明; 表示，表露；示威游行; 示威集会
separate     adj.分开的，各自的，单独的
lunch     n.午餐, (两餐之间)便餐, 作午餐[便餐]用的食物, 〔美国〕便餐
breast     n.（女子的）乳房, （男子的）退化乳房, 胸部, 胸脯
retirement     n.退休；引退；退休年龄；退休生活
behavior     n.行为, 性能, 表现, (生物的)习性
administration     n.（企业、学校等的）管理，行政；管理部门，行政部门；施行，执行；（尤指美国）政府
employee     n.雇员, 受雇者, 雇工
violence     n.暴力；（言行的）狂暴
brief     adj.短时间的, 短暂的, 简洁的, 简单的
direct     adj.直接的；亲身的；笔直的, 径直的；直系的；截然的, 正好的
convert     v.（使）转变；（使）改变信仰
cook     v.烹饪, 烹调, 煮（或烘烤、煎炸等）, 密谋
spirit     n.精神; 灵魂, 鬼魂; 心灵; 神灵; 心境, 情绪; 勇气; 志气; 脾气; [复数]烈酒
opportunity     n.机会, 时机
crowd     n.人群, 群众, 观众, 民众
voice     n.声音, 嗓音, 发言权, 代言人
core     n.核心, 精髓, （水果的）果心, （物体的）中心部分
engage     v.吸引住；参与；订婚；与……建立密切关系；与（某人）交战; 从事
vote     v.选举, 提议, 选出, 建议
ship     n.舰, （大）船
shirt     n.（尤指男式的）衬衫
council     n.委员会；理事会；地方议会；协商会议
glad     adj.高兴的, 乐意的, 愿意的, 愉快的, 感谢的
maintain     v.维持; 维修, 保养; 赡养, 负担, 支持; 主张, 断言; 保卫, 守住
quickly     adv.迅速地, 马上, 立刻, 飞快地
industrial     adj.工业的，产业的
core     n.核心, 精髓, （水果的）果心, （物体的）中心部分
engage     v.吸引住；参与；订婚；与……建立密切关系；与（某人）交战; 从事
vote     v.选举, 提议, 选出, 建议
ship     n.舰, （大）船
shirt     n.（尤指男式的）衬衫
council     n.委员会；理事会；地方议会；协商会议
glad     adj.高兴的, 乐意的, 愿意的, 愉快的, 感谢的
maintain     v.维持; 维修, 保养; 赡养, 负担, 支持; 主张, 断言; 保卫, 守住
quickly     adv.迅速地, 马上, 立刻, 飞快地
industrial     adj.工业的，产业的
industry     n.工业, 行业, 勤奋, 生产制造
waste     n.垃圾, 废物, 浪费, 废料
burn     v.燃烧, 烧着；发烧；发光, 发亮；烧毁；烧伤；充满炽热情感；点燃；烧制；把…晒黑；刻录
wave     n.波浪; 波动; 风潮, 浪潮, 潮流; 波纹; [物]波
pitch     n.沥青; 音高;  说教; 广告语; 宣传; 运动场地, 比赛场地; [感情或活动的]激烈, 强烈; 投球; [船或飞机的]颠簸; [屋顶的]斜度, 坡度
target     n.目标, 靶, 指标, 对象
criminal     adj.犯罪的；刑事的
crisis     n.危急关头，危机
enemy     n.敌人, 敌军, 敌国, 仇人
cultural     adj.与文化有关的, 文化的, 与艺术、文学、音乐等有关的
ease     n.容易，方便；舒适，安逸
exception     n.例外
symbol     n.象征，象征物；符号，标志
page     n.页, 张, 版, 版面, 历史篇页（指历史大事或时期）
terrible     adj.非常讨厌的, 令人极不快的, 可怕的, 危害极大的
excuse     n.借口；理由；辩解；（正当的）理由
pair     n.对, 一对, 一双, 分两个相连接部分的物体
calculate     v.计算, 预测, 核算, 推测
sky     n.天空
exhibit     v.展览，展出；显示
interaction     n.相互交流；相互作用，相互影响
integrate     v.合并，整合；使成为一体；加入，融入（群体）
introduce     v.介绍，引见；引进，实施，采用；将…放入；作为…的开头；将…提交讨论
decline     v.减少，下降；衰退；谢绝
reject     v.拒绝接受；不予考虑；不录用；排斥，排异
wild     adj.狂热, 自然生长的, 野的, 野生的
campaign     n.战役, 运动（为社会、商业或政治目的而进行的一系列有计划的活动）
appreciate     v.欣赏，赏识；理解，明白；感激；增值
winner     n.优胜者, 成功者, 获胜的人（或队、动物等）, 可能成功的人（或事物）
justice     n.公平；公正；合理；正当性；正义，公道；法官；司法
rapidly     adv.迅速地；很快地；立即
pleasure     n.快乐, 高兴, 愉快, 乐事
guard     n.保护, 警卫, 卫兵, 保卫
extreme     adj.极度的；极大的；极端的; 异乎寻常的；严重的
extremely     adv.非常, 极其, 极端
capacity     n.容量，容积；能力；生产力；地位；职位，职责
significantly     adv.极大地, 显著地, 大幅度地, 意味深长地
path     n.道路, 小路, 小径, 路线
abandon     v.放弃, 抛弃, 废弃, 遗弃
shout     v.叫, 喊叫, 嚷, 呼叫
repair     v.修理；补救
careful     adj.小心, 注意, 谨慎, 细致的
criterion     n.标准，准则
defeat     v.击败, 战胜; 挫败; 使落空
joke     n.笑话, 玩笑, 笑柄, 笑料
threaten     v.威胁, 恐吓; 威胁到, 危害到; 构成威胁; 似将发生, 可能来临
minister     n.部长, 牧师, 公使
definitely     adv.明确地，确切地，肯定地
degree     n.度, 程度, 级别, 度数（温度单位）, （大学）学位
judge     n.法官；裁判员；鉴定人，鉴赏家
reputation     n.声誉，名声
license     n.(=<英>licence) 许可证; 执照; 特许, 许可; 不拘一格; 放纵
discount     n.折扣
cat     n.【动】猫, 【动】猫科动物, 爵士乐爱好者, 【船】起锚滑车
happy     adj.感到（或显得）快乐的, 高兴的, 给予（或带来）快乐的, 使人高兴的
perceive     v.认为，视为；察觉，感觉，认知
perfect     adj.完备的, 完美的, 完全的, 完全正确的
sex     n.性, 性别, 男性, 女性
somewhere     adv.在某处, 到某处
song     n.歌, 歌曲, 歌唱, 声乐
personal     adj.个人的, 私人的, 人际的, 个性的
hate     v.讨厌, 憎恨, 不想
south     adj.南方的, 向南的, 南部的, 南风的
foot     n.足；底部；英尺(相当于 12 英寸或 30.48 厘米)
fear     n.害怕, 惧怕, 担忧
retire     v.（令）退职, （使）退休, （因伤）退出（比赛等）
favor     n.赞成, 支持; 恩惠; 偏爱, 偏袒; 好感, 喜爱; 利益
gold     n.黄金; 金黄色; 黄金制品; 金币; 大量金钱; 珍贵的品质
mountain     n.山, 高山, 山脉, 山岭
charge     n.价钱, 费用；充电, 电荷；责任, 职责；掌管, 照管；控告, 指控
movie     n.电影
drama     n.戏剧，话剧，剧；戏剧性情节；戏剧效果；激动，刺激
kitchen     n.厨房
differ     v.不一致，不同意
author     n.作者, 作家, 著者, 发起人
field     n.领域; 牧场; 旷野; 场地; 战场; 运动场; 磁场; [计]字段
ring     n.戒指, 指环, 环状物; 圆圈; 敲钟, 按铃; 铃声, 钟声
studio     n.录音室，录像室，录音棚；工作室；单间公寓
height     n.身高；高度；高地；最强点，顶点；更好，更高水平
award     n.奖, 奖金, 奖品, 奖学金
disadvantage     n.不利因素, 障碍, 不便之处
narrow     adj.狭窄的，窄小的；勉强的，刚刚好的；（数目或种类）有限的
disaster     n.灾害, 灾难, 灾祸, 不幸
rarely     adv.很少, 罕有, 不常
discipline     n.纪律; 自律; 训练; 学科; 惩罚; 规章制度; 教规
native     adj.本国的，本土的，出生地的，天生的
plot     n.阴谋；情节；图； (小块)土地
firm     adj.硬的；坚固的， 稳固的；坚决的；【商业】固定的；(货币)坚挺的
dish     n.盘, 碟, 菜肴, 一道菜
satisfaction     n.满意；满足；妥善处理
nearly     adv.几乎, 将近, 差不多
classroom     n.教室, 教学活动, 教学方法
stare     v.凝视, 盯着看, 注视
pollution     n.污染, 污染物, 垃圾, 玷污
climate     n.气候; 气候区; 风气; 思潮; 环境气氛
nevertheless     adv.然而, 不过；仍然
partner     n.合伙人, 搭档, 同伴, 配偶
assumption     n.假定，设想；担任（职责等） ；装出；假装
trust     n.信任, 信托, 相信, 信赖
fascinate     v.深深吸引；迷住
lean     v.倾斜, 倚靠, 前俯（或后仰）, 靠在
nine     n.九岁, 九点钟, 九点(的牌), <美>棒球队
brand     n.品牌；类型；烙印
pound     n.英镑（英国货币单位，等于 100 便士）
nobody     pron.没人, 无人
noise     n.噪声, 噪音, 声音, 干扰
college     n.大学; 学院; 职业学校, 技术专科学校; 学会; 社团; 学院的全体师生
doubt     n.疑问, 疑惑, 不相信, 不确定
cycle     n.循环, 周期, 自行车, 摩托车, 整套
hurt     v.受伤, 感到疼痛, 使不快, 使烦恼, 使伤心, 损害
north     n.北, 北方, 北部, 北部地区
identify     v.确认；认出；鉴定；察觉，发现；显示；说明身份
forget     v.忘记, 遗忘, 忘记做（或带、买等）, 不再想
investor     n.投资者, 投资机构
formula     n.公式; 方程式; 准则, 法则; 方案; 配方; 配方奶; 惯用语句
previously     adv.先前；以前
image     n.图像, 形象, 影像, 意象
corporate     adj.公司的, 组成公司（或团体）的, 法人的, 社团的, 公司的；共同的，全体的
immediate     adj.立即的，立刻的；目前的，当前的；直接的；直系的
likely     adj.可能的, 预料的, 有希望的, 似乎合适的
imply     v.暗示，意味
prisoner     n.囚犯, 犯人, 俘虏, 战俘
angry     adj.发怒的, 愤怒的, 生气的, 红肿的
common     adj.常见的, 通常的, 普遍的, 共有的
medical     adj.医疗的，医学的
observe     v.注意到, 察觉到; 观测, 观察; 监视; 遵守; 庆祝; 评论, 说
presidential     adj.总统[总裁,议长,董事长,校长等](职务)的, 统辖的
obtain     v.得到, 获得; 如愿以偿; 通用, 流行; 存在
obviously     adv.显然, 明显地
due     adj.预计的，预期的；欠债的，应支付的，应给的
competition     n.比赛，竞争
friendly     adj.友爱的, 友好的, 善意的, 亲切的
promise     v.承诺，保证；有希望，有可能
suffer     v.遭受，蒙受；受难；变差
sufficient     adj.足够的，充分的
frequently     adv.频繁地, 时常, 不断地
ear     n.耳, 耳朵, 有…耳朵的, 耳朵…的
supplier     n.供货商, 供应者, 供货方
locate     v.找出…的准确位置, 确定…的准确地点, 把…安置在（或建造于）
budget     n.预算
earn     v.赢得, 挣得, 挣钱, 赚得
fundamental     adj.基本的，根本的，重要的
earth     n.地球, 土, 大地, 世界
conclude     v.得出结论; 断定, 推断出; (使)结束; 订立, 缔结(条约、协议)
usual     adj.通常的, 寻常的, 惯常的
edge     n.边，边缘；优势，上风；刀刃
garden     n.花园, 公园, 庭园, 园子
surprise     n.惊讶, 惊奇, 意外, 意想不到（或突然）的事
sentence     n.句子; 判决, 判刑, 宣判; 命题
egg     n.卵子, 卵细胞, （鸟类的）蛋, （鱼、昆虫等的）卵
eight     num.八
beer     n.啤酒, 一杯（或一瓶、一罐）啤酒
boundary     n.分界线，边界
consideration     n.考虑；体贴；考虑因素
belief     n.信仰, 信念, 相信, 信心
beauty     n.美, 美丽, 美人, 优点
achieve     v.完成, 实现; 达到, 得到, 获得
baby     n.婴儿, 动物幼崽, （家庭或团体中）最年幼的成员, 幼稚的人, (昵称）宝贝儿
overall     adj.全面的；综合的；总体的
settlement     n.协议，和解；清偿，结算；定居地；殖民（地）；定居点，村落；沉降，下陷
victory     n.胜利
personally     adv.亲自, 本人, 就本人而言, 就个人意见
recognition     n.认出，识别；承认，认可；赞誉，赏识
operate     v.操作，运转；动手术
encourage     v.鼓励, 激励, 促进, 助长
hardly     adv.几乎没有, 几乎不, 尤用于 can 或 could 之后, 刚刚; 艰难地; 严厉地
minimum     n.最小量，最低限度
majority     n.多数；大多数
option     n.选项；选择；选修课
agency     n.中介；代理；代理行；经销处；服务机构；（政府的）专门机构，部门；力量；作用
race     n.人种, 种族, 赛跑, 竞争, 民族
correct     adj.准确无误的, 精确的, 正确的, 恰当的
shift     v.转移；更替；转嫁；换挡，变速
enormous     adj.巨大的，庞大的
sir     n.老师, 阁下, （对不认识的男性的称呼或对男性的尊称）先生
county     n.（英国、爱尔兰的）郡, （美国的）县
couple     n.夫妻; 情侣; 一对, 一双; 不确定的小数目, 两个, 两三个, 几个
double     adj.两倍的, 加倍的, 双的, 成双的
environment     n.生态环境, 自然环境, （影响个体行为或事物发展的）环境, 客观环境
equal     adj.（大小、数量、价值等）相同的, 相等的, 平等的, 同等的
handle     v.处理, 控制, 操纵, 拿
rare     adj.(事情、境况等)稀有的, 罕见的; (东西)珍贵的, 珍奇的; (肉)煎得嫩的; (蛋)半熟的, 溏心的
wash     v.洗, 洗脸, 洗涤, 洗手
crack     v.（使）破裂，断裂；重击，猛击
square     adj.正方形的，四方形的；成直角的；方的
red     adj.红的, 红色的, 充血的, 布满血丝的
amaze     v.使惊奇, 使惊愕, 使惊诧
proportion     n.比例, 比; 部分; 份儿; 面积; 体积; 程度; 均衡, 相称
establish     v.建立，创立；使立足，使稳固；得到认可；查实，证实
weak     adj.虚弱的, 无力的, 稀薄的, 稀释的, 无说服力的
estimate     v.估计，估价
crime     n.犯罪，罪行
screen     n.屏幕, 画面, 银幕, 屏风
site     n.网站, 站点, 现场, 位置
wet     adj.潮的, 湿的, 潮湿的, 有雨的
inside     n.内部, 里面, 内侧, 内脏, （靠近路边的）慢车道
outline     v.概述, 概括; 显示…的轮廓; 勾勒…的外形
consumer     n.消费者；顾客；用户
inspire     v.激励，鼓舞；启发，使产生灵感
guy     n.家伙, 男人, 小伙子, 拉索
weight     n.重量, 分量, 重物, 砝码
welcome     v.欣然接受, 迎新, （打招呼）欢迎（某人的到来）, 欢迎（新来的人）
master     n.专家，能手，高手；硕士；主人
west     n.西, 西方, 美国西部, 西方（与东方国家相对照的欧洲和北美）
instrument     n.乐器；工具；仪器，器械
temperature     n.温度, 气温, 体温
appeal     n.恳求；上诉；吸引力
reduction     n.还原, 降低, 减少, 缩小
except     v.不包括, 不计, 把…除外
attack     n.攻击；袭击；进攻；（口头或书面的）抨击；抑制；打击；（疾病）侵袭
whenever     adv.（用于问句，表示惊奇）究竟什么时候
pack     v.收拾行李；打包；挤满，塞满
meal     n.早（或午、晚）餐, 一顿饭, 一餐所吃的食物
variable     adj.可变的，易变的
grand     adj.壮丽的, 堂皇的, 重大的, （用于大建筑物等的名称）大
refuse     v.拒绝；回绝
exercise     n.运动, 练习, 行使, 演习
currently     adv.当前, 目前, 现时, 时下
international     adj.国际的
arise     v.出现; 形成, 产生; 上升, 升起; 起立, 起床; 引起, 产生
damage     n.损坏，破坏，损害；损害赔偿金
arrest     v.逮捕, 阻止, 拘留, 中止
introduction     n.引入, 引进；采用；引言, 序；介绍, 引见；入门, 初阶
expensive     adj.昂贵的, 花钱多的, 价格高的
calm     adj.泰然自若的, (海洋,天气等)安静的, 若无其事的, 静寂的
appointment     n.任命，委派；约会，预约; 职位, 职务
relationship     n.关系, 联系, 情爱关系
provision     n.提供，供给（品），给养；准备；规定，条款
partly     adv.一定程度上, 部分地
finger     n.手指, 有…手指的（指类型）, 有（或用）…手指的（指数目）
actor     n.演员, 男演员, 行动者, 表演者
winter     n.冬季, 冬天
expression     n.表达；陈述；表现, 表露；表情；词语；措辞
thin     adj.薄的, 细的, 瘦的, 稀少的, （液体）稀的, 淡的
fan     n.迷, 狂热爱好者, 狂热仰慕者, 风扇
message     n.消息, 教训, 电邮信息, （手机）短信息
metal     n.金属
guilty     adj.内疚的；有罪的
capture     v.抓取，获得；迷住
hall     n.大厅, 礼堂, 门厅, 正门过道
joint     adj.联合的，共同的
threat     n.威胁，恐吓, 凶兆, 隐患
preserve     v.保护；保持，保存；保养；保鲜；腌制
journalist     n.新闻记者, 新闻工作者
faith     n.信心, 信任, 相信, 宗教信仰
peace     n.和平, 平静, 宁静, 和睦
peak     n.山顶，顶峰，山峰；顶端，尖端；帽舌
cash     n.现金, 资金
legislation     n.立法，制定法律；法规，法律
aircraft     n.飞机, 飞行器
reserve     v.保留，预订
somebody     pron.某人
temporary     adj.临时的；暂时的；短暂的
thus     adv.因此, 这样, 如此, 从而
bike     n.自行车, 脚踏车, 摩托车
grateful     adj.感激的，感谢的
perform     v.做, 进行; 演出, 表演; 执行, 履行; 工作; 运行; 表现
modern     adj.现代的, 近代的, 现代化的, 摩登的
till     n.（商店、餐馆等的）现金出纳机; 收银机；(收银机中的) 钱柜
respond     v.回复；反应，响应；应对
equally     adv.平等地, 同样地, 相等地, 平均地
software     n.软件
tip     n.末端, 末梢; 顶端; 小费; 小窍门, 忠告, 建议, 实用的提示; 垃圾场; 脏乱的地方
perspective     n.视角，观点，看法；透视画法；透视效果；客观判断力，权衡轻重的能力
persuade     v.说服, 劝说, 使信服, 使相信
despite     prep.尽管，虽然
abuse     n.虐待；滥用； 辱骂，谩骂； 侮辱； 恶习，陋习
retain     v.保留；保持；保存
fat     adj.肥的, 肥胖的, 厚的, 宽大的
scale     n.规模；刻度；级别；比例尺；鳞；(scales) 秤，磅秤
career     n.职业, 事业, 生涯, 经历
character     n.性格，个性；品德，品质；人物，角色；字符；特性，特色；（令人讨厌或古怪的）人；（有趣的或不同寻常的）人
tonight     adv.在今夜, 在今晚
ride     v.骑, 乘坐, 骑马, 搭乘
fellow     n.家伙, 同事, 男人, 同辈
kiss     v.亲吻, 接吻, 轻拂, 轻触
speed     n.速, 速率, 快, 迅速
massive     adj.巨大的；大而重的；结实的；非常严重的
heat     n.热；温度；高温；炉灶；压力
muscle     n.肌, 肌肉, 体力, 权力
sad     adj.悲哀的, 难过的, 显得悲哀的, 令人悲哀的
aware     adj.知道的, 意识到的
label     n.标签, 签条, 标记, （不恰当的）称谓
plastic     adj.塑料的；可塑的；不自然的，做作的
rock     n.岩石, 【乐】摇滚乐, 【食】棒糖, 〈非正式〉宝石(尤指钻石)
transfer     v.转移，调转，调任
highly     adv.非常，很；高标准地；高级地；极为（赞许），评价高的
civil     adj.公民的；民用的；文明的
pocket     n.口袋, 衣袋, 兜, （附在车门上、提包内等的）小口袋
sheet     n.薄板, 床单, 纸张, 报纸
hit     v.打, 打击, 击中, 命中
row     n.一行, 争吵, 纠纷, 严重分歧
politics     n.政治；政治事物（活动）；政见；权术
flat     adj.水平的；平坦的；平滑的；枯燥的；无趣的；缺乏热情的；不景气的；萧条的；生意清淡的（价格）固定的；瘪的；扁平的；平淡的；单调的；断然的；绝对的
quarter     n.季度, 一刻钟, 宿舍, 四等份之一,（城镇的）区, 25分硬币
constantly     adv.不断地, 时常地
therefore     adv.因此
truly     adv.确实, （用于说法、感觉等）真诚地, （指描述）确切
leadership     n.领导, 领导能力, 领袖, 领导人员
truth     n.真理, 事实, 真实, 真实性
closely     adv.仔细地, 接近地, 密切相关的, 详尽地
clearly     adv.显然, 清楚地, 清晰地, 明白地
possibly     adv.可能, 或许, 尽可能, 强调惊奇、恼怒等
rural     adj.乡下的；乡村的；农村的；有乡村特色的；田园的；有乡土气息的
hospital     n.医院
host     n.主人, 许多, 无数, 大量
obligation     n.义务，责任
household     n.家庭, 一家人, 同住一所（或一套）房子的人
collapse     v.倒塌；崩溃，瓦解
stuff     v.填满，塞满，吃撑
length     n.长度，篇幅；细长的一段
stock     n.股份，股票；库存；家畜
advance     n.前进; 进展; 增加; 预支, 预付
advantage     n.优势, 优点, 有利条件, 有利因素
stone     n.石, 结石, 宝石, 岩石
predict     v.预言；预测；预告
dozen     n.很多, （一）打, 十二个, 十来个
manner     n.方式, 举止, 方法, 礼貌, 风格
agreement     n.协议；同意，一致
save     v.保存, 拯救, 节省, 节约
president     n.(国家)总统, (公司)总裁, 总经理, 社长(日本), 大学校长
pressure     n.压力；压强；心理压力；紧迫，催促；大气压
manufacturer     n.制造商
