ant     n.蚂蚁
cylinder     n.圆柱体；圆筒状物；（发动机的）气缸
slavery     n.奴隶制；奴隶制度
unify     v.联合, 统一, 使成一体, 使一元化
width     n.宽度, 广度, 某一宽度的材料, （游泳池两长边之间的）池宽
vegetation     n.草木, （统称）植物
verbal     adj.口头的, 言语的, 词语的, 口头（而非书面）的
partially     adv.部分地；在某种程度上；有点儿
deficiency     n.缺乏，不足，缺点
polar     adj.两极的；极地的；完全对立的，截然不同的
disrupt     v.扰乱, 打乱, 使中断
mercy     n.慈悲，怜悯；仁慈，宽容
inability     n.不能, 无力, 无能
decay     n.腐烂；衰退
shipment     n.运输，装运；运输的货物
shorten     v.（使）变短；缩短
pavement     n.人行道
economical     adj.经济的, 实惠的, 节俭的, 节约的
syllable     n.音节
approximation     n.近似值, 粗略估算, 类似事物
miner     n.矿工, 采矿者
distinctive     adj.独特的, 特别的, 有特色的
aerosol     n.雾化器；悬浮微粒；气悬体
peasant     n.农民；庄稼人；乡下人
aggregate     n.合计, 总数
grin     v.露齿而笑，咧着嘴笑
respiratory     adj.呼吸的
worm     n.蠕虫, 蠕虫病毒, （人或动物体内的）寄生虫, 肠虫
dairy     adj.牛奶的, 奶制的, 乳品的, 乳品业的
worship     v.崇敬，崇拜（神）；敬仰，热爱
disperse     v.（使）分散，散开；疏散，驱散；散布，传播
sniff     v.嗅，闻；（哭泣或感冒时）抽鼻子；嗤之以鼻地说
linear     adj.直线的，线性的；长度的
feasible     adj.可行的, 行得通的; 合理的; 可用的, 适宜的
harmful     adj.（尤指对健康或环境）有害的
timber     n.木料; 林木; (人的)素质, 才干
soften     v.使柔软，使柔和；（使）缓和；减轻，减缓
permanently     adv.永久地, 永远, 长期, 一直
philosopher     n.哲学家, 深思的人, 善于思考的人
certainty     n.确定，确信；确实的事情
spice     n.调味料，香料；调剂品；额外的趣味
spiral     n.螺旋形
evolutionary     adj.进化的, 演变的, 逐渐发展的
oxidize     v.（使）氧化；（尤指使）生锈
exploitation     n.开发, 开采, 利用, 剥削
dialect     n.方言
atomic     adj.原子的；原子能的
configuration     n.结构, 布局, 构造, 形状
dictate     v.口授, 口述; 使听写; 命令, 发号施令; 支配
prevalence     n.流行; 普遍; 流行程度
morphology     n.【生】形态学, 词法学
fetch     v.（去）拿来, （去）请来, 售得（…的价钱）
fever     n.发热, 发烧, 狂热, 热（病）
pine     n.松木, 【植】松树； (Pine)人名
automobile     n.汽车
empirical     adj.经验主义的；依靠经验的
onset     n.开始，开端
chill     v.使……冰冷; 变冷; 使震惊; 使沮丧; 镇定下来, 放松
rocky     adj.岩石的, 多岩石的, 困难的, 难以维持的
footnote     n.脚注, 次要者
entail     v.需要，使必要；牵涉
lecturer     n.讲演者, 讲课者, 讲授者, （尤指英国大学的）讲师
circular     adj.圆形的，环形的；环行的，绕圈的；循环论证的；大量送发的
disgust     n.厌恶，憎恶
rose     n.玫瑰,蔷薇
privately     adv.私下
haul     v.（用力）拉，拖（重物）
classification     n.分类, 分级, 分类法, 归类
rocky     adj.岩石的, 多岩石的, 困难的, 难以维持的
footnote     n.脚注, 次要者
entail     v.需要，使必要；牵涉
lecturer     n.讲演者, 讲课者, 讲授者, （尤指英国大学的）讲师
circular     adj.圆形的，环形的；环行的，绕圈的；循环论证的；大量送发的
disgust     n.厌恶，憎恶
rose     n.玫瑰,蔷薇
privately     adv.私下
haul     v.（用力）拉，拖（重物）
classification     n.分类, 分级, 分类法, 归类
statue     n.雕像, 塑像, 铸像
spider     n.蜘蛛
independently     adv.独立地, 自由地
protocol     n.议定书, 礼仪, 外交礼节, 条约草案
horizontal     adj.水平的, 与地面平行的, 横的
horn     n.(车)喇叭; (乐器)号; (牛、羊等的)角; 角状物; 角制品
terrain     n.地形, 地带, 地势
threshold     n.门槛，门口；阈，界；起点，临界点
collaboration     n.合作, 协作, 合作成果（或作品）, 通敌
null     adj.没有价值的, 无用的, 【法】无法律效力的, 【科技】没有
powder     n.粉末, 细面, 扑面粉, 美容粉
admiration     n.钦佩，赞赏；羡慕
offspring     n.子女，后代；幼崽；幼苗
ideological     adj.思想(体系)上的, 意识形态的, 空论的
collision     n.碰撞，冲突
embed     v.把…牢牢地嵌入（或插入、埋入）, 派遣（战地记者、摄影记者等）
precision     n.精确(性), 准确(性), 确切(性), 精密(度)
discard     v.丢弃, 抛弃, 垫（牌）, 打出（无用的牌）
offshore     adj.海上的, 近海的, 向海的, 离岸的
transplant     v.移植；移栽；移居，迁居
forehead     n.额头，前额
toddler     n.学步的儿童, 刚学会走路的孩子
messenger     n.信使, 送信人, 通信员, 邮递员
memorable     adj.值得纪念的, 难忘的
formulate     v.制订，规划，构想；确切表达，认真阐述
randomize     v.使随机化, （使）作任意排列
sustainable     adj.(自然资源)可持续的，不破坏环境的; (计划、方法、体制)可持续的，持续性的
individually     adv.单独地, 分别地, 各别地
diagnostic     adj.诊断的, 判断的
amusement     n.娱乐，消遣活动；愉悦，可笑
limb     n.肢体；树枝，树杈
patron     n.赞助人，资助人；老主顾，常客
fusion     n.融合, 核聚变, 熔接, 结合
constructive     adj.建设性的, 有助益的, 积极的
algebra     n.代数学
vector     n.向量, 矢量, 载体, （航空器的）航线
adaptive     adj.适应的, 有适应能力的
occurrence     n.发生的事情；存在的事物；发生，出现
unstable     adj.不稳定的，易变的；不牢固的；松脱的
peripheral     adj.次要的，附带的；外围的，周边的，边缘的
blade     n.刀片, 刀刃, 桨叶, 刀身
quantum     n.量子
frown     v.皱眉
void     adj.无效的；缺乏…的，没有…的；空的，空空如也
pest     n.害虫；讨厌的人（或物）
nicely     adv.细致地, 有吸引力, 令人满意, 令人愉快, 很不错
gossip     n.流言蜚语, 闲言碎语; 闲话, 闲聊; 爱说长道短的人
convergence     n.会聚, 集合点, 【数,物】收敛, 【生】趋同(现象)
omit     v.省略；遗漏
fetal     adj.胎儿的, 胎的
aboard     prep.上车, 在船[飞机,车]上；【喻】新入伙
contributor     n.捐赠者, （杂志或书的）撰稿人, （电台、电视节目中的）嘉宾
linguistics     n.语言学
gasoline     n.〈美〉汽油
developmental     adj.发育中的, 进化中的, 开发中的, 发展的
absorption     n.吸收；并入，同化；专心致志，全神贯注
immune     adj.免疫的; 有免疫力的; 免除的, 豁免的; 可防止的; 不受影响的
acceleration     n.加速度, 加快, （车辆）加速能力
millennium     n.一千年, 千周年纪念日, 千禧年（复数millennia）
loop     n.环，圈
precipitation     n.降水（量）；沉淀, 淀析；匆促
genius     n.天才, 天赋, 天才人物, 天资
media     n.大众传播媒介
urine     n.尿, 小便
geography     n.地理环境；地形，地势；地理（学）
cue     n.暗示, 提示, 信号, （戏剧的）提示
fertilization     n.肥沃化, 丰饶化, 【生】受孕[受精](作用,现象)
morphological     adj.形态学(上),语形学的
bud     n.芽, 萌芽, 花蕊, 〔生〕芽体
verify     v.核实, 证实；证明, 查对
prey     n.猎物；受害者
migration     n.迁移, 迁徙, 转移, 移居
principally     adv.主要地
lesser     adj.较小的, 较少的, 次要的, （用于比同类小的动植物名称）小
contradiction     n.矛盾，不一致
bee     n.蜜蜂, 聚会, 【虫】蜂
severely     adv.严重地, 严厉地, 严格地, 苛刻地
ma     n.<口>妈；（大写）文科硕士（全写为 Master of Arts，大学文科中的中级学位，或苏格兰大学文科中的初级学位）
monetary     adj.（尤指一国）货币的,金融的
avenue     n.途径, （城镇的）大街, 林荫道（尤指通往大住宅者）, 选择
postgraduate     n.研究生
closet     n.储藏室；壁橱
mat     n.垫子, 簇, 小地毯, （体育运动用的）厚垫子
optical     adj.视力的，视觉的；光学的
coincide     v.同时发生；相同，相符；位置重合，重叠
anti     adj.反对
voyage     n.航行, （尤指）航海
organism     n.生物体，有机体
motif     n.（作品的）主题, 主旨；装饰图案, 装饰图形
alright     adj.平安的
potassium     n.钾
ideology     n.意识形态, 思想意识, 思想（体系）, 观念形态
indirect     adj.间接的；迂回的；含蓄的
glory     n.荣誉, 光荣；（对上帝的）赞颂，崇拜；壮丽，辉煌；引以为豪的原因
envy     v.羡慕, 忌妒, 庆幸（不必做别人非做不可的事）
lens     n.透镜, 镜片, （眼球的）晶状体
realization     n.实现理想；明白，领悟；变卖资产
plausible     adj.(解释或叙述) 看似合理的，看似道理的；貌似可信的, 巧言令色的, 花言巧语的
plow     v.犁；耕；开（沟）；破浪前进；开路
complication     n.使复杂化的问题（情况）；并发症
woodland     n.林地, 林区, 树林
inhabit     v.居住(在), 栖息(在), 占据, 充斥
mole     n.痣, 防波堤, 【动】鼹鼠, 内奸
conception     n.构思；设想；对事物的理解；怀孕，受孕
ink     n.油墨, 墨水, 墨汁
preservation     n.保存；保护，维护；保养；维持；养护（海洋/资源领域）
conform     v.顺从；遵从；随大流；一致
outlook     n.前景；观点, 人生观, 世界观; （从某处望见的）景色，风光
constituent     n.组成部分, 成分; 选区居民; 选民; 委托人
rhetoric     n.修辞, 花言巧语, 华而不实的言语, 修辞技巧
variance     n.变化幅度，差额
simplicity     n.简单；单纯，淳朴；简朴
simplify     v.简化；使易懂；使简洁
longitudinal     adj.纵的, 纵向的, 纵观的, 经度的
tutor     n.家庭教师；私人教师；导师；助教
instantly     adv.立即, 立刻, 马上
estimation     n.评价, 判断, 看法, （对水平、数量的）估计
instinct     n.本能，天性；直觉
replicate     v.复制, （精确地）仿制, 再造, 再生
cultivate     v.耕作; 种植; 培养; 结交, 建立, 加强(关系等); 教化
mathematical     adj.数学(上)的，精确的，确定无疑的
unfamiliar     adj.陌生的, 不熟悉的, 不认识的, 无…的知识（或经验）
insure     v.投保, 给…保险, 接受投保, 承保; <美>确保, 保证
applicable     adj.适用的, 可应用的; 合适的
inject     v.给…注射；添加，增加；给…投入（资金）
countless     adj.无数的, 数不胜数的, 数不尽的
retrieve     v.重新得到, 收回, 取回; 挽回, 补救; 检索
cage     n.笼子
calcium     n.钙
textbook     n.教材, 教科书, 课本
dam     n.水坝, 拦河坝, 母兽, 骒马
intermediate     adj.（两地、两物、两种状态）之间的；中间的；中级的，中等的
hydrogen     n.氢, 氢气
parcel     n.包裹, 小包, 一块地, 一片地
invade     v.侵略，侵害；大量涌入
hierarchy     n.层次体系, 等级制度（尤指社会或组织）, 统治集团
conceal     v.隐藏，掩盖
ion     n.离子
Mercury     n.水星; (m小写)水银, 汞
irregular     adj.不整齐的，不平整的，参差不齐的，不规则的，无规律的；不正常的，不合乎常规的；非正规军的
shatter     v.打碎；粉碎，使终结，使破灭
deceive     v.欺骗, 蒙骗, 诓骗, 欺骗（自己）
rejection     n.拒绝, 否决, 抛弃, 拒斥
oscillation     n.振荡，振动，摆动
descent     n.下落，下降，下坡路；血统，出身，家世
deed     n.行为, 行动, 证书, 功绩, 事迹
deepen     v.（使）变深；加强；（使）恶化
deer     n.【动】鹿
thoughtful     adj.沉思的, 深思的, 思考的, 想得周到的, 体贴的, 关心的
diagnose     v.诊断；判断
reproduce     v.繁殖生育；再生产，再制造；再现；复制
aesthetic     adj.审美的, 有审美观点的, 美学的, 艺术的
inclusion     n.包含, 被包括的人（或事物）
likelihood     n.可能；可能性
ecological     adj.生态的, 生态学的, 关注生态环境的, 主张生态保护的
hardship     n.艰难, 困苦, 拮据
align     v.排列整齐, 使对齐, （尤指）成一直线, 使一致；与…联合；与…结盟
inferior     adj.次等的，较差的；（级别）较低的
distort     v.使变形；扭曲，歪曲；曲解
predictable     adj.可预见的, 可预料的, 意料之中的, 老套乏味的
scripture     n.圣典，经文，经典；《圣经》
monkey     n.猴子, 〈非正式〉淘气包
dimensional     adj.尺寸的, 空间的, 【数】因次的, …次(元)的
lexical     adj.词汇的
southwest     adv.在西南, 向西南, 从西南
speculate     v.推测，猜测；投机
magnitude     n.巨大，广大； 重大，重要； 量级； （地震）级数
devise     v.设计; 发明; 策划; 想出; [律]遗赠; <古>图谋
beast     n.兽类; 野兽; 牲畜; 畜生, 性情凶残的人, 行为粗暴的人, 讨厌的人(或事物)
stalk     v.潜近（猎物或人）；（非法）跟踪；怒冲冲地走；趾高气扬地走
dial     n.表盘, (钟表等的)针盘, (仪表等的)标度盘, (电话的)拨号盘
rib     n.肋骨, 排骨, （船或屋顶等的）肋拱, （织物的）凸条花纹
ecology     n.生态；生态学
economically     adv.经济地, 节俭地, 节省地, 跟经济有关地
antiquity     n.古, 古老, 文物, 古迹
fertility     n.丰产, 富饶, 能生育性, 可繁殖性
solvent     adj.有偿付能力, 无债务, 有溶解力的, 可溶解的
abundance     n.大量；丰盛；充裕
chemistry     n.化学, 物质的化学组成（或性质）
additionally     adv.另外
splash     n.飞溅的水；溅水声；（引人注目的）亮点
splendid     adj.壮观的, 华丽的, 极好的, 出色的
migrate     v.移动，迁移；（鸟类、动物等）随季节而迁徙
tech     abbr.(technology)技术; (technician)技术员, 技师
livestock     n.家畜, 牲畜
rocket     n.火箭弹, 【科技】火箭, 火箭式投射武器, 火箭式焰火
locus     n.（某事发生的）确切地点, （被视为某物的）中心
supervise     v.监督；管理；指导；主管
circulate     v.流通, 循环; 传播, 流传, 散布; 传递, 传阅
paradigm     n.范例, 〈正式〉模型, 〈正式〉模范, 【语】词形变化表
ample     adj.足够的，丰裕的；丰满的，硕大的
autonomous     adj.自治的, 有自治权的, 自主的, 有自主权的
premiere     n.首映, 首演
applause     n.鼓掌；喝彩
archaeology     n.考古学
dissolve     v.（使）溶解；解散，解除，终止；消失
clay     n.黏土, 陶土
municipal     adj.市政的；地方政府的
clone     n.克隆动物（或植物）, 无性繁殖动物（或植物）, 复制动物（或植物）
confer     v.授予, 协商, 商讨, 交换意见
pond     n.池塘, 水池（尤指人工的）
exclusion     n.排除, 排斥, 排除在外, 不包括在内的人（或事物）
lyric     adj.抒情的, 吟唱的, 为吟唱谱写的
technically     adv.根据确切意义地, 严格按照事实地, 在专业上, 在技巧上
flourish     v.茂盛; 繁荣; 兴旺; 成功; 处于旺盛时期; (人)健壮有力; 炫耀, 夸耀; 挥舞, 挥动; 手舞足蹈
upcoming     adj.即将发生（或来临）的
electron     n.电子
thermal     adj.热的；热量的；保暖的；温暖的
mediate     v.调解, 调停, 斡旋, 找到（解决分歧的）方法
whatsoever     pron.同“whatever”
novice     n.新手, 初学者, 初学修士（或修女）, （修会等的）初学生
syntax     n.句法, 句法规则, 语构
domination     n.统治, 优势, 【生】显性化, 【宗】主天使
tile     n.地砖, 瓦片, （棋盘游戏的）棋子
ballet     n.芭蕾舞；芭蕾舞剧
noble     adj.高尚的，宏伟的；贵族的，高贵的
banker     n.银行家；庄家
transcription     n.抄写, 誊写, 打印, 书面标注的事物
differentiate     v.区分, 区别, 辨别, 表明…间的差别
sailor     n.水手, 海员, 驾船人
rehabilitation     n.恢复，复原；善后； 平反；复权
prose     n.散文
dwell     v.居住，栖身；反复地说
reactive     adj.反应的, 有反应的, 回应的, 能起化学反应的
audio     adj.声音的, 录音的
wholly     adv.完全, 全面, 整体地
optimal     adj.最适宜的, 最理想的, 最好的
presently     adv.一会儿, 不久; 现在, 目前
lid     n.盖子；眼睑；限制
alike     adj.相像, 十分相似
scarce     adj.缺乏的, 不足的, 稀少的
forum     n.公共讨论场所；论坛；讨论会
unprecedented     adj.前所未有的, 空前的, 没有先例的
fringe     n.外围, 边缘；刘海儿；流苏
drought     n.旱灾, 枯竭, 旱季, 【气】干旱
inadequate     adj.不充分的，不足的；不够好的；缺乏信心的
validity     n.符合逻辑；正当；合法性，有效性；（正式的）认可
biology     n.生物学, 生理
vein     n.静脉；纹理，条纹；矿脉；矿层；风格，方式
toe     n.脚趾, （袜、鞋等的）足尖部, 鞋头, 有…脚趾的
trauma     n.外伤, 损伤, 精神创伤, 痛苦经历
trans     prefix.反, 转移, 超越, 变化
unpleasant     adj.令人不快的, 不舒服的, 不和蔼的, 不客气的
connotation     n.含义, 隐含意义
unusually     adv.非常, 显著地, 不寻常地, 特别地
affordable     adj.负担得起的
halfway     adj.中间的, 中途的
nonlinear     adj.〔数〕非线性的, 非直线的
amino     adj.【化】氨基的
photography     n.摄影；摄影术
atom     n.原子
semester     n.学期（一学年分两个学期）
penetration     n.渗透，穿透；侵入，突破
notation     n.记谱法, 标记法
mobility     n.（住处、社会阶层、职业方面的）流动能力, 移动的能力
elasticity     n.弹性, 弹力
reside     v.居住在；定居于
converge     v.集中, 汇集, 聚集, （向某一点）相交
creativity     n.创造力, 艺术创新
precipitate     v.使…突然降临, 加速（坏事的发生）, 使突然陷入（某种状态）
intact     adj.完整的, 完好无损的，未受损伤的
newcomer     n.新手, 新来者
volatile     adj.易变的, 无定性的, 无常性的, 可能急剧波动的
binary     adj.二进制的（用 0 和 1 记数）, 仅基于两个数字的, 二元的
surgical     adj.外科的, 外科手术的
viewpoint     n.观点, 角度, 看法
beautifully     adv.漂亮地, 美妙地, 美好地, 很好
magnetic     adj.磁的; 磁性的; 产生磁性的; 由磁性引起的; 地磁的; 有吸引力的, 有魅力的
magnificent     adj.壮观的, 瑰丽的, 精彩的, 了不起的
momentum     n.动量, 势头, 动力, 推进力
mainland     n.大陆, （不包括附近岛屿的）国土的主体
persistent     adj.执着的, 不屈不挠的, 坚持不懈的, 连绵的
vitamin     n.维生素；维他命
copper     n.铜, 铜币, 警察
colonial     adj.殖民的；殖民国家的
radar     n.雷达
quantitative     adj.数量的，定量的，量化的
cord     n.软线, 细绳, 一根粗线（或细绳）, 花线
enormously     adv.非常, 极其
qualitative     adj.定性的；性质的；质量的
differential     n.差别, 差额, 差价, （尤指同行业不同工种的）工资级差
overview     n.概述, 概况, 纵览, 概论
synthesis     n.综合；结合；综合体；合成
rewrite     v.重写, 改写
ration     n.定量, （给战士或食品短缺地区的人提供的）定量口粮, 正常量, 合理的量
insufficient     adj.不充分的, 不足的, 不够重要的
partition     n.隔墙，隔板；分割，分治，分裂
compensate     v.补偿；弥补；赔偿，赔款
recount     v.〈正式〉叙述, 重新计票, 讲述, 描述
educator     n.教育家；教育工作者；教师
enzyme     n.酶
ray     n.光线, 魟, （热或其他能量的）射线, 少量
breakthrough     n.突破, 开始取得成功之时
relaxation     n.放松, 消遣, 休息, 用于放松消遣的时间
plantation     n.种植园, 木材林地, 人造林
dioxide     n.二氧化物
romance     n.浪漫史；恋爱；浪漫氛围；传奇故事
marine     adj.海的，海事的；船舶的；航海的
realm     n.领域，范围；王国
resent     v.愤恨，憎恶，怨恨
indigenous     adj.土著的, 原产的, 本乡本土的, 土生土长的
simulate     v.模仿, 假装, 冒充, 装作
thickness     n.厚度; 层; 粗; 密度; 浓度; 笨重
cooperative     adj.合作的；配合的
helix     n.螺旋（形）
goodness     n.善良，美德；（食物中）有益（或营养）成分
recorder     n.录音机, 录像机, 竖笛, 直笛
incumbent     n.在职者, 现任者
trait     n.特点
spontaneous     adj.自发的，自然产生的
resentment     n.怨恨, 愤恨
coordination     n.协调, 配合, 协作, 协调动作的能力
intensive     adj.加强的，密集的；集约（经营）的；彻底的，细致的
inland     adj.内陆的，内地的
replication     n.(绘画等的)复制, 拷贝, 【统】重复(实验), (尤指对答辩的)回答
restoration     n.修复, 复原, 复位, 回归
vulnerability     n.脆弱性, 弱点, 易伤性, 可捕性
inspiration     n.灵感；启发灵感；鼓舞人心（的人或物）；妙计，好主意
grammatical     adj.语法的, 文法的, 符合语法规则的, 合乎文法的
damp     adj.潮湿的, 微湿的, 湿气重的
gravity     n.严重性；地心引力，重力；庄重，严肃
stereotype     n.刻板印象, 模式化观念(或形象), 老一套; 铅版
widen     v.拓宽, 加宽, 放宽, （使）变宽
pardon     v.赦免, 特赦, 原谅（表示礼貌时常用的词语）
darling     n.〈口〉爱人, 宠儿, 情人, 心肝宝贝
seemingly     adv.似乎, 看似, 表面上看, 看起来
invariably     adv.始终如一地, 一贯地
grind     v.碾碎, 磨碎; 磨成; 磨光; 磨快; 压榨, 折磨; 苦心地教, 反复灌输
constituency     n.（选举议会议员的）选区, 选区的选民, （统称）支持者
canal     n.运河; 沟渠; (动植物体内的)管, 道
warfare     n.作战；战争；斗争，竞争，冲突
shaft     n.轴，杆；井状通道，井穴；一束（光）；挖苦，尖酸的话
wireless     n.无线电报, 无线电收音机, 无线电发射和接收系统
courtyard     n.院子
hurricane     n.飓风，飓风般猛烈的东西
multinational     adj.跨国的, 涉及多国的
interference     n.干涉, 干预, 介入, （无线电信号的）干扰
remarkably     adv.非常, 极为, 格外, 出乎意料地
reminder     n.引起回忆的事物, 提醒人的事物, （告知该做某事的）通知单
thirst     n.渴, 渴望, 口渴, 渴求
kidney     n.肾；（食用的）动物腰子
utter     adj.完全的；彻底的；十足的
secular     adj.现世的, 世俗的, 非宗教的, 教区的, 延续几个世纪的, 长期的
sediment     n.沉积物, 沉淀物
leaflet     n.宣传册；传单
documentation     n.证明文件, 归档, 必备资料, 文件记载
dilute     v.稀释, 冲淡, 变稀, 变淡; 降低(品质); 削弱(信念)
denominator     n.分母；共同特征；命名者；平均水平或标准
subjective     adj.主观的（非客观的）, 主观的（非现实世界的）, 主语的, 主格的
inversion     n.倒置, 颠倒, 倒转
utilize     v.利用；使用
reservoir     n.水库; 蓄水池; 贮液槽; 储藏所, 仓库; 储藏, 蓄积; 宝库; 储液囊
thumb     n.拇指, （手套的）拇指部分
resistant     adj.抵制的，反抗的，抗拒的；有抵抗力的；抵抗…的；不受……损害的
tiger     n.【动】老虎, 勇士, 暴徒
perfume     n.香水, 香料, 芳香
affirm     v.肯定属实；申明；断言
ceramic     n.陶瓷制品, 陶瓷器, 制陶艺术, 陶瓷装潢艺术
chunk     n.大块, 厚块, 厚片, 相当大的量
legendary     adj.非常著名的, 享有盛名的, 传奇的, 传说的
dissection     n.解剖, 分类, 【地】切割作用, 解剖标本
cement     n.水泥; 胶合剂, 胶接剂; 起巩固作用的纽带
divine     adj.上帝的；神一样的；极好的，绝妙的
marketplace     n.市场, 集市
disruption     n.中断, 破裂
spectator     n.（体育比赛的）观众
shiny     adj.光亮的, 锃亮的, 反光的, 有光泽的
demographic     adj.人口学的; 人口统计学的; 人口结构的
characterization     n.塑造, 描述方法, 界定方法
anthropology     n.人类学
butterfly     n.【虫】蝴蝶, 轻浮多变, 轻薄浮浅的人, 【泳】蝶泳
parental     adj.父亲的, 母亲的, 父母的, 双亲的
fertilizer     n.肥料; 促进发展者
straightforward     adj.简单的, 易懂的; 坦诚的, 率直的; 径直的
magical     adj.有魔力的, 用于巫术的, 奇妙的, 令人愉快的
chemist     n.化学家, 药剂师, 药房, 化学师
syllabus     n.教学大纲
prone     adj.易于遭受, 有做（坏事）的倾向, 有做…倾向的, 易于遭受…的
directive     n.指示, 命令
problematic     adj.造成困难的, 产生问题的
successor     n.接替者；继任者；接替的事物；后继的事物
reactor     n.反应堆; 阳性反应者; 电抗器; 反应器; 起反应的人(或物)
manipulation     n.手法, 控制, 操作法, (熟练的)操作
equivalence     n.等值, 等效, 当量, 相等
amplitude     n.振幅
transparent     adj.透明的, 清澈的, 易识破的, 易看穿的；坦率的；易懂的
detection     n.探测, 发现, 侦查, 察觉
annually     adv.一年一次地
rotation     n.旋转, 转动, 轮换, 交替
reconstruction     n.重建, 改造, 修复, 复原
micro     n.微型电脑, 特超短裙
supervision     n.监督, 管理
homeland     n.祖国, 家乡
turbulent     adj.动荡的, 动乱的, 骚动的, 混乱的; 汹涌的, 猛烈的
unity     n.团结，一致；联合（状态）；统一（状态）
neutral     adj.中立的，中性的
terminology     n.术语
terrace     n.露天平台，阳台；阶梯看台；梯田；阶地
coastal     adj.沿海的, 靠近海岸的
portable     adj.轻便的，便携的；手提式的
leaf     n.叶子; (书籍等的)一张; 扇页
theorem     n.定理
temporarily     adv.暂时
provincial     adj.省的; 外省的, 地方的; 态度偏狭的, 守旧的
sacred     adj.上帝的, 神的, 神圣的, 受尊重的
cliff     n.（常指海洋边的）悬崖
stiff     adj.不易弯曲的；硬的；挺直的；僵硬的
collar     n.衣领, 领子, 箍, （动物，尤指狗的）颈圈
bizarre     adj.离奇的, 奇特的, 奇怪的
humble     adj.谦逊的, 虚心的, 表示谦逊, （级别或地位）低下的
awesome     adj.令人惊叹的, 使人惊惧的, 很困难的, 难得吓人的；很好的
compulsory     adj.必须做的, 义务的; 强制的, 强迫的
psychiatric     adj.精神病的, 精神病学的
presume     v.假设，假定，推定；妄行，擅自做；越权行事
commentary     n.评论, 注释, 解释, 评注
fling     v.猛投，猛掷；迅猛移动；愤怒地说
fluctuation     n.波动，起伏
susceptible     adj.敏感的; 过敏的; 易动感情的; 易受影响的; 可能有…的
lever     n.撬棒, 杠杆; 控制杆; (用作施加压力等的)手段, 方法
liable     adj.有义务的，应负责的；有...倾向的
satisfactory     adj.令人满意的, 够好的, 可以的
trivial     adj.不重要的；琐碎的；微不足道的
archaeological     adj.考古学(上)的
marrow     n.髓，骨髓
found     v.建立, 创建, 铸造, 把…基于；找到（find的过去分词）
undergraduate     n.本科生
immense     adj.巨大的，广大的
toxic     adj.有毒的, 中毒的
unlimited     adj.尽量多的；任意多的；无限制的
sexuality     n.性欲；性倾向
neural     adj.神经的, 神经系统的
triple     adj.三部分的, 三人的, 三组的, 三倍的
scrape     v.擦伤, 刮掉, 削去, 擦坏
ideally     adv.最好, 按理想来说, 尽善尽美地
drown     v.淹没, 溺死, 浸透, 浸泡
conceive     v.构思，设想；怀孕
generalize     v.概括；归纳；推广，普及
brace     v.绷紧; 顶住; 使防备; 加固; 振作精神, 做好准备
succession     n.一连串；连续的人或事；交替，更迭；继任；继承权
outsider     n.局外人, 被认为无希望获胜的选手
periodic     adj.周期的，定期的，间歇的
membrane     n.（身体内的）膜, （植物的）细胞膜
trajectory     n.轨迹
broadly     adv.大体上, 基本上, 不考虑细节地, 咧开嘴（笑）的
earthquake     n.地震
furnish     v.提供, 在（房屋等）处布置家具
sunset     n.日落(时分), 傍晚, 落日, （法律的）自动废止期
continuity     n.连续性, 持续性, （逻辑上的）连接
locally     adv.在本地, 局部地, 在地方上
pillar     n.支柱, （尤指兼作装饰的）柱子, 纪念柱, 柱状物
hunter     n.猎人, 狩猎者, （猎食其他动物的）猎兽, 搜集某种东西的人
wedge     n.楔子, 三角木, 楔形物, 用作楔子的东西
conquer     v.征服, 克服, 战胜, 攻克
gauge     v.估计, 判定, 估算, （用仪器）测量
minimal     adj.极小的, 极少的, 最小的
banana     n.香蕉
vase     n.花瓶, 装饰瓶
rationality     n.合理性, 推理力, 理由, 合理的意见[行动]
invert     v.倒置, 反转, 〈正式〉倒转, 翻转
cling     vi.紧握, 紧抱; 粘住, 附着; 挨近; 依恋, 依附; 固守, 坚持
jewelry     n.珠宝, 首饰, 珠宝饰品
hostile     adj.敌意的，敌对的；敌人的；不利的；强烈反对的；不受欢迎的
distract     v.转移；分散；使分心
emergence     n.出现, 【虫】羽化, 【植】突出体, (柑果的)瓤胞
acute     adj.[医]急性的; 严重的; 剧烈的, 激烈的; 尖锐的; 敏锐的; 尖的, 锐的; 高音的, 尖音的
herb     n.药草；香草；草本植物
overhead     adv.在头顶上, 在空中, 在高处
encode     v.把…译成电码（或密码）, 把…编码, 把…译成外语
prospective     adj.有望的, 可能的, 预期的, 潜在的
philosophical     adj.哲学的, 达观的, 处乱不惊的
prototype     n.原型，雏形
cooperate     v.合作，协力
proximity     n.邻近
coefficient     n.系数, （测定物质某种特性的）系数
nonetheless     adv.尽管如此, 然而, 不过
orbit     n.轨道，轨迹
costly     adj.昂贵的，代价高的
incorrect     adj.不准确的, 不正确的, 不真实的, （说话或举止）不合规矩的
contour     n.轮廓, 外形, （地图上连接相同海拔各点的）等高线
railroad     n.铁路, 铁道, 铁路公司, 铁路系统
bodily     adj.人体的, 身体的
contradictory     adj.相互矛盾的, 对立的, 不一致的
glimpse     v.瞥见
globe     n.地球, 地球仪, 灯罩, 球状物
critique     n.批判
illusion     n.幻觉，错觉；错误的信仰（或观念）
phenomenal     adj.了不起的, 非凡的
