intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
slope     n.斜坡，坡地；倾斜，斜面
manifest     v.表明，清楚显示；显现，使人注意到
bargain     n.物美价廉的东西；交易，买卖
bulk     n.大宗，大批（买卖）；（大）体积，（大）量
protest     v.抗议，对…提出抗议，提出异议；反对
tribe     n.部落，宗族
respectable     adj.体面的；值得尊敬的；相当好的；不丢面子的
velvet     n.丝绒；立绒；经绒；天鹅绒
ridiculous     adj.荒谬的，可笑的
positive     adj.积极的，有喜人进步（或进展、改观）的；建设性的，乐观的，自信的；肯定的；阳性的；正数的；正极的
infinitely     adv.非常，极其；无限地，无穷地
surpass     v.超过，强过，胜过
resolve     v.决心, 决定;（使）分解, 溶解; 决议; 解决（问题、争端等）
suspension     n.暂停，中止；暂令停止参加，暂时剥夺；（汽车等防止振动、颠簸的）悬架，悬置机构；悬浮液；悬，挂，吊
devastating     adj.毁灭性的；极具破坏性的；令人震惊的；强有力的，极有效的
merit     n.优秀品质，优点；价值；功绩；美德；长处
band     n.流行音乐乐队，音乐组合；（包扎）带；一群，一伙；带；条纹；波段
decree     n.法令，政令；（法院的）裁定，判决
label     n.标签，签条；标记，符号；（某人或物的）称号；绰号
update     vt.更新，使现代化
flare     vi.（火焰）闪耀，（短暂地）烧旺；突发，突然发怒（或激动）
wind     n.风；气息，呼吸
spare     adj.备用的；多余的，闲置的；空闲的；休闲的；简洁的
kit     n.配套元件；成套设备；一套工具；包
sustain     v.保持；使持续不断；承受；支持，支撑
scrutinize     v.详细检查，细看
conference     n.（尤指召开数日的）正式会议；讨论会，协商会
periodic     adj.间歇的；周期（性）的；时而出现（或发生）的
pathetic     adj.可怜的，悲哀的；无用的，糟糕的；懦弱的
benign     adj.善良的，慈祥的；（肿瘤等）良性的，无危险的
emphasis     n.重点；重要性；重点强调
predict     v.预言；预测；预告
burial     n.葬礼；出殡
emphasize     vt.强调，着重
readily     adv.乐意地，欣然地；毫不犹豫地，毫不勉强地；不拖延地，迅速地；无困难地，容易地
current     n.水流, 气流; 电流; 趋势, 趋向; 股, 阵
modernize     v.使现代化
levy     n.征税，税款
staple     adj.（尤指消费方面）主要的，重要的；经常需要（或使用）的
deem     v.认为；视为；相信
proficiency     n.熟练，精通
instinct     n.本能，天性；直觉
program     n.程序；节目单；大纲
verse     n.诗；韵文；诗节；歌曲的段落
region     n.地区，地方，区域（尤指有明显特征但不一定有固定边界的）；（身体的）区，部，部位；范围，幅度
brief     adj.短时间的, 短暂的, 简洁的, 简单的
endow     v.向（院校、医院等）捐款，捐赠；使具有某种品质
psychiatrist     n.精神科医生，精神病专家
delicate     adj.易碎的，易坏的，脆弱的；细腻的；精巧的，精美的，精致的
strain     v.扭伤，劳损；竭尽全力；拉紧
enormous     adj.巨大的，庞大的
dismiss     v.对…不屑考虑；让…离开；把…打发走；遣散；摒弃，摒除；解雇
beforehand     adv.预先，事先
reel     n.一卷胶卷（或金属丝、线等）；卷筒；卷轴
emergence     n.出现，显现，暴露；突出
degrade     v.贬低，侮辱；（使）降级；降解；退化
soluble     adj.可溶的；可解决的
institute     n.（尤指科学、教育或特定专业的）学会，协会，机构
stark     adj.光秃秃的，荒凉的；无装饰的；严酷的，苛刻的，严峻的；完全的，十足的
metallic     adj.金属般的；有金属味（或声音）的；金属制的；含金属的
faculty     n.能力，才能；（大学系、科或学院的）全体教学（或科研）人员
redundant     adj.多余的，过剩的
decisive     adj.决定性的；决断的，果断的
cancer     n.癌，恶性肿瘤；癌症
handbook     n.手册；指南
syndrome     n.综合病症，综合症状；（某种条件下有共同特征的）一系列表现（事件、举动等）
ideology     n.（团体、个人的）思维方式，意识形态；（尤指构成经济、政治理论、政策基础的）思想，思想体系
bound     n.跳跃; 弹回; 边界; 界线, 界限
communication     n.传达，传授，传播；交流；通信，通讯；沟通；通讯设备；通信技术
inherent     adj.内在的，固有的，本性的
extinguish     v.熄灭；扑灭；消灭；毁灭
catastrophe     n.（突如其来的）大灾难；大灾祸
blunt     adj.（人，话语）直率的，生硬的，耿直的；钝的
victim     n.受害者；遇难者；牺牲品
gigantic     adj.巨大的；庞大的
tariff     n.关税，税率；（旅馆、饭店等）价目表，收费表
misery     n.痛苦，苦恼；苦难；悲惨的境遇
vulnerable     adj.（身体或情感上）易受攻击的，易受伤害的；脆弱的
embark     vi.上船（或飞机、汽车等）；着手进行，开始从事
comparison     n.比较，对照；比拟，比喻
plate     n.板, 盘子, 板块, 车牌
classic     adj.典型的；一流的，经典的
heap     n.【非正式】大量，许多
grain     n.谷粒；谷物；（作为食物的）小麦；粮食；颗粒
command     n.命令，指挥；司令部
general     adj.全体的, 普遍的, 总的; 一般的, 常规的; 笼统的, 大体的; 首席的, 级别最高的; 将军级的
flatter     vt.向…谄媚，奉承；使满意，使高兴，使感到荣幸；使显得（比实际）好看，使（某优点）显得突出
signal     n.信号；暗号；导火线；信号灯；动机
reform     v.改革，变革
retort     v.（生气或幽默地）反驳，回嘴
sacred     adj.上帝的，神的；极其神圣的，不可侵犯的，不可违背的；受尊重的
irritate     v.激怒，使发怒，使烦恼；刺激（皮肤等）
exclude     v.不包括；对…不予考虑；不准…进入；把…排斥在外；排除
disastrous     adj.灾难性的，造成灾害的；极坏的，很糟的
obscene     adj.淫秽的，下流的；可憎的，可恶的
slaughter     v.屠宰，屠杀，杀戮；使惨败
consumption     n.吃；喝；摄取；消费；消耗量；消费量；（资源）耗尽；消耗；观看（或收听）的节目
brisk     adj.活跃的，有活力的；轻快的
press     v.按；揿；压，榨，挤；竭力劝说；敦促，催促；向…强要；竭力要求；坚持；强调；压平；熨平
proclaim     vt.宣告， 宣布； 表明， 声明；强调；声称
fine     adj.优质的，高品质的；美好的；纤细的；健康的；晴朗的 ；精致的；好的，令人满意的
shrug     v.【表示怀疑、不知道或冷漠】耸（肩）
resultant     adj.因而发生的；因此而产生的
safe     adj.安全的，平安的；无害的；不会引起损害的；无危险的，保险的；有根据的，有把握的，不会出错的
infectious     adj.（疾病，致病生物体）传染的，有传染性的
respectful     adj.恭敬的，有礼的
flap     v.拍击；忧虑；困惑
proposition     n.（商业的）提议，建议；（表达判断或意见的）陈述，主张；论点；欲做的事，待处理的问题；任务
gaze     v.凝视，注视
consist     v.由…组成，由…构成；存在于
militant     adj.激进的，好斗的
shoot     vt.开（枪或其他武器），射击；射死；射伤；射中；拍摄；疾驰
complicated     adj.错综复杂的；混乱的，令人困惑的；结构（或成分）复杂的；费解的
warehouse     n.仓库；货栈；货仓
dual     adj.双的，两的；两体的；二元的；双重的，两重的
classification     n.分类，分级；分类法；类别，级别
voluntary     adj.自愿的，志愿的；无偿服务的
revel     v.狂欢；陶醉
sophisticated     adj.老于世故的，见过世面的；（人，思想，反应，理解力）深刻的；精妙的；（机器，系统，技术）复杂的，精密的；先进的；水平高的，在行的
impatient     adj.不耐烦的，急躁的；热切的，急切的
drainage     n.排水；排水系统
radius     n.半径；半径范围；周围
cucumber     n.黄瓜（指果实）
discrimination     n.区别对待，歧视；辨别力，鉴赏力；识别，区别
hawk     n.鹰，隼；（主战或主张强硬路线的）"鹰派"人物
emotion     n.情感，情绪；激情
naive     adj.天真的；（人，行为）无经验的；幼稚的；缺乏判断力的
elicit     vt.诱出，探出
extravagantly     adv.挥霍无度地
lame     adj.跛的，瘸的；站不住脚的，差劲的，蹩脚的
priority     n.优先权；优先事项，优先考虑的事；优先，重点
skeleton     n.骨架，骨骼；骨瘦如柴的人（或动物）；框架，提纲，概要
grief     n.（尤指某人的亡故造成的）悲伤，悲痛
respective     adj.各自的，各个的，分别的
expel     v.排出；把…开除（或除名）；驱逐出境；喷出
propagate     v.传播；宣传；（使）繁殖，繁衍
discrepancy     n.不符合（之处），不一致（之处）
diagnosis     n.诊断
score     n.（测试中）评分，得分，分数；比赛中团队（或队员个人）的得分；很多；总谱；伤痕
scatter     v.散布；分散；播撒
quiver     n.强烈感情；哆嗦，微颤
tank     n.坦克；大容器；槽，池塘；（汽车上的）油箱；一箱（或一桶等）的量
perspiration     n.汗水；出汗，流汗
permanent     adj.永久的，永恒的，持久的
transient     adj.短暂的，转瞬即逝的；临时的，暂住的
distribution     n.分发，分配；分布
inhibit     vt.阻碍，制止，防止（动作，过程）
evident     adj.明显的，清楚的
dedicate     v.把（时间，精力）用于，献身；把…专用于某课题；致力于
predecessor     n.前辈；前任；原先的事物
preach     v.传道，布道；宣讲；告诫，说教；竭力劝说
discriminate     vi.区别，辨别；区别对待，歧视
valid     adj.有效的；有确实根据的；正当的，合法的
paper     n.纸，纸张；（尤指在学术演讲或讨论中宣读的或在学术刊物上发表的）文章；论文；文件
rhythm     n.（运动或声音的）韵律，节律；规律性变化
suit     n.套装；西装；西服；诉讼，诉讼案；请求
cite     v.引用（文章，书本，作家）以作为论据或说明之证，引证；举例；嘉奖
peel     v.剥落，剥去；揭掉；脱落；脱皮，蜕皮
sensitive     adj.敏感的；灵敏的；（市场）脆弱的；易受伤害的；感光的；善解人意的；保密的；限制透露的
potential     n.潜力, 潜能; 潜在性, 可能性; [物]电势
colonial     adj.（与）殖民地（有关）的；殖民地所特有的
migrate     v.移动，迁移；（动物，尤指鸟）迁徙，移栖；（鱼）洄游
optical     adj.视力的，视觉的；光学的
undermine     vt.暗中破坏，逐渐削弱；侵蚀…的基础
summit     n.顶点；山顶；政府首脑会议，最高级会议，峰会
desire     n.渴望；欲望；愿望
consequence     n.（不受欢迎的或令人不快的）结果，后果；影响
subtle     adj.（尤指变化或差别）微妙的；细微的；难以描述的；难以分析的；机智的；狡猾的
prophet     n.预言者；（宗教里的）先知；提倡者
maintain     v.维持，保持（某种状态或形势）；维持（部队的）给养；维护，养护，保养；坚称，断言
religious     adj.宗教的；（与）宗教崇拜（有关）的；（与）宗教教义（有关）的；虔诚的
drastic     adj.激烈的，猛烈的，急剧的；严厉的
factual     adj.事实的；据实的；确凿的
prospective     adj.预期的，盼望中的；未来的；可能的
overpass     n.天桥，立交桥
fold     vt.折叠，对折
trial     n.考验，试验，测试；审判；（对人的忍耐、自制力的）考验，磨练
drag     v.（用力地或粗鲁地、费力地）拉，拽，拖
constrain     vt.限制，约束；克制，抑制
refute     vt.驳斥，反驳（声明，理论）；批驳，否认
periodical     n.（学术）期刊
shifting     adj.运动的，变动的
huddle     v.聚集在一起，挤作一团；把身子蜷成一团，蜷缩
reception     n.接受，接纳；接待，迎接；（旅馆、组织等场所的）接待处；前台；招待会；（无线电、电视等）接收效果
shepherd     n.牧羊人，羊倌
longevity     n.长寿，寿命
coincide     v.同时发生；相同，相符
gravely     adv.严重地；严肃地；严峻地；沉重地
engage     v.参加，从事；卷入；订婚；〈主英〉雇用，聘请；吸引住，使感兴趣；进攻，交战
peculiar     adj.奇怪的，古怪的；独特的，特有的，独具的
reassure     vt.使放心
reason     n.理由，原因，诱因；道理，情理；理性，明智；常识
scrape     v.刮，擦
oath     n.誓言，誓约；咒骂语
beneficial     adj.效果好的，有好处的；有利的
occur     v.存在；出现；发生
cancel     v.（因素，情况）抵消，对消；取消，中止
confession     n.供认，坦白，忏悔
retain     v.保持，保留；记住；保存；继续雇用；吸收并保留（物质）
methodology     n.（科学的）一套方法；方法论；教学法
vacant     adj.空的，未被占用的；（职位、工作等）空缺的；（神情等）茫然的，（心灵）空虚的
rival     n.竞争对手，敌手
linger     v.停留，逗留；徘徊；继续留存，缓慢消失；苟延残喘
tunnel     n.隧道；地道
probability     n.可能性，可能发生的事；概率
rim     n.（圆形物体的）边沿；轮圈
pursuit     n.追赶，追逐；追捕，追击；追求，寻求；（尤指娱乐或运动类的）特定活动
lubricate     v.润滑，加润滑剂
stage     n.舞台；阶段；时期；步骤； 驿站
cholesterol     n.胆固醇
incorporate     v.纳入，收入
skull     n.颅骨，脑壳
proceedings     n.进程, 过程; 议程; 诉讼, 诉讼程序; 公报
optimist     n.乐观的人，乐观主义者
extreme     adj.极大的；极度的；不寻常的；例外的；严重的；（人，观点）极端的，偏激的（尤指在政治方面）
tablet     n.片剂, 药片；碑, 匾；便签簿；平板电脑
expedition     n.探险；考察；考察队
dolphin     n.海豚
hike     v.去…远足，徒步旅行；把（价格等）大幅提高
limp     n.跛行
dressing     n.穿衣，装饰；（食物）调料；包扎伤口的用品，敷料
eject     v.驱逐，赶走（某人）；弹出，弹射出；喷出
barren     adj.（土地等）贫瘠的，荒芜的；不结果实的，不（生）育的；无益的，没有结果的
solo     n.独唱（奏）；单人表演
shrimp     n.虾，小虾；矮小的人
repertoire     n.（剧团、演员等的）全部节目
distract     v.转移；分散；使分心
implementation     n.执行
synthesis     n.综合；结合；综合体；合成
bloodshed     n.流血；杀戮
shed     n.小屋；棚式建筑；货棚；牲口棚；工作棚
partial     adj.部分的；偏袒的，偏爱的
informed     v.通知；使了解；提供资料（“inform”的过去分词和过去式）
numerical     adj.数字的；用数字表示的
glide     v.滑翔, 滑动, 滑行, 掠过
post     n.邮政；邮件；岗位，职位；哨所；柱，桩，杆；（尤指在博客，社交媒体或应用上发布的）帖子
panic     v.（使）惊慌，惊惶失措
recipient     n.接受者，接收者；领奖者；接收器；受嘉奖的事物
encouragement     n.鼓励，激励，鼓舞，促进；劝说（继续）
romance     n.浪漫史；（尤指充满柔情或理想化的）爱情；浪漫氛围；传奇故事
clamp     n.夹具；夹子；夹钳
breakthrough     n.突破；重大发现；重大成就
inflict     vt.使遭受（不快，痛苦）
trademark     n.商标，牌号；特征，标记
destiny     n.命运，天数；上苍，老天
chord     n.和弦，和音；弦，心弦
groom     v.照看或刷洗（马等）
dodge     v.回避，逃避；闪身躲开
invest     v.投入，耗费（时间、精力等）；投资
furniture     n.家具
receive     vt.收到；接到，接待；得到；遭受，经受（特定待遇）
brew     v.（不受欢迎的事情）酝酿；行将发生；酿造（啤酒）
vent     n.通风口，排放口；（衣服底部的）开衩
identification     n.辨认，识别，认出，鉴定；身份证明（尤指官方文件）
execute     v.处决；执行；实施（计划，命令，行动过程）；完成
hurricane     n.飓风，飓风般猛烈的东西
knob     n.（门、抽屉的）球形把手，球形柄；（收音机等的）旋钮；小块
deviate     v.偏离，背离；违背，出格
pinpoint     v.精确地对准…的位置，瞄准；准确地查找；准确描述
brittle     adj.易碎的；脆弱的；冷淡的，不友好的；（声音）尖利的
credible     adj.可信的，可靠的
quest     n.探索，寻找，追求
correspondence     n.来往信件；通信联系；相关，相似
violent     adj.暴力的，暴行的；感情强烈的；剧烈的
neglect     v.忽视，忽略；疏忽；疏漏
smash     v.打碎；猛撞，猛击；击溃，粉碎
stereotype     n.陈规，老套，旧框框，固定的模式（或形象）
coverage     n.媒体报道；覆盖范围（或方式）
loyalty     n.忠诚，忠心
vision     n.视力，视觉；想象，构想；眼力，远见
mechanize     v.机械化
compound     n.复合物；化合物；复合词；有围墙的房群, 大院；用围墙围住的场地
cast     v.抛弃；投射（光，影）；为（戏剧、角色）选派演员
segregate     vt.隔离，使分开；（按照种族、性别、宗教信仰）隔开；隔离
cemetery     n.墓地，公墓
exemplify     v.是…的例证（或榜样）
exceptional     adj.优越的；杰出的，优秀的；异常的，特别的
transition     n.过渡，转变，变革；过渡期，转型期
detect     v.发现，识别；检测，探测；察觉
tutor     n.家庭教师；私人教师；导师；助教
corpse     n.死尸，尸体
tower     n.塔；高楼；塔楼；塔台
fusion     n.联合，合并；核聚变
button     n.（用户界面的）按钮；纽扣
greed     n.贪婪，贪心；贪食
oppose     v.反对，阻挠
spectrum     n.光谱，声谱，频谱；范围，幅度；系列，层次
foster     v.鼓励；促进（某物）（尤指值得拥有的）；抚育，收养
token     n.象征，表征，标志；代币；代金券，礼券
definitely     adv.明确地；清楚地；一定地，肯定（用于强调）
execution     n.执行；实施；实行；处决
relative     adj.相对的; 比较的; [语法]关系的, 由关系词引导的; (级别等)相当的, 对应的
intervention     n.插入，插手，介入；干预，干涉
contrive     vt.谋划，策划；设法做到；设计，想出
degenerate     v.(使)退化; (使)堕落; (使)蜕化; (使)变坏
myth     n.杜撰出来的人（或事物）；神话；（普遍持有的）错误见解（或想法）；对人（或事物）的理想化看法
warrant     v.使有必要；使正当；使恰当；需要；值得；保证, 担保
insert     v.插入；嵌入；塞入
brood     n.一窝鸟；一大家子
notify     v.（正式）通报，知照，通知，告知
outfit     n.（尤指在某一场合穿的）全套服装；（协同工作的）一组人；全套装备，全套工具
deprive     v.剥夺（人，地方）对某物的所有（或使用）
tenure     n.（大学教师等被授予的）终身职位；任期；（土地）保有权，保有期
tangle     n.缠结的一团；乱糟糟的一堆；混乱，纷乱；纠纷，争执
tentative     adj.试验性的; 不确定的; 暂时的; 犹豫的, 踌躇不决的
stall     v.停顿；抛锚；拖延；把…的注意力引开
pastime     n.消遣，娱乐
clarity     n.明晰，明了，一目了然；确定；明确
poultry     n.家禽；禽肉
intercourse     n.性交；交往，交流，交际
condemnation     n.谴责
cripple     vt.损坏；严重削弱；使陷于瘫痪；使受伤致残
ceramic     adj.陶器的；陶瓷的
crisp     adj.脆的，酥脆的
dim     adj.（光线等）黯淡的；模糊的；（前景）黯淡的；不乐观的
originate     v.发源；来自；发端于；创立；发明
modest     adj.谦虚的， 谦逊的；（数量，等级，水平）适中的，适度的；有限的；朴素的
complex     adj.难以分析的；费解的；错综复杂的
oxide     n.氧化物
pamphlet     n.小册子；手册
preside     v.担任主席；主持（会议、仪式）
deduce     vt.推论，演绎出（事实，结论）
rap     n.说唱音乐；叩击；快速的敲击
express     vt.表达（思想，情感）；表示，表露；代表
excursion     n.远足；短途旅行
limb     n.（人、四足动物的）肢，肢体；（鸟的）翼；树枝，树杈
sufficient     adj.足够的，充分的
federal     adj.联邦（制）的；联邦政府的
wealthy     adj.富有的
probe     v.（密切地对有关人或物的信息）探查，查究；盘问，追问；探测
marshal     v.结集，收集；安排；控制人群；调集，集结
benevolent     adj.仁慈的，善意的，慈善的
conform     v.遵守社会接受的习俗（或规范）；顺从；符合（规则，标准，法律）
comprehension     n.理解（力），领悟
revelation     n.出人意料的真相透露，揭露的惊人内幕；（惊人的）新发现；提示；透露；显示
intact     adj.完整无缺的，未经触动的，未受损伤的
recognize     vt.承认；确认；认可；识别，辨别；（计算机等）自动识别（声音、印刷字体等）
existence     n.存在；继续生存；生活（方式）
robust     adj.强壮的；强健的；粗壮的；茁壮的；（体系、组织）坚挺的，强有力的，坚实的
indifferent     adj.不感兴趣的；冷淡的；不同情的；不关心的
vacancy     n.空白，空缺
slate     n.板岩，页岩；石板，石板瓦；石板色，暗蓝灰色
reside     vi.居住在；定居于；位（于）；（性质等）存在，在于
gift     n.赠品；礼物；天赋；才能
predominantly     adv.占优势地，主要地
monetary     adj.钱的，货币的，金融的
corrode     v.腐蚀，侵蚀
fascinate     v.使着迷，强烈地吸引
symbol     n.象征，象征物；符号，标志
cyberspace     n.虚拟信息空间，网络空间，计算机世界
ramp     n.斜面，坡道；活动舷梯，轻便梯
complement     v.增加；补足；使更具吸引力
vivid     adj.生动的，逼真的；鲜艳的
subordinate     adj.隶属的；下级的；次要的
mutter     v.（尤指不满、愤怒时）小声地说；嘟哝；咕哝；喃喃而语
essential     adj.基本的； 本质的；必不可少的；绝对必要的；非常重要的
force     n.力，力量；暴力，武力；影响力，威力，感染力；有影响力的人（或事）；部队；警察队；（有组织进行活动的）一群人，队伍
mason     n.石匠，泥瓦匠
specification     n.规格，规范，标准；明细单；详细说明书
ore     n.矿，矿石
emission     n.（尤指气体或辐射的）发出，散发，排放；排放物，散发物
expose     v.暴露；揭穿（某人或某事物的）令人不快的真相；揭露；揭发；使遭受；使冒…险；使无遮蔽（或保护）
behave     v.（机器）运转，（自然现象）起作用；待人接物；以某种态度对待；表现；守规矩，举止得体
drill     n.密集训练，反复操练（或练习）；电钻；条播作物
massacre     n.屠杀；残杀；（运动或比赛中的）惨败
entitle     v.给（某物）题名；名为；为…命名；给（某人）权利（或资格）；使符合资格
irreplaceable     adj.不能代替的，不能调换的
whereby     adv.靠那个，借以
surge     n.（感情等的）洋溢，奔放；急剧上升，猛增；浪涛般汹涌奔腾
presume     v.假设，假定，推定；妄行，擅自做；越权行事
motto     n.箴言，格言，座右铭
mean     vt.指示，表示；意味；意欲，打算；（词的）意思是；具有（特定的）重要性；引起，造成；应该做，被要求做
fatal     adj.致命的；灾难性的，毁灭性的；重大的，决定性的
cocaine     n.可卡因，古柯碱
extinction     n.灭绝，绝种，消失
scan     v.反复查看；审视；<美>快读，浏览；扫描；计算机扫描；扫描检查（物体或身体部位等）
legend     n.传说，传奇；传奇人物
edge     n.边；边线，边界；（陡坡的）沿边部分，边缘地区；优势，优越之处；刀刃
tumor     n.肿瘤，肿块
transformation     n.转变，变形；（形状、性质或外貌方面）彻底的改变，巨变
grin     n.露齿的笑，咧嘴笑
default     v.违约；不履行义务；默认，预设
consequently     adv.因此, 所以
merely     adv.仅仅，只不过
indignant     adj.愤怒的，愤慨的，义愤的
morality     n.道德；道德准则；道德体系
maneuver     n.演习; 机动动作; 花招, 策略; 机动; 调遣
pool     n.游泳池; 水塘; 水池; 水洼; (液体等)一摊, 一片; 台球; 共用的资源; 足球赌博; 赌金注总额; 库, 血库; 集合基金; 联合投资
innovation     n.革新，变革，改革；新方法；新观念；新产品
hail     v.热情称赞（人或物）；出生地是，来自；招呼，呼喊；下冰雹
cherish     vt.珍爱，珍视；爱护，抚育；抱有，怀有（希望、想法、感情等）
propaganda     n.（政治）宣传；鼓吹
receipt     n.收据，发票
plead     v.恳求，央求，请求；为…辩护；认罪； 申辩；推脱，找借口
scrap     n.碎片，小块；丝毫；废料
phase     n.阶段，时期
precise     adj.确切的；精确的，精密的；准确的
wrench     v.猛拉，猛扭，猛拧；扭伤；使痛苦
disconnect     v.（使）不连接，（使）分离；切断（煤气、电、水、电话等的）供应
casual     adj.（衣服）适合日常穿着的；便服的；不过多考虑的；没有预先计划的；轻松的；漠不关心的
provoke     vt.激怒，挑衅；鼓动，激励，刺激；引起；驱使
expertise     n.专门知识（或技能等），专长
costume     n.（一个时期或一个国家中流行的）服装，服饰；戏装，（特定场合穿的）成套服装
narrative     n.记叙文；讲述；故事
bonus     n.（附带的，没想到的）好处，优点；奖金，红利；额外给予的东西
basis     n.根据；基础，基准，基点，方式；原则
luminous     adj.夜光的；发光的；发亮的；鲜亮的，鲜艳的
bleed     vt.勒索…的钱；出血，流血；泌脂
exposition     n.阐述；（产品的）展销；商品交易会；产品博览会
depict     vt.（用绘画或其他艺术形式）表现，描绘
hoist     v.升起，升高，举起，提升
bamboo     n.竹，竹子
course     n.过程, 进展; 航向, 行动方向; 行为做法; 道路, 路线; 课程, 科目; 一道菜; 追踪狩猎
world     n.世界，地球，天下；生物界，万物；地区，国家；社会生活，社会交往；尘世，世俗；世事，世情；人生，一世；某领域的一切事物；历史时期
mortal     adj.凡人的；终有一死的；致命的
profitable     adj.（生意，活动）有利可图的；有赢利的；有益的；有用的
crumble     v.弄碎；崩溃，瓦解
book     n.书，书籍；专著，著作集；文学作品；账目
domestic     adj.国内的；家的，家庭的；家用的；驯养的
mission     n.任务；代表团；使命，天职；航天飞行
fossil     n.化石；老人；老顽固，老古董
graciously     adv.亲切地; 仁慈地; 优雅地
dramatic     adj.戏剧的，戏剧表演的；戏剧学的；突然的；显著的；突出的；令人激动的，给人深刻印象的
quantitative     adj.（数）量的；用数量表示的；定量的；量化的
diffuse     v.弥漫, 漫射, 传播, 散布
salute     v.敬礼；致敬；表示敬意
expire     v.失效，终止；到期；届满；逝世
thermal     adj.热的；热量的；保暖的；温暖的
hinder     vt.阻碍，妨碍
counter     v.反驳；抵消
table     n.桌子；谈判桌；列表，一览表，表格
pertinently     adv.确切地
component     n.（尤指机械或车辆的）部件，零件；（构成整体的）组成部分，成分
flip     vt.翻转，使翻转
significant     adj.有意义的；重要的，值得注意的；意味深长的；显著的
impact     n.撞击，冲击力，冲撞；显著效果，显著影响
critical     adj.关键的；决定性的；评判客观的，审慎的；（人）病情严重的；病危的
swap     v.交换
glare     n.怒视，瞪眼；强光
paradise     n.天堂，伊甸园；天国，极乐；乐园，福地
entertainment     n.娱乐，娱乐节目；娱乐表演
safeguard     v.保护；保障；捍卫
project     n.工程，事业；项目；课题；方案，计划
shrub     n.灌木
grieve     v.为（或因）…而伤心
compare     vt.比较；对照；相比；与…类似；把…比作
peak     n.山顶，山峰；顶点，顶峰；峰值，极值；帽舌
series     n.系列；系列出版物；系列剧；连续剧；丛书
soil     n.泥土，土壤；土地；国土，领土
parameter     n.界限，范围；参数
monologue     n.独白，独角戏；滔滔不绝讲话；长篇大论
satisfaction     n.满意；满足；妥善处理；补偿
caption     vt.给(图片、照片等)加标题; 为…配字幕
staircase     n.楼梯，楼梯间
courtesy     n.礼貌，谦恭；客气话
period     n.（地质年代划分的）纪；时期；（一段）时间，时期，阶段；时代； 句号
queer     adj.奇怪的，异常的；不舒服的，眩晕的
intersection     n.道路交叉口；交点
muscular     adj.肌肉的，肌肉发达的
court     n.（民事或刑事案件中的）全体法官（审判员）；法院；法庭，审判庭；球场；朝廷，宫廷
elastic     adj.有弹性的；灵活的
generate     v.产生（能量，尤指电）；生成；造成，引起
interfere     v.（未经邀请或没必要）参与，涉入；插手，干涉；扰乱，干扰（过程或活动）（使不能继续或正常进行）
hostility     n.敌对行为；不友善；反对
ivory     n.象牙；象牙色，乳白色
present     adj.目前的, 现在的；出席的, 在场的
verify     vt.证实，查证，证明
humidity     n.（大气，气体的）湿度
statement     n.声明，陈述；（对事实、观点或计划的正式）官方声明；报道
collaborate     v.合作，协作；通敌
disperse     v.（使）分散，散开；疏散，驱散；散布，传播
park     n.公园；停车场
hum     v.哼曲子；发嗡嗡声
retrieve     v.收回，找回；重新得到；检索（计算机存储信息）；回忆，追忆
solidarity     n.团结；齐心协力
executive     adj.行政的；执行的；实行的；管理的
suffice     v.足够；合适
symposium     n.专题讨论会；研讨会；小型讨论会
leaflet     n.宣传册；传单
hover     v.盘旋；徘徊；保持某一水平；接近某一水平
evolution     n.进化，演变，演进，演化
deadly     adj.致死的，致命的；极度的
generalize     v.作一般概括（或总结）
tolerant     adj.忍受的；容忍的，宽容的，宽恕的；能耐的，耐（受）性的
stock     n.库存；股份，股票；（英国）公债，债券；家畜
stack     n.堆, 叠; 大量; 烟囱, 排气管; (图书馆的)藏书书架, 双面大书架
piece     n.块，张，片，段；碎块，断片；篇，段，首，幅；一份股权；桩，项，番，条；（工作量或产品的）件
coup     n.政变，意外而成功的行为
bear     vt.（人）携带，拿；承担，担负（责任）；生育（孩子）；以（姓名，头衔）相称；印有；写有；刻有；绘有；忍受
rotary     adj.旋转的，转动的
peninsula     n.半岛
credit     n.信用; 赊欠; 信贷; 贷方; 信誉; 赞扬; 荣誉; 学分
exploit     v.充分利用（资源）；开拓，开采；卑劣（或不公平）地利用（某一情况）；压榨
coupon     n.购物优惠券，礼券
census     n.人口普查，统计
furious     adj.狂怒的，暴怒的；激烈的，猛烈的
quartz     n.石英
skirt     n.裙子；边缘；郊区
decent     adj.过得去的，合意的，舒适的，满意的；好的，出色的；合乎礼仪的，得体的
save     vt.抢救（人）；救助，搭救，挽救；节省（钱、时间或其他资源）；积攒；储蓄（钱）
jog     v.（健身）慢跑；轻击，轻撞
fragile     adj.易碎的; 脆的; 易损的; 虚弱的; 脆弱的; 纤巧的, 精细的
batter     v.连续猛击
vice     n.罪恶；（性格或行为）弱点；坏习惯
solution     n.解决方法，解决方案；溶液；溶体
discern     v.看出，觉察出；了解；识别，发现（某物）；辨明，分清
suburb     n.郊区，郊外，近郊
fluctuate     v.波动；起伏不定
handicap     n.生理缺陷，残疾；障碍；阻碍
tack     v.以大头针钉住；绷；用粗线脚缝
dub     vt.给…起别名（或绰号）；为（电影等）配音，译制（影片）
blur     n.模糊；模糊的东西
vicious     adj.狂暴的，残酷的；充满仇恨的；〈喻〉严重的；危险的
