cart n.手推车, （两轮或四轮）运货马车, 手拉车
organize v.把…组织起来；使有条理，安排
complaint n.怨言，牢骚；抗议；控告，控诉
distribute v.分配，分发；配送；分散
efficiency n.效率；功效；效力；效能
majority n.多数；大多数
sophisticated adj.老于世故的，见过世面的；（人，思想，反应，理解力）深刻的；精妙的；（机器，系统，技术）复杂的，精密的；先进的；水平高的，在行的
entertain v.给…娱乐，使快乐；招待
vanish v.消失，不见了；绝迹
perfection n.尽善尽美，完美无缺
provoke vt.激怒，挑衅；鼓动，激励，刺激；引起；驱使
threaten v.恐吓，恫吓；对…构成威胁，使…有危险；似将发生
commodity n.天然货物；天然商品；农产品；有用之物；贵重物品
emerge v.出现；兴起；浮现，显露；变得显眼（或突出）
identify v.把（自己）认同于；将（自己）归为（某个类别或人群）；认出，辨别出（尤指值得注意的事物）；指认
terrorist n.恐怖主义者；恐怖分子
individual adj.单个的；单独的；个人的；独特的
declaration n.公告，宣言；宣称；声明（书）
penalty n.（行为、情况带来的）不利后果；劣势；苦难；处罚，判罚，刑罚；罚金；害处；点球
donkey n.驴；笨蛋
contribute v.捐（款）；捐助，捐献；贡献；有助于；促成，促使
modify v.修改，更改；改变；【生】使改形，使转化
whisper v.低语，耳语，私语；密谈；沙沙作响
sensitive adj.敏感的；灵敏的；（市场）脆弱的；易受伤害的；感光的；善解人意的；保密的；限制透露的
surrender n.投降；（使）自首；（被迫）放弃，交出
cue n.提示；暗示；【心理】线索
cite v.引用（文章，书本，作家）以作为论据或说明之证，引证；举例；嘉奖
disguise v.伪装；掩饰，掩盖
mutual adj.（感情，行动）相互的，彼此的；共同的
aerial adj.空气中的；航空的，在空中（存在、发生或进行）的
electric adj.电的；电动的；充电的；能发电的；令人激动的
approval n.批准，认可，同意，赞同
finding n.发现；找到；（查询或调查的）结果，结论；判决，裁决
division n.（主要）部门；分歧，争论；差异；除法
idle v.游手好闲；虚度，浪费
completion n.完成，完结；完满
wit n.风趣，妙语；［pl.］智力，才智，智能；（out of one's wit）受到极度惊吓，吓得魂不附体
spot n.斑点；污渍；粉刺；丘疹； 污点；地点，场所； 少量；职位一个特定的地方（或点）；有某种特质的部分；（演出中的）位置；排名
soda n.碳酸钠，纯碱；汽水，苏打水
durable adj.耐久的，耐用的
medium adj.中等的；中号的；适中的
access n.（对计算机存储器的）访问，存取；接近，进入；通路；使用机会；使用权
delicate adj.易碎的，易坏的，脆弱的；细腻的；精巧的，精美的，精致的
grassy adj.长满草的；被草覆盖的
deceive vt.（某事）使（某人）以错误印象，误导（某人）；欺骗，蒙蔽，行骗
reaction n.反应，反响；化学反应；（人对外部刺激的）反应力
compromise n.折中状态；折中（办法）；妥协
morality n.道德；道德准则；道德体系
historical adj.历史的，有关历史的；有关过去事件的
label n.标签，签条；标记，符号；（某人或物的）称号；绰号
fare n.公共交通费；车费；船费；飞机票价；出租车乘客；（尤指某类型的）系列食物
restrain v.抑制，遏制；限制，阻止；约束自己，忍住
discipline n.纪律；训练；自制；克制；（尤指高等教育中的）学科
replace v.代替，取代；更换，替换；替代（某人或某事的作用）
marginal adj.次要的，不重要的；非主要的；（指税款）同收入增长有关的
pedestrian n.行人，步行者
property n.房地产；个人财产，资产；所有物；【律】所有权，处置权；特性，性质
productivity n.生产率（尤指工业投入与产出的比率）；生产力，生产能力
aisle n.（超市或其他建筑的货柜或货架间的）过道，通道
remote adj.（地点）边远的，偏僻的；（电子设备）遥控的，远程的；关系疏远的；（机会、可能性）渺茫的；孤高的，超然的
ethnic adj.（与）种族（有关）的；（与）民族（有关）的
joint adj.（两人或两人以上）一起从事（或获得）的；共同的；共有的；联合的
claim v.要求；索取；认领；自称，声称，断言
steer v.驾驶（车辆、船舶或飞机）；指导，引导；控制, 操纵
mineral n.无机物，矿物质
estate n.地产, 财产, 遗产; 庄园; 工业区; 商业区; 住宅区; 阶层, 社会地位; (人生)阶段, 状况
guarantee v.确保；保证；担保
shrink v.（使）缩水；变小；减少；（尤指人的脸部或其他身体部位因衰老或疾病而）萎缩；起皱纹；皱缩；（使）退缩；（使）畏缩；（使）贬值；回避
welfare n.福利，社会保障，幸福
accidental adj.意外的，偶然的；非故意的
investigation n.调查，审查；调查研究
frame n.车架；建筑物的构架；家具的骨架；（系统、概念或文章的）基本框架
phase n.阶段，时期
sequence n.一系列，一连串；连续事件（或动作，事物）；【生化】序列，顺序；（电影中描述某一组动作的）连续镜头，片段
minority n.少数；少数民族
impulse n.冲动，心血来潮；脉冲；刺激；推动力，冲力
wisdom n.智慧；才智；明智；学识，学问
novelty n.新奇；新奇性；与众不同；新奇的事物；新鲜事，不同寻常的经历；小装饰
timber n.（用于建筑或木工的）木材，原木，木料
display v.陈列；展示；显示；显露
institution n.（以宗教、教育、专业、社交等为目的的）协会，机构；习俗，制度；建立
highlight vt.强调，突出，使显著
mature adj.明白事理的；（经济，行业，市场）成熟的；发育完全的
desperate adj.绝望的；无望的；（行动）孤注一掷的；极少成功希望的；极度渴望的，极其需要…的
contest n.争论；争辩；争执；冲突；比赛，竞赛
hardware n.硬设备（指工具、机器等耐用设备）；（计算机和其他电子系统的）硬件
bind v.受…阻碍（或约束）；绑；装订
formulate v.制订；规划；构想；系统地（或确切地）阐述
chip n.集成电路片，芯片；炸薯条，炸薯片；碎屑，碎片；缺口
undertake v.着手做；开创（企业）；承担（责任）；接受；保证
accommodate v.（建筑物或其他区域）容纳；为…提供住宿；顺应；迎合
fragment n.碎片，碎块，破片；片段
realization n.理解，认知，认识；实现理想；明白，领悟；变卖资产
principal n.（中学、学院等的）校长；院长；负责人; 主要演员；本金；委托人； 主犯
sacrifice v.牺牲；舍弃；献出；献祭
exploit v.充分利用（资源）；开拓，开采；卑劣（或不公平）地利用（某一情况）；压榨
yield v.生产；产出，提供；带来；放弃；让位；让路；（使）屈服；（使）投降
preserve v.保护，保养；维护，保全，保存；保鲜；腌制
appreciate v.充分理解（境况）；充分领会到；认识到…的全部价值；赏识；重视；欣赏；为…表示感谢
recovery n.恢复，康复，痊愈；回收利用（能源、化工品等）
romance n.浪漫史；（尤指充满柔情或理想化的）爱情；浪漫氛围；传奇故事
entry n.门，入口；加入，进入；进入某地（或加入某组织）的权力（或方式、机会）；登记，登录；项目，条目；参赛作品，参赛
deliberate adj.故意的；深思熟虑的，非一时冲动的
utility n.功用，效用，功利；公用事业（如煤气、电力等）
previous adj.以前的，先前的；上一次的
fatigue n.极度疲劳，疲乏，劳累；（肌肉或器官的）疲劳；劳损；（因接触过多导致的）反应迟钝，热情减退
reckon vt.【非正式】以为，认为，想；把…当作；计算，数；估计，判断；指望，盼望；
associate v.在头脑中把（某人或物）与其他东西联系在一起
modification n.修改，更改；改型，改装；改变
pigeon n.【鸟】鸽子, 〈非正式〉易受骗的人, 〈非正式〉责任
polar adj.两极的；极地的；（性格、特点或倾向方面）截然相反的；（动物，植物）生活于极地地区的
gear n.排挡；齿轮；传动装置;（某种活动的）设备，用具；衣服
despite prep.任凭；尽管
monument n.纪念物；纪念碑，纪念馆；纪念塔；纪念门；纪念像；历史遗迹
specific adj.明确的, 确切的; 具体的; 特定的, 特有的
recommendation n.推荐，举荐；劝告，建议，提议；推荐信
nursery adj.幼儿教育的
certificate n.毕业证，结业证；证明书
stuff v.填满，塞满
interior adj.里面的，内部的，内里的
profit n.利润，赢利；收益；好处，益处；利益
loyalty n.忠诚，忠心
plague n.瘟疫；灾祸
noticeable adj.显而易见的；明显的
parliament n.议会, 国会, 英国议会（包括下议院和上议院）
dim adj.（光线等）黯淡的；模糊的；（前景）黯淡的；不乐观的
behave v.（机器）运转，（自然现象）起作用；待人接物；以某种态度对待；表现；守规矩，举止得体
violent adj.暴力的，暴行的；感情强烈的；剧烈的
torture n.酷刑，拷问；折磨；痛苦，痛苦（或忧虑）的原因
contract n.（尤指雇用、销售或租赁）合同，契约；【旧】婚约
tuition n.（尤指大专院校或私立学校的）学费；讲授；教学；指导
consult v.（尤指采取行动前）和…商量，和…商议；请教，求教；向（专家）咨询
vigorous adj.用力的；体力的；充满活力的；强壮的；健康的；精力旺盛的
qualification n.资格，资历，条件；学历；先决条件；获得资格；达标；正式要求
paperback n.纸面装订的书；平装书
purchase v.购买，采购
bare adj.空荡荡的；赤裸的；光秃秃的
deck n.甲板，层面
resistant adj.抵抗的，反抗的；有抵抗力的；不受…损害的
trace v.追溯，追究，查考
industrial adj.（与）工业（有关）的；以工业为特色的；工业高度发达的；工业用的
beneficial adj.效果好的，有好处的；有利的
identification n.辨认，识别，认出，鉴定；身份证明（尤指官方文件）
indication n.指示；标志，标示；表示
decay n.腐败，腐坏，腐烂
readily adv.乐意地，欣然地；毫不犹豫地，毫不勉强地；不拖延地，迅速地；无困难地，容易地
define v.下定义；确切说明（或解释）；树立，表明
attempt n.试图做（或完成）(尤指做困难的任务或行动)
overwhelm v.使感情上受不了；使不知所措；压倒；制服；使应接不暇；淹没；漫过
crew n.（船上的）全体船员；（飞机上的）全体机组人员等
initial adj.开始的，最初的；字首的
disastrous adj.灾难性的，糟糕透顶的
feedback n.反馈的信息，反馈意见；（电器的）反馈噪音
respond v.作答，回答；（人）作出反应；对（刺激）作出快速反应；对（治疗）有积极反应；应对
grateful adj.感激的，感谢的
fulfil vt.履行；完成；实践；满足（等于fulfill）
skilled adj.有技能的，有技巧的，熟练的；（工作）需要技能的，需要技巧的
vary v.（使）改变，使多样化；变化；不同，有差异
entitle v.给（某物）题名；名为；为…命名；给（某人）权利（或资格）；使符合资格
ease n.安逸，悠闲；容易，不费力
tendency n.趋势，趋向；倾向；习惯
embrace v.欣然接受；拥抱；包括，包含
sunrise n.日出，朝霞；拂晓，黎明
combination n.结合；联合；合并；联盟；组合；排列；数字密码
establish v.设立；建立；制定；证实；查明；确定；安置；安顿；使开业；使立足；使稳定
elsewhere adv.在别处；到别处
stack n.堆, 叠; 大量; 烟囱, 排气管; (图书馆的)藏书书架, 双面大书架
enlighten v.教育；启发，启蒙；指导
data n.数据；数据资料
recognition n.认出，识别；承认；确认；认可；赏识；表彰；报偿
seal v.密封，封住；盖印；封锁；系紧；封牢；达成；确立；保证
mount v.登上(山等); 骑上(马、车)等; 增加, 增长; 上升; 安装; 镶嵌; 裱贴; 开展; 举行
thrust v.插，刺，戳
suspend v.推迟，暂不实行；暂停；暂时停职；悬挂
commonplace adj.平凡的；普通的；普遍的
drama n.（作为文学作品样式的）戏剧；（舞台、广播或电视）剧；戏剧表演
panic n.恐慌；惊慌；慌乱；（金融方面的）恐慌；经济恐慌
arouse vt.唤起，激起（感觉、情绪或回应）；燃起（某人的）怒气；煽起（某人的）强烈情感
collective adj.集体完成（或进行）的，集体的；总的；集合的；聚集的
removal n.除去，消除；移动，搬迁
barrel n.桶，枪管，一桶（的量）
loosen v.（使）松散，松开；使松弛，使不那么紧张
exaggerate v.夸大，夸张
observe v.（在科学研究中）观测；观察；发现；遵守；庆祝；注意到，察觉到
senator n.参议员
representative n.代表，代理人；销售代理
handy adj.便于使用的，轻便的，有用的；手边的，易于取到的
failure n.失败；失败的人（或事物）；未做；未履行；故障；破产，倒闭
permission n.同意，许可；准许
isolate v.使隔离，使孤立；（化，生）使离析；使分离
logical adj.符合逻辑的，逻辑上的
cherish v.珍爱，钟爱，爱护；抱有信念或希望；怀念
tutor n.家庭教师；私人教师；导师；助教
operation n.手术；行动；运作；实施；经营业务；运转；（功能的）履行
responsible adj.对（行为）负道德责任的，有责任感的；负责…的；对…有责任的，有义务的；应受责备；可信任的；引起…的
audience n.（现场）观众（或听众），读者；爱好者，拥护者；觐见，会见
pledge n.保证，承诺，诺言；誓言，宣言；（慈善捐赠）承诺；抵押，抵押品
scale n.规模；程度；范围；等级；级别；刻度；比例尺；天平，磅秤；（鱼等的）鳞
official adj.官方的，正式的；（受雇于）官方的；获准的；被授权的
platform n.台，平台；平台（指使用中的计算机系统或软件）；月台；讲台；舞台；政纲，宣言
icy adj.覆盖着冰的，结冰的；含冰的
attendant n.服务员；管理员；侍从，随从
scandal n.丑事，丑闻，丑行
riot n.暴乱，骚乱；聚众闹事；丰富多彩
irrigation n.（尤指利用沟渠）灌溉
rare adj.（东西）稀罕的，稀奇的；珍奇的，珍贵的；（事件、境况、条件）稀有的，稀少的，罕见的；难得的
assemble v.使（人或物为共同目的）聚集；召集，调集；装配（机器或物品的）部件
given adj.规定的；指明的
creative adj.创造性的; 与想象力有关的; 想象力丰富的; 有独到见解的
refrain v.忍住，节制，克制；避免
lease n.租约，租契
enrich vt.使（某人）富裕（或更富裕）；使富足，使肥沃；改善…的质量（或价值），丰富；添加元素
resist v.抵抗，抵御；抵御…诱惑，忍住；阻止，抵制
overtake v.（数量或程度上）大于；赶上，超越；突然降临于，意外发生在
priority n.优先权；优先事项，优先考虑的事；优先，重点
architect n.（某种想法或计划的）缔造者，设计师；建筑师
descendant n.子孙，后代，后裔
sympathetic adj.同情的；和谐的；赞同的，支持的；合意的
adjust v.调整，整理；适应，习惯
density n.密度
assign v.（为特定目的）指定；拨出，留出；把…归属于，把…归因于；指派，委派（某人）
dispute n.意见不同；争辩；辩论
crystal n.水晶（尤指石英）；结晶，晶体
tolerance n.忍受；容忍，宽容，宽恕；耐（受）性；忍耐（力）；公差
motivate v.激发（某人的）兴趣或积极性；激励；使（人）产生动机
landlord n.地主，房东，店主
pursue v.（长期）追求，寻求，达到（目标）；从事，忙于（活动）；实行，采取（行动路线）；追赶；沿着（小道，路线）前进，延伸
observation n.观察；观测；监视；（以所见所闻及观察所得为依据的）言论；评论
brand n.（独特的）一种，一类；独特的个性；自成一格的形象；品牌；同一牌子的商品
overseas adj.来自（或去、有关）国外的（尤指海外）；外国的；海外的
obligation n.（道义，法律上的）义务（或责任）；承诺
supply n.补给，供给；供应量，储备量
panel n.专题讨论小组；委员会；镶板；嵌板；玻璃片；仪表板，控制板
boost vt.推动，推进；增强
fade v.（使）褪色；（使）变暗，使失去光泽；渐弱；逐渐消失；衰弱，变得虚弱
giant n.大公司；大型机构；巨人，伟人；巨兽
profound adj.深远的，深切的；（状态，品质，情感）巨大的；深刻的；（人，叙述）深邃的；渊博的，见解深刻的；极度的，彻底的
consideration n.（尤指一段时间的）考虑，细想；要考虑的事；动机，原因；因素
attraction n.吸引，吸引力；有吸引力的人或事物；具有吸引力的品质（或特征）
remainder n.剩余部分；其他人员；剩余物；剩余时间；差数；余数
summit n.最高点；顶点；山顶
limitation n.限制性规定；限定；缺陷，弱点；【律】追诉时效；［常pl.］局限
patch n.补丁；斑，与周围不同的部分；一小块地；膏药
endurance n.忍耐力；耐久力
destruction n.摧毁，彻底毁坏
inspire v.激励，激发，鼓舞；引起，导致，使发生
lavatory n.盥洗室，厕所
mess n.混乱；杂乱；肮脏之物；许多，大量
accurate adj.（尤指信息、量度或预测）准确的，精确的
manual adj.手工的，体力的
standpoint n.立场，观点，看法
profitable adj.（生意，活动）有利可图的；有赢利的；有益的；有用的
secure adj.安全的；无威胁的；牢固的；结实的；有把握的；稳定的
writing n.作品（指书、故事等）；写作；著作
intensity n.(思想、感情、活动等的)强烈, 剧烈, 紧张; (电、热、光等的)强度, 烈度; 色饱和度
attachment n.喜欢；同情；依恋；爱慕；忠诚；附加物，附属装置；邮件的附件
exert v.尽（力）；运用，行使；施加（影响）；发挥
creation n.创造；创作；创建；（尤指显示艺术才能的）创造物；（创作的）作品
stretch v.撑大；伸展；绵延；舒展；伸出（身体或其部位）去拿
input n.输入；（工作、信息的）捐献，投入，加入；放入物；带入物；被操作物
emotional adj.感情的，情感的，情绪的；（人）易动感情的，容易激动的
sensible adj.（人）明智的；审慎的；有益的；合理的，切合实际的；朴素而实用的
schedule n.日程安排（表）；工作计划，计划（表），进度表
necessity n.必要；必然；必需品
infectious adj.（疾病，致病生物体）传染的，有传染性的
forum n.论坛；讨论会；网络论坛
inform v.赋予…基本特征；用…原则充实；告诉，通知，向…报告
charity n.慈善机构；慈善事业
version n.变化形式；变体；型；版本，说法，译本
illusion n.幻觉，错觉；错误的观念；错误的理解
annual adj.每年的，一年一度的；全年的；年度的
conventional adj.传统的；习惯的，常规的
stimulate v.激发兴趣；激励；刺激；促使，促进；使（身体，生物系统）兴奋
fierce adj.强烈的；狂热的；猛烈的；凶猛的，残暴的
alert adj.机灵的，机敏的；警惕的，警觉的，机警的
abundant adj.大量的，多的；丰富的，充裕的
shallow adj.浅的，不深的；肤浅的，浅薄的
inclusive adj.不排斥其中任何团体的，不排斥任何一方的；一切服务（或项目）包含在内的
discharge v.允许离开（医院、军队）；排出，放出
manipulate v.熟练地操作，使用；操纵，控制（人或局势）
diagram n.图解，图表
cheat v.侥幸逃脱；作弊；欺诈
disorder n.（身体）失调；（精神）失常；疾病；异常；混乱；骚乱，动乱
consolidate v.巩固；强化；使坚强；使结实；联合，统一
monster n.怪物；怪兽；恶人
ambassador n.大使
governor n.（美国经选举产生的）州长；主管人员；理事，董事
echo n.回声；仿效；重复；附和
various adj.不同的；各种各样的；不只一个的，各别的
writer n.作家；著者；执笔者；撰写人，撰稿人
secondary adj.次要的；从属的；（与）中等教育（有关）的
notable adj.值得注意的；显著的；重要的
companion n.同伴，伴侣；同行者；成对物之一；成套物之一
reasonable adj.正当的；合理的；通情达理的；明智的，理智的
wrap v.包；裹；覆盖；抱；搂；围住
rip v.撕破；猛地扯开；突然拉开
collection n.（积累的一批）某种特定事物；（一批）收藏品；（一批）收集品；聚集；积聚；集中；收取；领取；一批（物）；一群（人）
administration n.管理，经营；管理部门，行政部门；管理者，经营者，负责人；政府

reject v.拒绝，抵制；不予考虑；不录用；排斥，排异
submit v.提交，呈递；顺从，屈服，投降
psychological adj.（疾病，问题）心理上的（而非生理上的），精神的；心理学的
strategy n.战略，策略
architecture n.（尤指一定时期、地域或文化的）建筑风格；建筑学，建筑业；结构
impose v.把…强加（于）；要求履行（义务），要求付（费），要求接受（惩罚）；征税；施加影响
corporate adj.（与）大公司（或大团体）（有关）的
hint n.暗示，提示
pad n.垫；衬垫；防水垫；便笺本；发射台，直升飞机起落场
gross n.总收入，总量
grace n.优雅，优美；风度，体面；恩典；（谦恭的）善意
reference n.参考，查阅；提及，谈到；查询；查询编号；推荐人；（前雇主证明求职者德才的）证明信，介绍信；引文；引证，引用资料
journal n.（专业性）报纸或期刊；日记
destination n.目的地，送达地点
implement n.工具，器具； 户外用具
justify v.说明；证明正确（或合理）
roar v.吼叫，怒号，咆哮；轰鸣；大声喊出，大声表示，大声笑
plug n.插头；塞子
simplicity n.简明；简易；简单；简朴；自然；单纯，淳朴
mission n.任务；代表团；使命，天职；航天飞行
mere adj.只不过，仅仅（用于强调小或微不足道）
rebel n.反叛分子，造反者，叛逆者，起义者
injure v.（身体部位）受伤；伤害，损害（某人）
insurance n.保险；保险业
oblige v.（按某人的请求）照办；做某事（以合某人心意、满足某人的愿望）；（根据法律或道义）一定做…；迫使
therapy n.治疗，疗法；精神疗法，心理疗法
striking adj.引人注目的；显著的；妩媚动人的，俊秀的；打击的；罢工的
commerce n.贸易；商业
authority n.权威；权力；当局；管辖权；专家；（学术）权威
studio n.播音室；演播室；录像（音）室；（尤舞蹈演员的）排练房；工作室；单间公寓
addition n.添置的人手；添加物；加法
enforce v.实施，执行；强迫，迫使
basically adv.从根本上说，基本上，说白了，大致说来
dominant adj.首要的，主导的，占支配地位的，占优势的
formula n.公式；方案；配方（愚蠢或盲目遵守的）常规，惯例；老一套
lower adj.（地位、数量）较低的；下面的； 【地质学, 地理学】早期的, 下游的
experimental adj.（与）实验（有关）的；（新发明，新产品）实验性的；试验性的
omit v.省略；删除；排除；遗漏
formal adj.正式批准（或认可）的；正规的；正式的
pack v.收拾行李；打包；挤满，塞满
dose n.（药物的）剂量，一剂；一份，一点
intimate adj.（指地方或环境）亲密融洽的，宜人放松的；私下的，个人的，隐私的
scholar n.学者；奖学金获得者
sole adj.唯一的，仅有的；独占的
minimum n.最小数；最少量；最低限度
glimpse v.瞥见
govern v.统治；控制；影响；调整（个人、行动或事件的过程）
afford v.担负得起；供给，提供（机会，设施）；买得起，支付得起
comprise v.组成，构成；包含
jury n.陪审团，评奖团
trial n.考验，试验，测试；审判；（对人的忍耐、自制力的）考验，磨练
definitely adv.明确地；清楚地；一定地，肯定（用于强调）
session n.会议；（法庭的）开庭； 会期；专项活动时间
shipment n.运输，装运；托运；装载的货物量；
damn adj.该死的，可恶的
average adj.平均的；普通的；通常的，典型的
employment n.职业，工作；雇用；受雇
twist v.拧，缠绕；扭伤（关节）
accommodation n.住宿，膳宿；和解，调解
elegant adj.（外观或举止）优雅的；雅致的，讲究的；精美的；俊美的；简练的，简洁的
peculiarity n.怪癖；怪异，古怪；个性，特点
confess v.（常指因略感羞愧、窘迫而）勉强承认；忏悔
allowance n.（尤指为满足某特定需要或花费的）津贴，补助；限额，定量
hesitate v.（说话或做事前）犹豫，停顿；勉强，不情愿
grab v.攫取，抓取；〈非正式〉（快速或伺机）获取；霸占
bet v.打赌；敢说，确信
preference n.喜好；偏好；更加喜爱；偏爱；偏爱的事物
fabric n.结构；织物，织品
insight n.洞察力，洞悉；领悟；深刻见解
housing n.房屋，住宅；住房供给
limb n.（人、四足动物的）肢，肢体；（鸟的）翼；树枝，树杈
propose v.计划；提出，提议，建议；求婚
episode n.（连载小说中的）一节；（广播或电视连续剧的）一集；一段经历；片段，插曲；（某疾病的）发作期
resign v.辞职；辞去，放弃；使顺从
representation n.描述，描写；（感知理论用语）表象；（某人说话或行动的）代表；有人代表的状况
stiff adj.不易弯曲的；硬的；挺直的；僵硬的
consciousness n.知觉, 感觉; 意识, 观念; 觉悟
virtual adj.虚拟的, 模拟的; 实际上的, 实质上的
interpretation n.解释，解释方式；说明，阐明，阐释；口译
era n.时代；年代；纪元；【地质】代
renew v.（中断之后）重新开始，继续进行；使获得新生，更新，振奋，使更生；延长（…的）有效期
critic n.（文艺作品的）评论家，尤指职业评论家；批评者
track n.小路，小径；足迹，踪迹，车辙；铁路轨道，线路；竞赛运动；歌曲，音乐；工作方向；思路
scholarship n.奖学金；学问，学识
realistic adj.现实的；实际可行的；实事求是的；注重实际的；明智的，恰如其分的；逼真的，栩栩如生的
initiative n.对策；新举措；计划；主动性，积极性；先机
enquire v.询问
particularly adv.特别，尤其；异乎寻常地；特别地；明确地；特别是
supplement v.补充，增补
keen adj.热衷的， 热情的； 对…有兴趣的；被…吸引的；敏锐的，有见地的；敏捷的； 锋利的；强烈的，浓厚的
promote v.加强（事业、企业等）；增进，促进；晋升，提升，提拔；宣传，推销（产品，组织，企业）
fantastic adj.【非正式】了不起的，极出色的，极好的；很大的；大得难以置信的
terminal adj.晚期的；致命的；无可挽回的；末端的，末梢的
stir v.搅动，搅拌，搅和；（使）开始活跃；（使）发展；煽动，挑起；刺激
aside adv.到一边；在旁边；以备未来之用
punch n.一拳，一击；感染力，吸引力；打孔器
textile n.织物；纺织品；纺织业
cast v.抛弃；投射（光，影）；为（戏剧、角色）选派演员
transaction n.交易，业务；处理，办理
exemplify v.是…的例证（或榜样）
melt v.（使）融化；（使）熔化
item n.（一些物品中的一个）物品；项目；条款
consistent adj.（性质、标准或效果上）不变的，始终如一的；一致的，符合的；和谐的，协调的
confirmation n.证实；确定；确认；批准
repay v.付还，偿还（贷款）；酬报，报答
discard vt.丢弃，抛弃，遗弃
derive v.从…得出，源自；从…中获得（或取得）
desirable adj.合意的，理想的，可取的
critical adj.关键的；决定性的；批判性的；评判客观的，审慎的；（人）病情严重的；病危的
sheer adj.纯粹的，完全的，十足的（用于强调）；垂直的，陡峭的；轻薄透明的
loan v.借出，贷与
palm n.手掌；手心；棕榈树
sincere adj.诚挚的，真心真意的，真诚的
minimize v.使…减少到最小；贬低，使显得不重要
range n.幅度；范围；一系列；知识面，能力范围；区间；射程；靶场
crash n.（多指车辆与车辆或物）猛撞，碰撞；巨大声响；（飞机的）坠毁；（某物价值或价格的）暴跌；狂跌
excess adj.过量的，附加的
collapse v.突然失败；崩溃；倒闭；（因生病或受伤而）昏倒；（价格）突然下跌；（货币）突然贬值；
destructive adj.破坏（性）的；毁灭（性）的
differ v.不同；相异
prevail vi.流行, 盛行; 获胜; 占优势, 占上风; 成功; 奏效
normally adv.通常，正常情况下, 平常地
instruction n.教学；教育；指导；使用（或操作）说明；装配指南
perceive v.把（人，物）看作，认为；察觉，感觉，认知；认识到，意识到；理解
imply v.暗示；暗指
curl v.（使）卷曲；（使）成螺旋形
plot n.（戏剧、小说、电影等的）情节；（用于建筑或园林的）小块地，苗圃；阴谋
breeze n.〈非正式〉轻而易举的事；微风，和风
miserable adj.（人）阴郁的；悲惨的；令人难受（或痛苦）的
definition n.定义；确切描述，明确描述；清晰度
construction n.（尤指大型建筑物的）建造；构筑；建设；建筑物；建造物，构造物
prospective adj.预期的，盼望中的；未来的；可能的
integrate v.（东西）结合；融合，结合（两者）
wander v.漫游，漫步，闲逛；走神
imitation n.模仿，效仿；赝品，仿品
origin n.来源；起点；出身；血统
democracy n.民主；民主制国家；民主主义，民主制度
auto n.〈口〉汽车
concerning prep.关于，就
advanced adj.先进的；高级的；年迈的；后阶段的
devise vt.策划；发明；想出（复杂的程序、系统或机制）；遗赠
headquarters n.（机构、团体的）总部；司令部；大本营
collaborate v.合作，协作；通敌
generosity n.慷慨，大方
comply v.依从，顺从；遵从；服从
clap v.击掌（尤指示意）；鼓掌，拍手
tragic adj.悲剧的，悲惨的，可悲的
select v.选择，挑选，选拔
asset n.（个人或公司的）资产；（有用的或宝贵的）物品；人才
toss n.掷硬币决定；投掷
rub vt.用（手，布或其他物体）擦，摩擦；揉擦，按摩；使（两物）相擦；使触碰
gum n.（齿）龈，牙床；树胶；口香糖
parallel adj.平行的，并列的
craft n.工艺，手艺；飞机；宇宙飞船；航天器；技巧；传统或人工的饮食
pirate n.海盗；盗版者，盗印者，侵权者
regulation n.管理，控制；调节；校正；监控；规章，规则，规定，指令
internal adj.存在于组织内的，组织内发生的；内的，内部的；体内的
statement n.声明，陈述；（对事实、观点或计划的正式）官方声明；报道
heir n.继承人（在某人死后合法继承其财产或头衔）
depart v.启程；离开；背离（常规，传统）
tag n.标记，标签，标志；附加语；电子监控器
survival n.生存；继续存活，（尤指在困境中的）幸存；幸存事物
optimism n.乐观；乐观主义
absent adj.不在的，缺席的，缺乏的；（表情，态度）走神的，心不在焉的
yearly adj.每年的，一年一次的，年度的，一年的
flaw n.（物质或物件的）瑕疵，缺陷，毛病；（人性格中的）毛病，缺陷
possibility n.可能性，可能；可能的事；可能的情况；发展前景；潜能；可能的选项，可能的途径
departure n.背离；离开
publication n.出版，发行；公布，发表
outlet n.出口；发泄途径；（电器）插座，插口；商店；分销点
exceed v.（在数量或大小上）超过；超越；超出（限定）
contrast n.（明显的）差别（尤指反差）；对比，对照；对照物，对立面
conform v.遵守社会接受的习俗（或规范）；顺从；符合（规则，标准，法律）
bore v.使厌烦；钻孔，挖，凿
mass n.一大群；块，大量，众多；重量
intelligence n.才智，智力；智者，智慧生命
fossil n.化石
pace n.步速；速度；（发生、进展、发展的）速度；速率；一步，一步之距
fake n.赝品，假货；冒充者
fertile adj.肥沃的；富饶的；能生育的；可繁殖的
occur v.存在；出现；发生
dynamic adj.充满活力的；力的，动力的；（过程，系统）动态的；不断变化的
analytic adj.分析的；解析的（同 analytical）
depress v.使（经济）萧条，使不景气；使…沮丧；抑制（生物系统），压抑；降低
laundry n.洗衣物的活；洗衣店；脏衣物；新近洗好的衣物
facility n.（有特定用途的）场所、设施或设备；（服务的）特色；（设备的）特殊功能；天赋
confidence n.信任，信赖；信心，把握；自信； 秘密
subtract v.减，减去，去掉
merit n.优秀品质，优点；价值；功绩；美德；长处
transport n.运输，运送；交通系统，运输工具；大型机动车辆，运输船，运输机
spite n.恶意，怨恨；(phrase: in spite of) 尽管
