harvest     n.收获（期）；成果，收获物，收成
envelope     n.信封, 塑料封套, 塑料封皮
fiction     n.小说，虚构
cousin     n.同辈表亲（或堂亲）, 堂兄（或弟、姊、妹）, 表兄（或弟、姊、妹）
firstly     adv.（用于列举）第一
infect     v.传染; 感染; 污染; 使受影响, 传播给某人; [计算机]感染病毒
competitor     n.竞争者，对手
complexity     n.复杂性，难懂；难题；难以理解的局势
cream     n.奶油, 精华, 奶油色, 精英
mill     n.磨坊, 工厂, 磨粉机, 面粉厂
luxury     n.奢侈，豪华，奢侈品
ridiculous     adj.愚蠢的, 荒谬的, 荒唐的
amongst     prep.〈书〉同“among”；在…中, 周围是, 在（其）中, …之一
injection     n.注射，打针；（金钱或资源的）投入
butter     n.黄油, 奶油
poverty     n.贫穷，贫困
silent     adj.不说话的, 沉默的, 很少说话的, 不爱说话的
undoubtedly     adv.无疑, 毋庸置疑地
teenager     n.青少年
sin     n.罪, 罪行, 过失, 过错
induce     v.诱使，引诱；引起，导致；催生
evolution     n.进化；演变，发展；渐进
singer     n.歌手, 歌唱家, 辛格, 演唱者
invention     n.发明, 创造, 虚构, 编造; 创造力
mate     n.伙伴，同事, 老兄，老弟（工人、水手间的亲密称呼）, 配偶（男女任何一方）
designate     v.指定，选派；标明，指明
inflation     n.膨胀；通货膨胀；充气
wherever     adv.究竟到哪儿
aggressive     adj.侵略性的；好斗的；有进取心的；有闯劲的
tender     adj.嫩的, 柔软的；纤弱的, 易碎的；和善的, 温柔的, 慈爱的；温和的；年轻的；多愁善感的；棘手的, 微妙的
projection     n.投影, 投射, 预测, 放映
interpret     v.诠释，说明；理解，领会；演绎；口译
regret     v.懊悔, 感到遗憾, 惋惜, 有礼貌地或正式地表示抱歉、痛惜或悲伤
regularly     adv.经常地, 有规律地, 定期地, 均匀地
slice     n.薄的切片；部分；锅铲
greet     v.迎接, 欢迎, 和（某人）打招呼（或问好）, （以某种方式）对…作出反应
experimental     adj.实验（性）的，试验（性）的
melt     v.融化, （使）软化
dawn     n.黎明, 曙光, 拂晓, 破晓
gross     adj.总的，毛的；严重的，过分的，恶劣的；令人讨厌的，令人厌恶的；粗俗的；大范围的，粗略的；臃肿，肥胖的
extension     n.扩大范围；延展，延伸；电话分机；延期
mess     n.混乱；杂乱；肮脏
jacket     n.夹克衫, 短上衣, 书套, （热水管的）保温套
darkness     n.黑暗, 漆黑, 阴暗, 墨色
render     v.致使，造成；使成为，使变得；给予，提供；提交，呈上；翻译；（乐）演奏；渲染；绘制；秘密偷渡
mild     adj.温和的；和善的；不严厉的；和煦的
assign     v.分配，分派，指派〔任务〕；确定〔时间、价值、地点等〕
trainer     n.教练员, 教员, 运动鞋, 驯兽师
registration     n.登记, 注册, 挂号, 登记文档
stack     n.堆, 叠; 大量; 烟囱, 排气管; (图书馆的)藏书书架, 双面大书架
democratic     adj.民主的, 民主政体的, 民主制度的, 民主权利的
discrimination     n.歧视；辨别力，鉴赏力；识别，区别
promotion     n.提升；提拔；推广；促销，宣传
depress     v.使……沮丧；降低
depth     n.纵深, 深刻, 深渊, 深厚
surprisingly     adv.令人惊讶地, 出乎意料地
uncertainty     n.犹豫, 迟疑, 无把握, 拿不定的事
cave     n.洞穴, 山洞
ceiling     n.天花板, 上限, 顶棚, 最高限度
interval     n.间隔；中场休息
monument     n.纪念碑；历史遗迹
destruction     n.破坏，毁灭
ceremony     n.仪式, 典礼, 礼仪, 礼节
spectrum     n.光谱，声谱，频谱；范围，幅度；系列，层次
determination     n.坚定，果断；决心；决定
spite     n.恶意, 怨恨; (短语in spite of)尽管
wander     v.游荡; 漫步; 闲逛; 偏离正道, 迷路; 蜿蜒; 走神, 开小差
diagram     n.图解，图表
mount     v.登上(山等); 骑上(马、车)等; 增加, 增长; 上升; 安装; 镶嵌; 裱贴; 开展; 举行
firmly     adv.坚定地, 坚固地
rhythm     n.节奏，韵律；规律性变化
edit     v.编辑，编校，修订；剪辑；担任主编
specify     v.明确说明；具体指定；详细说明
knee     n.膝关节, 膝盖, （裤子的）膝部, （坐下时）大腿朝上的面
gaze     v.凝视，注视
knife     n.刀
fiber     n.〈美〉同“fibre”，（食物中的）纤维素, （织物或绳等）纤维制品
expenditure     n.（时间、劳力、金钱等） 支出，使用，消耗
musician     n.音乐家, 乐师, 作曲家
dimension     n.尺寸；容积；维度；方面
rival     n.竞争对手, 敌手; 可与之相比的人(或物)
laboratory     n.实验室, 实验大楼
planet     n.行星, 地球（尤指环境）
mystery     n.神秘，秘密；神秘的人或事物
dirty     adj.肮脏的, 龌龊的, 污秽的, 下流的
chocolate     n.巧克力, 朱古力, 巧克力糖, 巧克力色
album     n.音乐专辑；集邮册；相册
alert     adj.机警的；机敏的
entrepreneur     n.企业家；承包人；主办者
discharge     v.允许离开（医院、军队）；开除，解雇；排出，放出（电量）；开枪，开炮
bargain     n.物美价廉的东西; 交易, 买卖; 协定, 协议
squeeze     v.挤压, 捏; 挤进; 榨出, 挤出; 榨取, 勒索; 削减, 紧缩(经济)
auction     n.拍卖
hesitate     v.犹豫，迟疑不决；顾虑，疑虑；不愿做……
module     n.单元（课程的一部分）；模块，功能块；组件
transmission     n.传输，传送；播送，播送的内容；传动装置
distress     n.窘迫, 痛苦, 遇险, 悲伤
stain     v.在……上留下污迹；玷污；染污；着色
poet     n.诗人
poetry     n.诗歌, 诗意, 诗集, 诗作
costume     n.服装, 衣服, 戏服, 演出服
philosophy     n.哲学, 人生哲学, 哲学体系, 思想体系
snap     v.突然折断；突然生气，突然发作；砰然关上；突然移动；猛咬；厉声说；拍照
treaty     n.（国家间的）条约, 协定
royal     adj.国王的, 女王的, 皇家的, 王室的
architect     n.建筑师，设计师；缔造者，创造者
tobacco     n.烟草, 烟叶
hopefully     adv.有希望地, 可以指望, 抱有希望地
disturb     v.扰乱，妨碍；使……不安
assert     v.明确肯定，断言；主张，坚持；坚持自己的主张
newly     adv.新近, 最近
testify     v.作证；证实；证明
fantastic     adj.奇异的；空想的；异想天开的；极好的；了不起的；很大的；大得难以置信的
controversial     adj.引起争论的, 有争议的
cloth     n.布料, 织物, 桌布, （一块）布
clothing     n.衣服, （尤指某种）服装
tube     n.管, 管子, 管状物, 道, 电视, 地铁
availability     n.有效, 可得到的东西[人员], (候选人的)当选可能性;可用性；有效性；实用性
coal     n.煤, 煤炭, 木炭, 〔美国〕(一堆)烧红的煤
wipe     v.擦，消除，拭去
clever     adj.聪明的, 聪颖的, 熟练的, 灵巧的
actress     n.女演员, 女表演者
leisure     n.闲暇；空闲；休闲
bush     n.灌木, 灌木状的东西（尤指浓密的毛发或皮毛）
prayer     n.祷告, 祈祷文, 经文, 祈祷（的行为）
unexpected     adj.出乎意料的, 始料不及的
trader     n.商人；股票交易人
manual     adj.手工的，体力的
revolutionary     adj.革命的；革命性的；突破性的；发生重大变革的
boost     v.使增长, 使兴旺, 偷窃
beef     n.牛肉, 抱怨, 牢骚
statistic     n.统计学, 统计数字, 统计资料, （一项）统计数据
effectiveness     n.效果, 有效性, 效能, 效力
forty     n.四十几, 四十年代
altogether     adv.一共, 全部, 总而言之, 总之
indicator     n.指示器, 标志, 指针, 迹象
zero     n.零, 零位, 零摄氏度, 最少量, 最低点, 没有任何…
fraction     n.一部分，小部分；碎片；些微，一点儿；分数；小数
readily     adv.乐意地，欣然地；轻松地，容易地
scope     n.(活动、影响等的)范围; 眼界; 理解范围; 余地, 机会; 观察仪器(显微镜、望远镜等)
impress     v.使有印象；给人留下好印象；使意识到（重要性）
probability     n.概率, 可能性, 几率, 或然率
companion     n.同伴；伴侣；同行者
subsequent     adj.随后的，后来的
obstacle     n.障碍，绊脚石
penalty     n.处罚，判罚，刑罚；罚金；害处；点球
dealer     n.交易商，贸易商；毒品贩子
approval     n.批准，认可，同意，赞同
dump     v.倾倒, 抛售, 抛弃, 转存
friendship     n.友谊, 友情, 朋友关系, 友好
duration     n.持续时间，期间
patch     n.补丁; 碎片; 膏药; 眼罩; 色斑; 斑点; 一小块地
compound     n.复合物；化合物；复合词；有围墙的房群, 大院；用围墙围住的场地
pronounce     v.发音, 读（音）, 正式宣布（或公布、授予等）
comprise     v.由……组成；包含
injure     v.伤害；使受伤
listener     n.听者, 收听广播节目的人
boast     v.自夸, 自吹自擂, 有（值得自豪的东西）
autumn     n.秋季, 秋天
psychological     adj.心灵的, 心理的, 精神上的, 心理学的
fulfill     v.做完(工作), 达到(目的), 应验(预言等), 满足(希望)
trap     n.（捕捉动物的）陷阱, 圈套, 诡计, 牢笼
probe     v.盘问，追问；探查，探测
utility     n.公共设施，公共事业；效用；实用
portray     v.描绘, 描写, 描画, 将…描写成
popularity     n.普及，流行，受欢迎；声望
dramatically     adv.戏剧地, 显著地
valley     n.流域, 山谷, 峡谷, 谷地
potentially     adv.潜在地
acceptance     n.接受（礼物、邀请、建议等）；同意，认可；容忍
consent     n.同意，许可
unnecessary     adj.不需要的, 不必要的, 多余的, 不必要（且容易开罪于人）的
backward     adj.向后的
belt     n.皮带, 腰带, 传动带, 传送带
prediction     n.预言；预测；预报，预告
electrical     adj.电的, 用电的, 发电的
awareness     n.意识, 认识, 了解, 觉察
dictionary     n.词典, 字典, 辞书, 专业术语大全
consumption     n.消费，消耗；食用；饮用；肺痨
kilometer     n.公里
lover     n.（婚外）情人，情侣；爱好者，热爱者
embrace     v.欣然接受; 拥护, 拥抱；包含
tail     n.尾, 尾巴, 尾部, 燕尾服
hip     n.髋；臀部；野蔷薇果
conversion     n.转换；换算；转化，转变；皈依
maintenance     n.维护，保养；维持；（依法应负担的）生活费，抚养费
bias     n.偏见, 偏向, 偏心, 偏爱
corn     n.【食,植】玉米, (脚上的)鸡眼；谷物
hug     n.紧抱，拥抱
agriculture     n.农业
recycle     v.回收利用, 再利用, 再次应用
gut     n.胃, 肚子; 内脏; 消化道, 肠道; 勇气, 胆量, 毅力; 直觉, 本能; 核心, 要点
identification     n.身份证明；识别，鉴定，辨认；认定；强烈同情
motivation     n.动力, 动机的形成, 动机因素
shortage     n.不足，缺少，短缺
equation     n.方程式，等式；相等，相同；平衡，综合体
realistic     adj.实际的，实事求是的；明智的，恰如其分的；逼真的，栩栩如生的
rat     n.老鼠，耗子，讨厌的人，卑鄙的小人
inventory     n.库存, 财产清单, （建筑物里的物品、家具等的）清单
shower     n.阵雨，阵雪；淋浴，淋浴器，淋浴室
burst     v.破裂，爆发；突发；爆炸
bury     v.埋葬, 埋藏, 安葬, 丧失（某人）
establishment     n.成立，建立；机构，企业
wealth     n.财富, 财产, 富裕, 丰富
march     v.行进, 齐步走, （坚定地向某地）前进, 游行示威
outer     adj.外表的, 外边的, 远离中心的, 外围的
mislead     v.误导；使误入歧途
criticize     v.批评，指责，批判
seminar     n.研讨会, （大学教师带领学生作专题讨论的）研讨课, 培训会
insert     v.插入，嵌入；（在文章中）加插
rope     n.绳索, 粗绳, 线缆, 圈绳; (the ropes)诀窍, 窍门
naked     adj.裸露的, 不穿衣服的, 无遮盖的
golden     adj.金色的；金制的，含金的；（一段时期）幸福繁荣的；珍贵的; 美好的
evolve     v.进化；演变，发展
thread     n.线；螺纹；思路；衣服；线状物；玻璃纤维；路线
apologize     v.道歉, 表示歉意, 对不起, 赔个不是
administrative     adj.管理的, 行政的
temple     n.庙宇, 太阳穴, 犹太教堂, 圣殿
ingredient     n.成分，（烹饪的）原料；因素，要素
sixteen     num.十六
curve     n.曲线；弯曲
mayor     n.市长, 镇长
exclusively     adv.仅仅, 专门地, 特定地, 排外地
execute     v.处决；执行，实行；完成
whisper     v.耳语，小声说；私下说，秘密告诉；沙沙作响
palace     n.宫殿, 王宫, 总统府, 住在王宫里的人
pale     adj.苍白的，暗淡的，弱的，浅色的
grasp     v.抓住，紧握；领会
puzzle     n.谜，疑问，难题，智力游戏，拼图
chat     n.聊天, 闲谈, 闲聊, 网上聊天
sculpture     n.雕像，雕塑品；雕刻术，雕塑术
interact     v.交流，交往，互动；相互作用，相互影响
boot     n.靴子, （汽车后部的）行李箱, 猛踢
campus     n.（大学）校园
explode     v.爆炸；爆发
reliability     n.可靠性
relieve     v.减轻，缓和；使解脱
incredibly     adv.非常, 极其, 难以置信地, 不可思议地
passion     n.激情，热情；强烈的爱；酷爱
tune     n.曲子, 曲调
fabric     n.结构；织物
server     n.服务员, 吃饭分餐时的器具, 【体】发球者, (宗教仪式时) 助祭者
strain     v.扭伤，劳损；竭尽全力；拉紧；过滤
portfolio     n.文件夹, 职务, 有价证券组合, 公事包
faculty     n.能力，才能； 全体教职员；（大学的）系，部，院
carpet     n.地毯, （尤指铺满房间的一块）地毯, 覆盖地面的一层厚东西
wooden     adj.木制的, 木头的, 木头似的, 死板的
solar     adj.太阳的，太阳能的；与太阳有关的
sole     adj.唯一的，仅有的；独占的
jury     n.陪审团, 裁判委员会
meaningful     adj.严肃的, 重要的, 重大的, 意味深长的
discourse     n.对话；话语；演讲；论文
resist     v.抵抗，抵制；耐得住，忍住
mixture     n.混合, 结合体, 混合物, 集合体
keen     adj.热衷的, 热情的; 渴望的; 敏捷的; 灵敏的; 锋利的; 强烈的
harm     n.伤害, 损害
modify     v.修改，修饰；调整
harsh     adj.严厉的, 残酷的; 恶劣的, 艰苦的；刺眼的, 丑陋的; 刺耳的, 难听的; 粗糙的, 刺激性强的
permission     n.同意，许可，允许
nut     n.螺母, 坚果, 螺帽, 疯子, 着迷的人,专注于某事的人,…迷, 头, 脑袋
fate     n.命运, 天意, 命中注定的事（尤指坏事）, 命运的安排
tissue     n.(人、动植物细胞的)组织; 纸巾; 绵纸
pregnancy     n.妊娠, 怀孕
moon     n.月亮, 月球, 卫星
resume     v.重新开始; 继续; 恢复; 重返; 重新得到; 重新使用; 取回, 收回; 接着说
adjustment     n.调整, 调节, （行为、思想的）调整
rough     adj.粗糙的, 不平滑的, 高低不平的, 不确切的; 艰难的, 令人痛苦的
revise     v.修改, 复习, 改变, 温习
allege     v.断言, 宣称, 声称, 指控, 提出
dialog     v.对话, 用对话表达
feedback     n.反馈, 反馈意见, 回授, 【电子】反馈
diagnosis     n.诊断, （问题原因的）判断
tongue     n.舌头, 语言, 方言, 嘴巴
separation     n.分离, 分开, 分割, 隔离
pile     n.一堆; 大量; 高大建筑; 建筑群; 电池组
cheese     n.奶酪, 干酪, “茄子”（要求照相的人说的口形词）
pipe     n.管子，管道；烟斗，烟袋；管乐器
needle     n.针, 针头, 指针, 缝针
await     v.等待, 等候, 期待, 将发生在
eighty     num.八十
flexibility     n.灵活性, 弹性, 挠性, (光的)折射性
boom     n.繁荣, 吊杆, （某种体育运动、音乐等）突然风靡的时期, 帆桁
subsequently     adv.随后, 后来, 之后, 接着
spray     n.水沫; 喷雾; 喷雾器; 飞沫状物; 小树枝; 小花枝
disagree     v.不同意, 不符, 持不同意见, 有分歧
dedicate     v.献出；题献词；致力于
distant     adj.遥远的, 远处的, 久远的, 不相似的, 冷淡的，疏远的；心不在焉的
transformation     n.转变, （用于南非）民主改革
survival     n.生存，存活；残存；幸存事物
translation     n.翻译, 译文, 译本, 转化
burden     n.负担，重负
dislike     v.厌恶, 不喜爱
execution     n.执行；实施；实行；处决；死刑
diverse     adj.不同的，多种多样的
neglect     v.疏忽，忽视，疏于照看
flash     v.闪光, 掠过, （向…）用光发出（信号）, 显示
extract     v.(费力)取出, 拔出; 提取, 提炼; 榨取; 摘录; 设法得到; 开方, 求根
nerve     n.神经, 勇气, 神经质, 神经紧张
facilitate     v.促进；助长；使便利，使容易；帮助
tropical     adj.热带的；来自热带的；产于热带的
vegetable     n.蔬菜, 植物人, 生活单调乏味的人
portion     n.部分；份
absent     adj.缺席的；缺少的；心不在焉的
acceptable     adj.可接受的，合意的；受欢迎的
fold     v.折叠, 包, 可叠平（以便贮存或携带）, 裹
deadline     n.最后期限, 截止日期
pot     n.锅, （盛食品的）罐, （某种用途的）容器, 一瓶
potato     n.土豆
ton     n.吨（英国为 2 240 磅，即长吨, 美国为 2 000 磅，即短吨）
lend     v.借给, 借出; (向…)贷(款); 给予; 添加
praise     v.赞扬, 表扬, 称赞, 颂扬
pray     v.祈祷；祷告；企盼；祈望
transmit     v.传输，传送；传达，传输（思想、感情）；传导（声、电等）；发送信号
stomach     n.胃, 腹部; 胃口, 食欲; 欲望
comic     adj.滑稽的, 使人发笑的, 喜剧的
hungry     adj.饥饿的, 挨饿的, 渴望的
storage     n.贮存；存储空间，仓库；保管费
transition     n.过渡，转变，变迁
physically     adv.身体上地，肉体上地；按自然规律地；根本上，实际上
forever     adv.永远地, 〈非正式〉老是, 永无止境地, 永恒地
audit     n.审计, (地主与佃户间的)决算
alcohol     n.酒精, 乙醇, 含酒精饮料
formation     n.形成; 组成; 形成方式, 结构; 形成物; 队形
strengthen     v.加强, 增强, 巩固
fortune     n.命运, 运气, 大笔的钱, 巨款
foster     v.促进, 培养, 助长; 抚育, 收养; 照料; 抱有(希望等)
undergo     v.经历；接受；遭受；忍受
printer     n.打印机（尤指与计算机相连的）, 印刷商, 印刷工人, 印刷公司
rice     n.稻, 大米, 稻米
angle     n.角, 角度, 观点, 斜角
shareholder     n.股东
unfortunate     adj.不幸的, 倒霉的, 令人遗憾的, 可惜的
commonly     adv.通常, 普遍, 常常, 平常
objection     n.反对, 反对的理由, 异议
freely     adv.坦率地, 无拘无束地, 慷慨地, 不受限制地
seal     v.密封, 封住; 盖印; 封锁
observer     n.观察者
profession     n.职业, 行业, 同行, 业内人士
bite     v.咬；叮；蜇；咬饵
riot     n.暴乱，骚乱；丰富多彩
sperm     n.精子, 精液
horizon     n.地平线；视野；眼界
compute     v.计算, 求出
consultation     n.咨询, 磋商, 查阅, 商讨
dot     n.点, 小点, 小圆点
withdrawal     n.撤回, 取款, 收回, 撤走
usage     n.使用，利用；利用率；惯用法
province     n.省份; 外省; 职权; 范围, 领域
genetic     adj.基因的, 遗传学的
confident     adj.自信的, 有自信心的, 肯定的, 确信的
isolation     n.隔离，隔离状态；孤独，孤立状态；【电】绝缘，【化】离析(作用)
absolute     adj.绝对的; 完全的; 十足的; 无限制的
surgery     n.外科手术；外科；诊所
sensible     adj.明智的，合理的，切合实际的；朴素而实用的
whale     n.鲸
pose     n.姿势，姿态；装模作样
celebration     n.庆祝, 庆典, 庆祝活动, 颂扬
sustain     v.维持；承受，经受；支持
bow     v.鞠躬；点头；低（头），垂（首）；屈服，听从；（使）弯曲
swear     v.诅咒, 咒骂, 说脏话, 郑重承诺, 发誓
automatically     adv.自动地, 自然地, 无意识地, 不自觉地
characterize     v.成为…的特征, 以…为特征; 描绘…的特性; 描绘, 叙述; 刻画…的性格, 使性格化
bread     n.面包, 钱
flood     v.淹没, 泛滥, （使）灌满水, 大量涌入
veteran     n.老兵, 老手, 退伍军人, 经验丰富的人
continent     n.洲; 大陆
loyalty     n.忠诚, 忠实, 忠心耿耿, 要忠于…的强烈感情
youngster     n.年轻人；少年；儿童
seventeen     num.十七
adequate     adj.足够的，充足的； 适当的；能胜任的
adjust     v.调整，（使）适应
bulk     n.大宗，大批（买卖）；（大）体积，（大）量；大部分；巨大的一团；巨大的形状
visible     adj.可见的；有形的；明显的
psychology     n.心理学
institute     n.（教育、专业等）机构；研究所；学院
weird     adj.怪异的, 捉摸不定的, 不可思议的, 可怕的
enforce     v.实施，执行；强迫，迫使
shed     n.棚屋，小屋；货棚；（用作车间、停放大型车辆或存放机器等的）工棚，厂房，库房
depict     v.描述; 描绘; 描写; 描画
shine     v.发光, 反光, 照耀, 把…照向
incline     v.使倾斜；使倾向于；有…趋势；点头
cottage     n.小屋, 小别墅
discovery     n.发现, 发觉, 被发现的事物（或真相、人）
airplane     n.飞机
alarm     n.警报, 警报器, 闹钟, 惊慌, 惊恐
glance     n.一瞥；扫视
quietly     adv.静静地, 悄悄地, 安静地, 轻轻地
championship     n.锦标赛, 冠军地位
shore     n.海岸，河岸，湖滨；（国家或大洲的）区域，境内
entity     n.独立存在物, 实体
comparable     adj.可比作…的; 相似的, 类似的; 相当的; 比得上的, 可相比的
rapid     adj.瞬间的, 短时间内发生的, 迅速的, 快速的
throat     n.咽喉, 喉咙; 嗓音, 嗓门
craft     n.工艺, 手艺; (s)手工艺品; 技巧, 技能; 行业, 职业; 航空器; 骗术, 诡计
crazy     adj.(发)疯的, 神经病的, 疯癫的, 不理智的
influential     adj.有权势的，有影响的
creative     adj.创造性的; 与想象力有关的; 想象力丰富的; 有独到见解的
precisely     adv.精确地, 准确地, 恰好地, 细心地
curious     adj.好奇的; 好求知的; 稀奇的; 奇特的
pole     n.杆子；地极；磁极
innocent     adj.清白的；无辜的； 天真的，不谙世故的；无恶意的
involvement     n.参与, 投入, 加入, 插手
rear     adj.后面的；后部的
narrative     n.叙述, 讲故事, 叙事技巧
evident     adj.明显的，清楚的
overlook     v.忽略，忽视；宽恕，不计较；俯视，眺望
exact     adj.精确的, 准确的, 严谨的, 严格的
govern     v.统治，控制，治理；影响，支配
cure     v.治疗，治愈
exceed     v.超过，超出；超越，凌驾于…之上
stance     n.立场, （尤指体育运动中的）站立姿势
ownership     n.所有权；产权；物主身份
intelligent     adj.聪明的；智能的
intense     adj.十分强烈的；激烈的；尖锐的；热切的
custom     n.习惯, 风俗；(customs) 海关；光顾，惠顾
grain     n.谷物; 谷粒; 颗粒; 一点儿; 纹理; 晶粒
tent     n.帐篷, 帐棚
painter     n.画家, 油漆匠, （系船的）缆绳
guitar     n.吉他
cake     n.蛋糕, 饼, 糕饼, 饼状食物
skirt     n.裙子, 衬裙, （连衣裙、外衣等的）下摆, 裙板
exhaust     v.用尽，耗尽，使……精疲力尽
mad     adj.发疯的, 精神错乱的; 非常生气的, 狂怒的; 糊涂的, 愚蠢的; 痴迷的
slave     n.奴隶；完全受…控制的人
grave     n.坟墓, 墓地, 墓穴, 死
undermine     v.逐渐削弱（信心、权威等）, 使逐步减少效力, 从根基处破坏, 挖…的墙脚
paragraph     n.段；段落
greatly     adv.非常, 大大地, 很
reinforce     v.加强，加固；强化
partial     adj.部分的；偏袒的，偏爱的
corridor     n.通道, 过道, 走廊（一国领土通过他国境内的狭长地带）
stimulus     n.刺激（物）；促进因素
exploit     v.利用；开拓，开采；压榨；剥削
virus     n.病毒, 病毒病, 滤过性病毒, 病毒性疾病
explosion     n.爆炸, 激增, 突增, 猛增
steadily     adv.稳定地, 坚定地, 坚固地, 不断地
wisdom     n.智慧；才智；明智；学识，学问
sheer     adj.纯粹的；完全的，十足的（用来强调事物的大小、程度或数量）；垂直的，陡峭的；轻薄透明的
guidance     n.指导, 引导, 导航, 咨询
remarkable     adj.不同寻常的；非凡的；引人注目的
substantially     adv.基本上, 大体上, 非常, 大大地
accessible     adj.可到达的, 可进入的, 可使用的, 容易理解的, 易懂的
strategic     adj.根据全局而安排的, 战略性的, 战略上的
jazz     n.爵士乐
notably     adv.特别, 非常, 尤其, 极大程度上
cough     v.咳嗽, （从喉咙或肺中）咳出, 突然发出刺耳的声音
assignment     n.（布置的）作业；（分配的）任务
differently     adv.不同, 不同地, 不以为然地, 别具一格
mineral     n.矿物；矿物质
amendment     n.修改, （美国的）宪法修正案
carve     v.雕刻，切割
ugly     adj.丑陋的, 难看的, 令人不快的, 危险的
elaborate     adj.复杂的；详尽的；精致的
density     n.密度, 浓度, 密集, 稠密
fame     n.声誉，名望
liability     n.责任，义务；不利因素；欠债，负债；可能性
resign     v.辞职；辞去（某职务）
sometime     adj.以前的, 某一时间
strand     n.(线、绳等的)股、缕；海滨，海滩；湖滨；（观点、计划、故事等的）部分
detect     v.测出；发现，查明
slot     n.(投放或插入东西的)窄缝; 槽沟; 狭槽; 位置, 职位; (广播节目等的)一档; 停车空位; 足迹, 踪迹
adolescent     n.青少年
politically     adv.政治上
reverse     n.反面；背面；倒退；相反的情况（或事物）
enforcement     n.实施, 执行, 强制
illegal     adj.不合法的，非法的
cluster     v.群聚；聚集
ongoing     adj.持续存在的, 仍在进行的, 不断发展的
distinct     adj.清晰的，明显的；截然不同的，有区别的；不同种类的；确实的，不容忽视的
cheek     n.脸颊, 面颊, 有…面颊的, 面颊…的
float     v.（使）漂浮；漂流，浮动；漂泊；安排（贷款）提出，提请考虑（想法或计划）；发行（股票）上市
membership     n.会员资格；成员资格；全体会员，成员
pioneer     n.先驱；先锋；拓荒者
interface     n.接口，界面；接触面；相互作用；（两学科的）结合点
digital     adj.数字信息系统的, 数码的, 数字式的, 数位的
pit     n.洞, 坑, 矿井, 麻子, 深渊, 绝境, (桃、杏、枣等)核, 正厅后座
insight     n.洞察力，洞悉；领悟；深刻见解
sufficiently     adv.足以, 十分, 充分地, 最大限度地
advocate     v.提倡，拥护； 鼓吹；为…辩护
bonus     n.奖金, 红利, 意外收获
engagement     n.保证; 约会; 参与; 订婚; 婚约; 雇用, 聘用; 交战, 战斗
subtle     adj.不易察觉的；微妙的；机智的；狡猾的；巧妙的
platform     n.平台；月台；讲台；舞台；政纲，宣言
robot     n.机器人, （尤指故事中的）机器人, 交通信号灯
suicide     n.自杀；自取灭亡的行为；自杀者
lamp     n.灯, （理疗用的）发热灯, （科学上用的）射线照射器
alongside     prep.在…旁边；与…一起
headquarter     v.设总部；在…设总部；把…放在总部中
barrier     n.屏障, 障碍, 障碍物, 关口
essence     n.本质，精髓，要素；香精
shadow     n.阴影；背光处；阴暗处；影子
swallow     v.吞下，咽下；吞没；相信，轻信
slope     n.斜坡, 坡度, 坡地, 山坡
hint     n.暗示，提示；征兆，迹象；少许，少量；秘诀，窍门
thirteen     num.十三
implementation     n.执行, 落实
supplement     v.补充，增补，增加
survivor     n.幸存者, 生还者, 挺过困难者
trail     v.跟踪, 追踪, （被）拖, 磨蹭；落后；减弱
tribe     n.部落, 族, （尤指同一职业的）一伙（人）, 大群
flesh     n.肉体；果肉；（动物或人的）肉；情欲
league     n.联盟，社团；（质量、能力等的）等级，级别，水平；里格（长度单位）
cooperation     n.合作, 配合
regardless     adv.不顾, 不加理会
leap     v.跳跃，跃过，猛冲
possession     n.拥有, 具有; 占有; 属地; 个人财产
steep     adj.险峻的，陡峭的；急剧的，大幅度的；昂贵的
stem     n.茎，干，梗；词干；血统
composer     n.音乐创作者；作曲者；作曲家
motivate     v.激励，激发
ethics     n.道德标准, 道德伦理, 伦理标准, 【哲】伦理学
admire     v.钦佩, 欣赏, 赞赏, 仰慕
collective     adj.集体的，共同的
fantasy     n.幻想, 想象, 想象产物, 幻想作品
flee     v.迅速离开；逃避，逃跑
pro     n.职业运动员, 从事某职业的人, 职业选手, 老手
prejudice     n.偏见，成见
sand     n.沙, 沙子； 沙滩
drain     v.耗尽；排出，排干；喝光
forecast     n.预测, 预报
precede     v.先于，（发生、走）在…前面
liberty     n.自由（自己选择生活方式而不受政府或权威限制）
par     n.(高尔夫球的) 标准杆数；票面价值；标准
donor     n.捐赠者, 献血者, 捐赠机构, 器官捐献者
formerly     adv.以前，从前
prevail     v.流行, 盛行; 获胜; 占优势, 占上风; 成功; 奏效
uncomfortable     adj.使人不舒服的, 令人不舒适的, 感到难受的, 感觉不舒服（或不暖和等）的
scan     v.反复查看；审视；<美>快读, 浏览；扫描
unemployed     adj.失业的, 待业的, 下岗的
illustration     n.例证; 说明; 图解, 图示; 插图
scholarship     n.奖学金；学问，学识
imagination     n.想象, 想象力, 创造力, 想象的事物
drill     n.演习, 电钻, 练习, 条播作物
innovative     adj.引进新思想的, 采用新方法的, 革新的, 创新的
nowhere     adv.无处, 哪里都不
immigrant     n.移民，侨民
evaluation     n.评价, 【数】赋值
rape     v.强奸, 强暴
expertise     n.专长, 专门知识, 专门技能
convict     v.定罪, 宣判…有罪
hook     n.钩子；钩拳；曲线球；吸引人的事物，噱头
economist     n.经济学家, 经济专家
medieval     adj.中世纪的（约公元476年—公元1453年）
literary     adj.文学的，与文学相关的
