adapt     v.（使）适应；改编
pay     v.付钱；给……报酬
stable     adj.稳定的
stably     adv.稳定地
unstable     adj.不稳定的，易变的；不牢固的；松脱的
steady     adj.经常的；稳定的
steadily     adv.稳定地, 坚定地, 坚固地, 不断地
steadiness     n.稳定
instead     adv.代替
ready     adj.有准备的；准备完毕的
already     adv.已经
distant     adj.远的，遥远的
distance     n.远方；远处；距离
distantly     adv.有距离地，远距离地
constant     adj.持续的，不断的
constantly     adv.不断地, 时常地
constancy     n.恒定, 坚贞, 〈正式〉稳定性, 不变性
instant     adj.即时的，方便的
instantly     adv.立即, 立刻, 马上
instance     n.例子，实例，事例
circumstance     n.条件，情况；情形，形势
circuit     n.周线；圈；电路
circulate     v.流通, 循环; 传播, 流传, 散布
circular     adj.圆形的，环形的；环行的，绕圈的；循环论证的；大量送发的
circus     n.马戏表演；马戏团
semicircle     n.半圆
destination     n.目的地
destine     v.命定; 注定; 指定
destined     adj.命中注定的；去往某地的；用于…目的的
destiny     n.命运，天数；上苍，老天
station     n.局；所；站
statue     n.雕像; 塑像
status     n.身份，职位
statistics     n.统计资料，统计数据
maths     n.数学
physics     n.物理（学）
politics     n.政治
state     n.状态，状况，情形；国家；州
statement     n.声明，陈述
statesman     n.政治家（pl. statesmen）
stadium     n.体育馆
gymnasium     n.体育馆, 健身房
museum     n.博物馆
bacterium     n.细菌（pl.bacteria）
institute     n.（教育、专业等的）机构；研究所
institution     n.学会；协会；学院；机构
constitution     n.体质，体格；构造；宪法
substitute     n.代用品，替代品
consist     vi.组成，构成
consistent     adj.一致的
resist     v.抵抗，反抗，抵制
assist     vt.帮助，协助
assistant     n.助手；助理
assistance     n.协助，援助
insist     v.坚持；坚持认为
exist     vi.存在
existence     n.存在
existing     adj.现存的, 现行的
post     vt.邮寄
postage     n.邮费
poster     n.海报，招贴画
postcard     n.明信片
postcode     n.邮政编码
postman     n.邮递员（pl.postmen）
positive     adj.积极的，向上的，正面的；肯定的
position     n.位置；职位
suppose     vt.（根据所知）认为, 推断, 料想, 假定, 假设, 设想；猜想
purpose     n.目的，意图
deposit     n.存款；押金
expose     vt.使遭受，使暴露，使显露
composition     n.作文；作曲
component     n.成分，组成部分
president     n.总统，国家主席
consider     vt.考虑
consideration     n.考虑，思考
considerate     adj.体贴的
assess     vt.评价, 评定; 估价, 估计
assessment     n.评估，评价
session     n.（大学的）学期，上课时间；（进行某项活动的）一段时间
possess     vt.拥有
possession     n.拥有; 占有; [常-s]个人财产
website     n.网站
web     n.网，网络
situation     n.状况，形势
hesitate     vi.犹豫，迟疑不决
hesitation     n.犹豫，迟疑；勉强，不情愿
caption     n.(插图、海报等上面的)标题; (图片、漫画等的)说明文字; 字幕
participate     vi.参加
principle     n.准则；原则；原理
primary     adj.初步的，初级的；第一位的，主要的
primitive     adj.原始的
recipe     n.烹饪法，食谱；方法；秘诀，诀窍
accept     vt.接受; 采纳; 接纳
except     prep.不包括，除……之外
concept     n.概念；观念
receive     vt.接收；接受
reception     n.招待会；接待；接受
receptionist     n.接待员，招待员
receiver     n.电话听筒
receipt     n.收据
cap     n.便帽
capsule     n.胶囊
capital     n.首都
captain     n.船长
attain     vt.取得，获得，达到
contain     vt.包含；容纳
container     n.容器；集装箱
stain     n.污点，瑕疵
stainless     adj.不锈的；无瑕的，无污点的
certain     adj.确定的，肯定的；某些的，某个的
certificate     n.证书
content     n.内容；目录；含量
form     n.形式；形状；表格
inform     vt.通知，告知
information     n.信息
perform     v.实施，执行；表演，演出
performance     n.表演
performer     n.表演者
perfect     adj.极好的；完美的
permanent     adj.永久的
permit     v.允许，准许，许可
permission     n.许可；允许；执照
persuade     vt.说服，劝说
reform     v.（使）改过自新，改造；改革，改良
transform     vt.（使）变形，（使）改观，（使）改变
former     adj.从前的，以前的
format     n.格式，形式
uniform     n.制服
platform     n.台，平台，舞台
genius     n.天才, 天赋, 天才人物, 天资
genuine     adj.真正的，真实的；诚恳的
gentle     adj.温柔的；轻轻的
gently     adv.温柔地, 温和地, 文静地, 和缓地
gentleman     n.绅士，先生
generation     n.一代，一代人
generous     adj.慷慨的，大方的；宽厚的
generously     adv.慷慨地
general     adj.全体的, 普遍的, 总的; 一般的, 常规的; 笼统的, 大体的
generally     adv.一般地, 通常地; 普遍地, 广泛地
oxygen     n.氧气
hydrogen     n.氢；氢气
origin     n.起源，由来
original     adj.起初的，原来的，原先的；独创的，新颖的，原创的
abortion     n.流产；堕胎；挫折；畸形
native     adj.本地的；本国的
nation     n.国家，民族
national     adj.国家的
nationality     n.国籍；民族
nationwide     adj.全国范围的，全国性的
international     adj.国际的
nature     n.大自然，自然界
natural     adj.大自然的；自然的
naturally     adv.自然地, 自然而然地, 理所当然地, 顺理成章地
apply     vt.应用，运用
application     n.申请；应用
applicant     n.申请者
reply     vi.对……做出反应；对……做出回答
multiply     v.乘；使相乘
supply     n.供给，补给
employ     vt.雇佣；使用
diploma     n.文凭，毕业证书
explicit     adj.明确的，明晰的，不含混的；详尽的
complicated     adj.复杂的；难懂的；难解的
complex     adj.复杂的
simple     adj.简单的，简易的，单纯的，朴素的
simplify     vt.简化，使简易；使简明
simply     adv.只是, 简单地, 简直, 不过
couple     n.夫妇；（一）对
decide     v.决定
decision     n.决定
accident     n.事故，意外的事
accidental     adj.意外的，偶然的；不测的；非本质的；附带的
incident     n.事件
coincidence     n.巧合，碰巧
pest     n.害虫
precise     adj.恰好；精确的
precisely     adv.精确地, 准确地, 恰好地, 细心地
scissors     n.剪刀，剪子
section     n.部分；（文章等的）段落，节；地区，区域，地段
insect     n.昆虫
tailor     n.裁缝
tail     n.（动物的）尾巴
detail     n.细节；详情；琐事；枝节；详述
detailed     adj.详细的, 细致的, 精细的
move     v.移动；搬家
movement     n.行进；运行；走动
remove     vt.去除，去掉；移开，拿开
movie     n.（美）电影
motor     n.发动机
motto     n.格言；箴言
promote     vt.宣传，推广；促销，推销
promotion     n.提升；提拔；推广；促销，宣传
emotion     n.感情；情绪，情感；激动
emotional     adj.感情的, 情感的, 情绪的, 激起感情的
motivation     n.动机，动力，激发意愿
motivate     v.激励，激发
mobile     adj.可动的, 可移动的;活动的;流动的; 多变的; 行动方便的
universe     n.宇宙
university     n.大学
universal     adj.普遍的，共通的，公认的；宇宙的；全体的
unit     n.单元，单位
unite     v.统一；联合；团结
union     n.联合，合并；联盟，协会
conversation     n.谈话，交谈
diverse     adj.各种各样的，不同的
diversity     n.多样性, 多样化, 差异（性）, 不同（点）
anniversary     n.周年纪念，周年纪念日
annual     adj.每年的，一年一次的
version     n.变体，变种；版本
advertise     v.（为……）做广告，登广告
advertisement     n.广告
vertical     adj.垂直的；直立的
vertically     adv.垂直地
predict     vt.预言；预料，预计；预报
addicted     adj.上瘾的，沉溺的，入迷的
dictionary     n.字典，词典
dictation     n.听写
indicate     vt.显示，表示；象征；暗示
apology     n.道歉
apologize     vi.道歉
dialogue     n.对话（=dialog）
diagram     n.图表，图解
dial     v.拨（电话号码）
diamond     n.菱形；菱形的；钻石
catalogue     n.目录；唱片目录；产品目录
lecture     n.讲座，讲课
select     vt.挑选，选择
collect     vt.收集
collection     n.捐款；收藏，收藏品；集
elect     vt.选举，推选
electric     adj.电的
electrical     adj.与电有关的，用电的
electricity     n.电；电力；电流
electronic     adj.电子的
neglect     v.忽视，忽略
negotiate     v.谈判，洽谈，协商，通过谈判达成（或解决），谈成
negative     adj.否定的；表示否认的；坏的；有害的；消极的；负面的
elegant     adj.优雅的，高雅的，优美的
college     n.学院；专科学校
privilege     n.特别待遇；特权
private     adj.私人的，个人的；私有的，私营的；私密的，保密的
privacy     n.隐私, 私密, 不受公众干扰的状态
intelligence     n.智力，脑力
religion     n.宗教
religious     adj.宗教的；笃信宗教的
option     n.选择，选择权，选择自由
admit     v.承认，供认；允许
admission     n.准许进入，准许加入；承认；入学
commit     vt.犯（错误），干（坏事）
commitment     n.承诺，保证；投入，奉献
committee     n.委员会
submit     vt.提交，呈递；（后常接that从句）建议；认为；（使）屈服，（使）服从，（使）顺从
dismiss     vt.不认真对待，打发；解散，使……离开；解雇，免……的职；摈弃（想法等），抛弃
missile     n.导弹
mission     n.任务；代表团；使命
promise     n.许诺，诺言
promising     adj.有希望的, 有前途的, 有出息的
compromise     vi.妥协
message     n.信息，文电；短讯；便条；口信；启示；要旨
invent     vt.发明，创造
invention     n.发明；发明物；虚构；发明才能
inventor     n.发明家, 发明者, 创造者
prevent     vt.预防；防止
preventable     adj.可阻止的, 可预防的
prevention     n.阻止；妨碍；预防
event     n.大事, 事件；事情的进程；活动, 经历；结果, 后果；比赛项目；[物][统]事件
eventually     adv.最后，最终，终于
adventure     n.冒险，冒险经历
adventurous     adj.有冒险精神的
adventurer     n.冒险家；投机商人
convenient     adj.便利的，方便的
convenience     n.方便，便利
inconvenient     adj.不方便的, 引起麻烦的, 造成困难的
souvenir     n.纪念品，纪念物
conventional     adj.常规的
avenue     n.大道
attract     vt.吸引
attraction     n.吸引人的事物
attractive     adj.有吸引力的
abstract     adj.抽象的，纯理论的
tractor     n.拖拉机
track     vt.跟踪；追踪
strait     n.海峡
draw     v.描画; 拖(动), 拉(动), 牵引; 取出; 抽出; 提取; 取得; 推断出; 引起; 吸引
drawer     n.抽屉
drawback     n.缺点，欠缺，不利条件；障碍
withdraw     vt.撤销；收回
strict     adj.严格的；严厉的
restriction     n.限制；约束
district     n.区，管区，行政区；地区，区域
string     n.细绳，线
stress     n.压力
stressful     adj.压力重的, 紧张的
stressed     adj.焦虑的，紧张的
press     n.（常作the Press）报刊杂志，印刷媒体；记者，新闻工作者；新闻界；压力；压迫；压强
pressure     n.压力
express     n.快车；快递服务
expression     n.措辞；表达方式
expressive     adj.富于感情的；明确表露想法的；有表现力的
impress     vt.给……留下深刻印象，使钦佩
impression     n.印象
impressive     adj.给人印象深刻的；令人赞叹的
attend     vt.出席，参加
attention     n.注意；注意力
pretend     v.假装，装做
extension     n.扩大；延伸
intend     vt.打算，想要
intention     n.意图，目的；企图
tend     vi.趋向，倾向
tendency     n.倾向，趋向
tent     n.帐篷
trend     n.倾向，趋势，潮流
tense     adj.紧张的，心烦意乱的
tension     n.紧张；紧张局势
tentative     adj.试验性的；试探的；尝试的；暂定的
serve     vt.招待（顾客等），服务
service     n.服务，效劳；服役；商业性服务机构；公共设施
servant     n.仆人
deserve     vt.值得，应该得到
observe     vt.观察；注意到，观察到
conserve     v.节省, 保护, 节约, 保存
conservation     n.保护；保存
conservative     adj.保守的，守旧的；传统的；谨慎的
preserve     vt.保存；保护；保持
preservation     n.保存；保护，维护；保养；维持；养护（海洋/资源领域）
preservative     n.防腐剂, 保护剂
reserve     vt.保留，保存
reservation     n.预定，预约；保留
reserved     adj.寡言少语的, 矜持的; 预订的, 预约的; 储备的, 留作专用的; 有克制的, 有节制的
visitor     n.来访者，参观者；探望者；来客
visual     adj.视觉的
vista     n.（农村、城市等的）景色, （未来可能发生的）一系列情景
visa     n.签证
television     n.电视
telescope     n.望远镜
revision     n.复习；温习
advise     vt.建议，劝告
advice     n.建议，忠告，劝告
evident     adj.明显的，显然的
evidence     n.迹象；证据
video     n.录像
provide     vt.提供
divide     v.分开，分
division     n.分开，分；部门
individual     adj.个别的，单独的；个人的；个体的；供一个人用的；独特的；个性的
survey     n.调查；调查报告；查勘；查勘报告
previous     adj.先前的，早先的
view     n.景色，风景；观点，见解，看法
preview     vt.预习；试演；预展
review     vt.复习；重新调查；回顾
interview     vt.采访；会见；面试
Internet     n.互联网，因特网
interpreter     n.口译人员
interrupt     vt.打断（工作、讲话、休息、讲话人等），打扰；中止，阻碍
envy     n.羡慕；嫉妒
expect     vt.预料；期待
expectation     n.期望，期待
unexpected     adj.出乎意料的, 始料不及的
aspect     n.（问题等的）方面
respect     n.尊敬，敬重
inspect     vt.检查；监督；视察
specific     adj.具体的，明确的
special     adj.特别的，特殊的
specially     adv.特别, 特意, 尤其, 专门地
especially     adv.特别；尤其
specialist     n.专科医师；专家
fact     n.事实
factor     n.因素，要素；系数；（数）因子，商
factory     n.工厂
perfectly     adv.非常, 十分, 完美地, 完全地
perfection     n.完美，完善
effect     n.效果，作用；影响
effective     adj.有效的；生效的
effectively     adv.实际上, 有效地, 事实上
benefit     n.好处；帮助；利益，福利，好处
beneficial     adj.有益的，有利的，有帮助的
profit     n.收益，利润，赢利
profitable     adj.有益的；有用的；能盈利的
office     n.办公室
officer     n.官员，公务员；军官；警官
official     adj.官方的，正式的
act     vi.表演；行动；行为
action     n.行动；作用；活动
actor     n.演员，男演员
actress     n.女演员
active     adj.积极的，主动的
activity     n.活动
actively     adv.积极地
actual     adj.真实的，实际的
actually     adv.事实上, 竟然, （礼貌地纠正他人）实际上
react     vi.做出反应，回应
reaction     n.反应，反响；化学反应
exact     adj.精确的，准确的
exactly     adv.确切地, 准确地, 精确地; 恰好地; (答语) 完全正确
encourage     vt.劝告；鼓励
encouragement     n.鼓励
enjoy     vt.喜爱，欣赏，享受
enlarge     v.增大，扩大
endanger     v.使遭受危险；危及，危害
enable     vt.使能够，使成为可能
enrich     v.使（某人）更富裕；改善某物的质量、味道等
agent     n.代理人
agency     n.中介;代理;代理行;代理机构;经销处;服务机构;（政府的）专门机构;力量;作用
agenda     n.议程；节目单
depend     vi.视……而定；依靠
independent     adj.独立的
appendix     n.附录
compensate     v.抵消；弥补
compensation     n.补偿物；赔偿金；使坏的情况变好的事物
indispensable     adj.不可或缺的
expense     n.开销，花费；经费，费用；代价
expensive     adj.昂贵的
spend     vt.花费（金钱、时间等）；度过
pension     n.养老金
value     n.值; 价值；价值观; 用途
valuable     adj.宝贵的，珍贵的；贵重的
valueless     adj.没有价值的, 不值钱的
invaluable     adj.极有用的, 极宝贵的
overvalue     v.估计过高, 过于重视
undervalue     v.低估, 对…认识不足, 轻视
evaluate     vt.对……评估，对……评价；对……鉴定
evaluation     n.评价, 【数】赋值
valid     adj.有根据的，有理的，有效的，令人信服的
validly     adv.有效地，合法地
invalid     adj.（法律上）无效的，不合法的；（观点）站不住脚的
validity     n.符合逻辑；正当；合法性，有效性；（正式的）认可
available     adj.可买到的，可获得的
appreciate     vt.赞赏，欣赏，赏识
appreciation     n.欣赏，赞赏
precious     adj.宝贵的；贵重的
price     n.价格
priceless     adj.无价的, 极珍贵的, 极重要的, 极有趣的
prize     n.奖励；奖品；奖金
dignity     n.高尚，威严，尊严
offer     vt.提供
prefer     vt.宁愿，更喜欢
preference     n.偏爱
refer     vi.谈及，提到；指称；参考
reference     n.谈及，提到；指称；查阅，参考
referee     n.裁判员
differ     vi.相异，有区别
difference     n.区别，差异
different     adj.不同的
conference     n.会议
infer     vt.（根据已知事实等）推断，推定；猜想，臆测
ferry     n.渡船；渡口
suffer     vt.遭受，蒙受，经历
suffering     n.痛苦，苦难
port     n.港，港口
porter     n.搬运工
portable     adj.可携带的；轻便的
transport     n.交通工具；交通；运输
translate     v.翻译
translation     n.翻译；译文
translator     n.翻译家，译者
transparent     adj.透明的
traffic     n.交通，来往车辆
tram     n.有轨电车
trade     n.贸易，交易
tradition     n.传统
traditional     adj.传统的
import     n.进口; 进口商品
important     adj.重要的
importance     n.重要性
export     n.出口物，输出品，出口，输出
report     v.报告；报道
reporter     n.记者
support     n.帮助；支持
passport     n.护照
airport     n.机场
air     n.空气；大气
aircraft     n.飞行器；飞机
airline     n.航线；（常作airlines）航空公司
airmail     n.航空邮件
airplane     n.飞机
opportunity     n.机会；良机
success     n.成功，成就，胜利
succeed     vi.成功
successful     adj.成功的
access     vt.接近；使用
accessible     adj.可接近的，可得到的
process     n.过程；进程
procedure     n.程序，过程
progress     n.进展，进步
grade     n.年级；等级；成绩
gradual     adj.渐渐的，逐渐的
gradually     adv. 逐渐地
graduate     vi.毕业
graduation     n.毕业
centigrade     adj.摄氏的
cent     n.美分（100cents=1dollar）
centimetre     n.厘米，公分
century     n.百年；世纪
percent     n.百分之一，百分比
percentage     n.百分率；百分数
per     prep.每，每一
